var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,3.4606786567,0.0718880134,0.0024989189,4.6648839861,0.3022561400,35.0000000000
sigma,25.9692738900,1.4498942301,0.0489598660,4.2773378148,0.2698018549,33.0000000000
theta1,1.4035895614,0.0116684471,0.0002501275,1.5565917499,0.0627697435,13.0000000000
theta2,1.0155575487,0.0237701245,0.0010697232,8.4389412928,0.7036300268,59.0000000000
