likelihood_beta,beta
5.7554408998e-23,6.2006667782
7.9762481168e-23,5.5024952738
6.0475216466e-23,1.7640432299
5.6948112969e-23,1.6535315774
7.8427020569e-23,2.3272144991
7.2597896119e-23,2.1413405743
1.2479554863e-24,9.9797507287
9.9109231276e-33,17.6970222005
4.7274083108e-23,1.3408465240
6.4562482775e-23,1.8910874160
6.7320337274e-23,1.9766562841
5.3531439702e-23,1.5450791647
8.0060646790e-23,2.3805802049
5.3530676362e-23,1.5450547361
5.5655577640e-23,1.6126981372
5.0072355672e-23,1.4332566595
5.6712212670e-23,1.6460947621
2.9898409789e-23,0.6974553208
9.6663129056e-23,3.0000672703
4.1602313843e-23,1.1464071021
7.1981850011e-23,2.1219969389
6.1268735904e-23,1.7887670396
5.7098860460e-23,1.6582804662
5.4451210799e-23,1.5744441227
5.7920330844e-23,1.6841135288
9.3992247946e-23,2.8846114147
6.6765675095e-23,1.9594379290
4.3901892197e-23,1.2265579275
9.0989491792e-23,2.7649695495
9.6544086414e-23,2.9946920899
7.8538903782e-23,2.3308476143
1.0614114642e-22,3.6039029089
4.7505509307e-23,1.3485657670
8.7206642534e-23,2.6248622465
6.1502709006e-23,1.7960498238
1.0388537365e-24,10.1028291978
5.6208339146e-23,1.6301870711
7.1445355278e-23,2.1051842370
5.9305816927e-23,1.7275279039
5.6810424873e-23,1.6491917390
7.3639287837e-23,2.1741435015
1.0182719251e-22,3.2652929228
5.2820397238e-23,1.5222804429
7.5305050044e-23,2.2269310733
5.6275259227e-23,1.6323016402
7.2833323951e-23,2.1487444665
4.8897479002e-23,1.3946954622
5.7022876755e-23,1.6558871399
5.5523097790e-23,1.6085004383
5.6695297308e-23,1.6455612429
5.4381711500e-23,1.5722300042
5.8148384026e-23,1.6912723635
6.9275624193e-23,2.0374470549
6.0626201988e-23,1.7687505958
5.8286347575e-23,1.6956006240
1.0162899551e-22,4.6197757396
8.2462283551e-25,10.2544156216
5.7207946921e-23,1.6617152877
6.3934717397e-23,1.8716098903
4.7876014743e-23,1.3608937335
7.3352834004e-23,2.1651065721
8.7667629808e-23,2.6414335054
4.0706401181e-23,6.7586606773
6.1879062721e-23,1.8077583555
5.6788836313e-23,1.6485110757
6.6912382330e-23,1.9639913826
7.7231847565e-23,2.2885854832
6.4576415144e-23,1.8915196343
8.3443701722e-23,2.4936611977
5.2099590580e-23,1.4990753430
6.1443298003e-23,1.7942008470
5.8409372119e-23,1.6994586179
5.9894980553e-23,1.7459379983
5.8068888932e-23,1.6887775327
5.7580769401e-23,1.6734442190
5.3029489573e-23,1.5289939682
6.5155360588e-23,1.9094788095
9.6994407459e-23,3.0151552027
1.0732811716e-22,3.7966792579
5.5024272737e-23,1.5926726560
6.6060416073e-23,1.9375541894
8.8684628396e-23,2.6784465817
4.3776905592e-23,6.6510309565
6.6447952843e-23,1.9495781482
7.5599077465e-23,5.6369872547
9.9648300334e-23,3.1442094310
6.6758924480e-23,1.9592284174
5.1134912775e-23,1.4678618602
1.0258115924e-22,3.3119332948
6.2291618403e-23,1.8205853219
5.3461258713e-23,1.5428328008
6.7846187525e-23,1.9929889079
6.0823501288e-23,6.0983825552
5.4575707903e-23,1.5784084949
5.6684789202e-23,1.6452297942
5.5292405580e-23,1.6011849673
8.1666141038e-23,2.4337666570
6.0714433385e-23,1.7715007398
6.0032373735e-23,1.7502273261
5.4073354775e-23,1.5623971429
1.0581107844e-22,4.3057421894
9.7631997290e-23,3.0447616377
9.9409260680e-23,4.7413943641
5.4475791240e-23,1.5752270298
4.3369799183e-23,1.2081854565
2.3295926330e-24,9.5406161659
7.2728691914e-23,2.1454531095
5.9971277995e-23,1.7483201313
6.9210536412e-23,2.0354203414
5.5515566679e-23,1.6082617377
5.9136101570e-23,1.7222193430
5.4151785611e-23,1.5648995768
5.6812729823e-23,1.6492644082
9.3297907914e-23,5.0171606642
