tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.683401,0.004889
2.000000,0.495675,0.007442
3.000000,0.375504,0.008965
4.000000,0.295294,0.009786
5.000000,0.253048,0.010071
6.000000,0.223625,0.010196
7.000000,0.195053,0.010353
8.000000,0.165180,0.010480
9.000000,0.140945,0.010561
10.000000,0.122219,0.010655
11.000000,0.109626,0.010718
12.000000,0.084590,0.010835
13.000000,0.073515,0.010834
14.000000,0.078140,0.010728
15.000000,0.067142,0.010686
16.000000,0.052232,0.010663
17.000000,0.036320,0.010655
18.000000,0.031033,0.010615
19.000000,0.033600,0.010570
20.000000,0.031226,0.010553
21.000000,0.026475,0.010575
22.000000,0.031329,0.010593
23.000000,0.030932,0.010640
24.000000,0.029913,0.010681
25.000000,0.026008,0.010703
26.000000,0.026102,0.010723
27.000000,0.020264,0.010743
28.000000,0.018736,0.010765
29.000000,0.010284,0.010805
30.000000,0.007635,0.010853
31.000000,0.004082,0.010892
32.000000,-0.001523,0.010896
33.000000,-0.000265,0.010858
34.000000,-0.004671,0.010825
35.000000,-0.007421,0.010810
36.000000,-0.008725,0.010801
37.000000,-0.008640,0.010793
38.000000,-0.009918,0.010786
39.000000,-0.011266,0.010781
40.000000,-0.015194,0.010777
41.000000,-0.010315,0.010775
42.000000,-0.009913,0.010774
43.000000,-0.011228,0.010774
44.000000,-0.007413,0.010774
45.000000,-0.003802,0.010773
46.000000,-0.001369,0.010772
47.000000,-0.000021,0.010770
48.000000,0.003428,0.010769
49.000000,0.000646,0.010768
50.000000,-0.001369,0.010768
51.000000,-0.000070,0.010768
52.000000,0.002127,0.010768
53.000000,-0.002722,0.010768
54.000000,-0.001723,0.010768
55.000000,-0.000414,0.010768
56.000000,-0.001784,0.010768
57.000000,-0.001077,0.010768
58.000000,-0.000770,0.010768
59.000000,0.003316,0.010768
60.000000,0.007150,0.010767
61.000000,0.008044,0.010766
62.000000,0.013080,0.010765
63.000000,0.013664,0.010764
64.000000,0.013597,0.010765
65.000000,0.007773,0.010766
66.000000,0.005206,0.010767
