tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.467470,0.005339
2.000000,0.238672,0.006786
3.000000,0.127984,0.007266
4.000000,0.076136,0.007351
5.000000,0.048902,0.007409
6.000000,0.034757,0.007404
7.000000,0.019220,0.007368
8.000000,0.009825,0.007341
9.000000,0.006465,0.007257
10.000000,0.010167,0.007273
11.000000,0.010052,0.007344
12.000000,0.005369,0.007410
13.000000,0.001574,0.007418
14.000000,-0.002769,0.007397
15.000000,0.001319,0.007392
16.000000,-0.000835,0.007390
17.000000,-0.007480,0.007389
18.000000,-0.015444,0.007386
19.000000,-0.013040,0.007386
20.000000,-0.010249,0.007387
21.000000,-0.008267,0.007388
22.000000,-0.002452,0.007389
23.000000,0.001047,0.007389
24.000000,0.003244,0.007389
25.000000,0.008235,0.007388
26.000000,0.002673,0.007389
