likelihood_theta2,theta2
1.2303725179e-22,1.2374349644
1.3829493505e-22,1.1079546350
1.3555599680e-22,1.1980121760
1.6229742829e-28,0.1820594140
1.1791142146e-25,0.4447258443
1.7819434255e-26,0.3536630829
2.7088202168e-36,2.3903266213
9.3964354115e-33,2.2239903496
9.0699993208e-27,1.8528854674
1.6779885255e-27,0.2588570581
4.4808042074e-26,0.3963123492
8.7234381315e-23,0.9734037863
1.7414910599e-25,0.4653436783
3.4241477566e-28,0.2051188254
1.0699316038e-28,0.1697069201
1.2448665665e-28,0.1741556681
4.6484574214e-26,0.3980809011
1.7166400470e-27,0.2596796950
1.7934428963e-23,0.7809167037
4.0600664429e-28,0.2105594565
4.9559138440e-24,0.6750114653
4.3991429125e-27,0.2951490413
7.7609105911e-31,0.0508367432
1.0391129965e-22,1.0086439569
7.6493535077e-24,0.7082920157
1.3597971247e-22,1.1962101205
1.0977903227e-57,3.1339583292
2.8413530156e-43,2.6671351258
7.5999081497e-25,0.5495213256
2.7511655021e-23,0.8225643344
6.0512679938e-26,0.4109378310
5.7295924968e-23,0.9081862799
2.2210652815e-26,0.3635493409
2.4883352016e-23,0.8123830129
6.3162053850e-28,0.2250103253
1.1444967984e-36,2.4066238639
3.8259607246e-51,2.9337983241
2.8336582568e-26,0.3747008662
1.5254077460e-28,0.1801989266
2.6853636550e-29,0.1311235334
2.5902049605e-26,0.3705612648
1.1584854156e-22,1.0357268538
2.5106380487e-27,0.2736558119
9.5397033968e-36,2.3661267919
1.3803754037e-95,4.1248241901
2.7755226515e-23,1.4474846409
1.1198562835e-32,0.0028225775
1.7174123216e-29,0.1194150396
3.7267330115e-29,0.1399470757
1.7117412432e-25,0.4644188686
2.9573253238e-24,0.6378420961
9.6138957888e-23,0.9920445065
8.0820274815e-27,0.3197027944
7.2200547626e-27,0.3150489150
1.0997600239e-29,0.1081292743
1.3868974386e-22,1.1827523411
8.2960722633e-39,2.4961606581
1.7940786894e-27,1.9069517948
1.3275791964e-27,0.2504883558
3.8053730053e-23,0.8575983879
4.8298467620e-23,0.8859873429
3.5177199144e-25,0.5042128566
2.2905285716e-25,1.7284393887
5.9016754085e-28,0.2227579180
1.4096106765e-29,0.1143649914
1.5843853704e-25,0.4602850859
2.4186875590e-24,0.6239747034
2.6846104046e-27,0.2761674818
1.6860157853e-25,0.4636071770
4.4680078627e-28,0.2136483905
1.2741935664e-22,1.2255563010
3.2524328821e-31,0.0365144786
3.8902228070e-28,0.2091880421
1.1168441305e-24,0.5733524117
2.8621984184e-31,0.0346099926
5.9143452106e-30,0.0931189408
3.0137356125e-27,0.2805379038
1.1106222648e-22,1.0245358177
1.3483858313e-22,1.0916628425
1.6300986154e-29,0.1180734042
1.4179367104e-22,1.1452467721
1.4433182667e-24,0.5897156151
1.6917443677e-25,1.7413618530
2.2676303317e-26,0.3644902195
1.8306742468e-23,1.4824873210
5.3848930689e-24,0.6812205787
2.1994105646e-30,0.0710825240
3.6235461835e-26,0.3861939904
1.5186336229e-23,0.7658075852
4.9463149128e-26,0.4010834374
5.4159912627e-30,0.0910589883
7.0232839499e-24,0.7015782378
9.7777526263e-23,0.9955059310
9.8523805017e-23,1.2911917982
1.4008797729e-29,0.1142073842
6.4199023094e-29,0.1550315401
1.0590225592e-25,0.4391604128
2.1911703943e-28,1.9713356651
4.3476960621e-27,0.2946871576
6.7748375851e-29,0.1565541363
8.9597077549e-23,1.3086391785
7.7214306252e-24,0.7090347288
8.3942921137e-70,3.4735393983
1.7320889784e-76,3.6494068118
8.1138047907e-102,4.2741049723
1.7153441957e-29,2.0426254449
1.8367244933e-23,0.7831275173
1.2918450621e-23,0.7515966248
5.6016504853e-25,1.6882872167
1.7458665180e-30,0.0663154395
5.8137716150e-28,0.2222616116
3.7099173562e-23,1.4201872944
2.4073840395e-25,0.4829663849
1.7617685041e-23,1.4855164436
8.9788461798e-79,3.7081556226
8.2724459289e-23,1.3218997659
1.3753152234e-23,0.7570448057
8.0151034479e-23,0.9585775754
1.1485192603e-22,1.2570403858
2.4682723067e-23,0.8115740451
4.7593937696e-27,0.2982519977
3.1808738718e-29,0.1356578923
6.7814948371e-31,0.0484585869
1.8524988585e-26,0.3553921977
5.7010856112e-32,0.0148776908
1.1807505594e-22,1.2496231489
7.5343950748e-23,0.9484043741
1.0801114455e-22,1.2718873014
9.0357595376e-25,0.5601297034
1.1137268531e-22,1.0252456548
1.3453458841e-24,0.5851894453
4.5109974459e-28,0.2139585755
4.5759010373e-23,0.8793179466
1.6951300178e-30,0.0657177169
1.0876380711e-28,0.1701869104
3.4065432570e-26,0.3832849979
6.5745385638e-23,0.9275383743
1.1314802799e-28,0.1713447442
1.5835023513e-26,0.3484413098
3.0240625165e-27,0.2806678620
7.7645742657e-23,0.9532920211
1.2935219432e-58,3.1612311181
2.3784756132e-86,3.8989132793
