x1,x2,y,mse
1.970011,0.440313,3.745891,0.0061018104
0.825393,0.245156,1.715531,0.0071910575
-0.007250,0.308107,-0.390798,0.0078994088
1.573517,-0.958577,-0.030897,0.0161073875
-0.468821,0.199383,0.756042,0.0064781016
-0.503621,0.597244,-0.254422,0.0052983050
-1.273633,-0.738072,1.919093,0.0098709987
0.392489,-0.859483,-0.430810,0.0111386121
-1.851107,0.399700,1.193197,0.0102584143
1.312404,-0.388072,1.287627,0.0146028552
0.989820,-0.912958,0.981187,0.0028222122
-0.849386,0.876344,0.203794,0.0134207286
-0.969815,-0.629985,1.788281,0.0085715909
-0.622259,0.972007,-0.152144,0.0121808471
-1.300575,0.496204,0.732605,0.0071408830
1.888439,-0.149475,2.071343,0.0031556494
1.176807,-0.810662,0.725950,0.0122501823
-0.346703,0.958156,-0.675438,0.0164332881
-0.657265,0.659277,-0.031067,0.0017393232
0.158173,0.684383,-0.672306,0.0065424925
-1.384749,-0.315303,2.559536,0.0057274170
0.048380,-0.425634,-0.980091,0.0087846372
-0.189551,0.745725,-0.988501,0.0096237831
0.231164,0.543489,-0.437725,0.0062781435
1.643145,-0.482602,0.535694,0.0037290274
0.937536,-0.024035,2.027190,0.0050511669
-0.154248,0.421857,-0.524924,0.0076385287
0.773120,-0.564339,0.559100,0.0041498576
0.527046,-0.962512,0.280951,0.0103811991
1.384075,0.820218,2.813354,0.0059354578
0.293377,-0.640562,-0.970709,0.0122910732
-1.724531,-0.451429,2.986518,0.0111257465
-1.531973,-0.681997,2.113828,0.0100233916
-0.747157,-0.061279,1.895276,0.0121853511
1.748231,0.353388,2.990710,0.0083303916
-1.494718,-0.342560,2.664619,0.0096837501
-1.789415,0.027928,2.879836,0.0056188260
-1.165641,-0.117457,2.479860,0.0058056792
1.823059,-0.541992,0.207204,0.0070024385
-0.295049,-0.778987,-0.239305,0.0074958605
1.207727,0.141697,2.282117,0.0091075525
-1.065919,0.889104,0.502848,0.0132805377
0.441711,-0.207297,0.281132,0.0091352317
1.504289,0.217736,2.451041,0.0043972542
1.075466,-0.168805,1.970006,0.0089627880
-0.950300,0.089621,2.117606,0.0032978794
-1.964827,0.778101,0.332624,0.0355037133
0.652410,-0.265162,0.893129,0.0052355802
-1.629725,0.618582,0.217693,0.0045443151
0.578396,0.060159,1.102305,0.0063788925
