tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.533987,0.005464
2.000000,0.313058,0.007339
3.000000,0.204800,0.008019
4.000000,0.137292,0.008378
5.000000,0.097707,0.008561
6.000000,0.070663,0.008631
7.000000,0.050483,0.008616
8.000000,0.045385,0.008557
9.000000,0.042568,0.008578
10.000000,0.037894,0.008606
11.000000,0.032597,0.008629
12.000000,0.030924,0.008572
13.000000,0.030476,0.008564
14.000000,0.021558,0.008577
15.000000,0.006747,0.008585
16.000000,0.011152,0.008587
17.000000,0.011547,0.008564
18.000000,0.016304,0.008508
19.000000,0.012644,0.008445
20.000000,0.015342,0.008419
21.000000,0.023092,0.008401
22.000000,0.020353,0.008399
23.000000,0.015131,0.008399
24.000000,0.009246,0.008400
25.000000,0.005442,0.008399
26.000000,0.011722,0.008394
27.000000,0.013226,0.008392
28.000000,0.011401,0.008392
29.000000,0.010197,0.008393
30.000000,0.007794,0.008394
31.000000,0.014538,0.008391
32.000000,0.012345,0.008392
33.000000,0.011226,0.008393
34.000000,0.012791,0.008393
35.000000,0.007855,0.008395
36.000000,0.009705,0.008395
