likelihood_theta1,theta1
1.4036840459e-33,0.2287769282
3.0469433249e-33,0.2505657540
9.0953854983e-26,1.1495656405
2.0518813973e-142,4.6355113562
1.8204086359e-24,1.6164191399
7.6423700457e-38,0.0229532992
5.3319872436e-32,2.5641546005
3.2211453973e-25,1.2715375577
1.5769357420e-29,0.5861223250
2.5980514974e-34,0.1844682182
9.1527644013e-43,3.0280499461
5.4892693054e-32,0.3421329621
8.1892112074e-29,0.6767008944
2.0206299929e-27,0.8719378641
1.0503007222e-27,0.8302579142
2.2839265042e-45,3.1138860036
8.9033303809e-30,2.4258567306
9.0013412824e-56,3.4026009580
1.3226228082e-28,0.7044656497
7.9730118447e-25,1.8533023478
4.2149746835e-49,3.2262862429
5.8827948200e-25,1.3435776470
2.6481076771e-33,0.2465462801
3.7781114319e-25,1.9344437533
1.1817553948e-34,0.1650090472
1.4059799269e-24,1.4954044665
4.4254307730e-27,0.9234228487
1.0893704674e-28,2.3462069810
7.0587463176e-34,0.2102459342
1.5858991037e-25,2.0053560929
5.0402514370e-35,0.1447278150
9.2687014581e-29,0.6838187607
2.7897490800e-28,0.7487362656
1.3031214301e-24,1.7738629757
2.6609220011e-32,0.3174964735
1.3931068254e-27,0.8481212370
1.7457103619e-27,0.8625291179
1.0178929814e-27,0.8282872197
2.0458185215e-26,1.0307746036
2.7523740161e-37,0.0409681783
2.0163268111e-32,0.3083797841
2.3994327598e-46,3.1444732178
3.3543930226e-47,3.1705005592
2.1045413830e-36,0.0764007114
8.2408690968e-26,1.1410712954
1.1953189774e-28,0.6985582016
2.5615224625e-25,1.9682950262
7.8104472044e-25,1.3834931127
1.6527107740e-27,0.8590214789
1.9924545338e-33,0.2384999432
1.8818021146e-26,2.1345115288
1.4772784197e-28,2.3357726942
1.8306094721e-31,0.3859848325
2.2096918574e-25,1.9801963220
2.2022379392e-35,0.1257583477
1.7109101052e-24,1.6931914625
7.0030888988e-37,0.0562190631
3.0809579716e-25,1.2666959933
3.8190333880e-37,0.0461132114
1.6029376639e-24,1.5354185386
4.7053316825e-37,2.8104785288
1.8158976373e-24,1.6110466936
1.4599912447e-29,0.5820932459
1.4579100781e-37,0.0316129328
1.0979695848e-29,0.5673670711
1.4675542524e-24,1.5071137427
1.3752836590e-31,2.5404568136
7.5429050749e-25,1.3782873200
3.7591133969e-103,4.2113570831
1.1914829645e-36,0.0656828074
5.4807805103e-29,0.6538915825
1.5013393662e-24,1.7398770065
5.7485838482e-33,0.2691994081
7.8574702364e-29,2.3571989390
6.4032397564e-27,0.9483911095
7.4043464804e-30,0.5474677143
2.7735535508e-27,0.8925145770
6.0626261232e-29,0.6595818953
7.3303121587e-27,0.9576601375
3.2098179320e-47,3.1710763585
4.0791822890e-28,0.7717261784
5.6526193606e-25,1.8941438477
6.7948270572e-26,1.1247718039
5.4012736613e-25,1.3324686731
4.2735811923e-33,0.2604033057
4.3532205193e-41,2.9688224841
7.0367941011e-34,0.2101635370
1.6999013892e-24,1.6962979209
8.9613644609e-26,1.1482803359
8.5812453159e-27,0.9685565271
7.7725628065e-51,3.2748509347
4.4350129673e-34,0.1980988107
