likelihood_sigma,sigma
7.8235129025e-23,8.6954437482
1.0844207708e-22,9.9093015890
6.5811940941e-37,215.2702882048
3.3191650767e-53,2350.8154801213
4.3408192755e-26,35.1482137233
1.6549342258e-44,1.8111328984
2.9567352218e-36,194.9613674850
1.5308339060e-39,2.1249468349
1.3589359189e-25,31.6396918086
4.2869991537e-23,7.7052875231
3.3104855374e-42,474.1858672621
5.1997381777e-26,4.6140632197
1.1184048269e-22,10.1996209815
2.6557899829e-28,3.7467587114
9.1593047622e-24,6.4170778486
9.8161044606e-31,81.5999009516
4.9358887559e-23,7.8881188489
6.9259535860e-29,59.5733176605
8.6247021006e-47,1.6984698341
6.8645345862e-24,20.7001599271
1.6220246034e-28,3.6860304169
2.5619340563e-23,7.1661258706
7.6912479517e-49,1.6095708862
1.3551282083e-23,18.8618209993
1.1977095037e-38,2.1949642719
2.4591138172e-25,4.9914326090
1.0043238984e-30,3.1766971287
1.7031825930e-38,273.3842704582
3.2848502047e-23,7.4058042072
2.5068727362e-26,4.4623220540
2.5523169869e-25,5.0015660882
3.7089484316e-35,2.5279802476
4.3884874888e-36,2.4286684260
1.1316996198e-34,2.5837286985
3.1838527944e-25,5.0630383765
4.3763389576e-29,3.5360280527
1.6604275138e-40,2.0547472472
2.0699854348e-30,3.2385607241
1.0886266502e-34,2.5817417125
2.1039777007e-39,2.1354411955
5.4586777516e-47,1.6893859642
1.3417694348e-31,3.0185516322
6.2705855963e-38,251.1223030196
6.9725857102e-49,1.6078303143
9.3799940811e-25,5.3988334139
4.5340660236e-37,2.3323621772
1.7118502423e-23,18.2193829161
1.4675719457e-25,4.8566164179
2.1321974344e-34,2.6166736126
1.1525864309e-46,1.7042837208
2.4160805544e-27,45.0143279948
4.0292690468e-24,5.9821454862
2.4553036620e-42,1.9348209610
7.7368960909e-23,8.6697539091
1.8793515914e-35,2.4953452587
5.1565867767e-24,6.1023428280
3.3511685938e-40,2.0763724402
5.8108963087e-24,6.1635013382
1.1263223473e-34,2.5834846216
1.1414040080e-22,10.7675528881
8.1562408702e-23,8.7960541541
2.0945495638e-24,5.6970026652
4.5637763066e-25,5.1680114705
4.5429801566e-40,2.0859017640
1.1353115269e-22,11.0101425454
1.4013840154e-24,5.5416939773
5.5605167015e-27,42.0065348224
2.5701799723e-23,17.0759176075
3.2471189190e-24,22.7088971386
9.2019737984e-43,1.9090821175
1.7487170067e-25,4.9012233626
1.9282017043e-28,55.0623376913
2.5146630056e-39,2.1413764539
1.1382125907e-22,10.5218857008
5.1137390092e-32,2.9492150421
2.6484847892e-43,1.8774900508
1.2032363040e-25,32.0047395877
2.0820325257e-31,3.0514443434
1.2431567094e-33,2.7137574608
6.3690282314e-34,136.0760686229
3.0174538078e-42,1.9403261222
2.3889133059e-26,4.4527712396
5.6358911553e-33,2.8039958984
1.1352833547e-22,11.0107999721
5.1268187778e-28,3.8318577015
1.0607813924e-22,9.7596766413
5.7867356059e-28,3.8480661290
3.1697590714e-27,4.0960869052
1.9692577031e-25,30.5393036917
4.0448852976e-41,2.0127459999
2.3239948381e-43,561.8029178982
1.0666338494e-32,2.8442444681
4.0614688347e-46,1.7300524864
1.3007943030e-40,2.0473476734
1.7584648337e-29,3.4402371183
4.4896479344e-28,3.8142917318
1.2521090036e-24,25.2946216855
1.2125680908e-38,2.1953996372
4.0096755097e-37,2.3273947795
4.7525331204e-39,2.1628709213
6.0860234909e-23,8.2041991334
1.4513761222e-36,2.3806117001
5.3515211481e-30,3.3244285090
5.9914844593e-32,2.9603400795
5.9248891277e-41,2.0239085988
5.4549778315e-29,3.5601830785
1.0848041117e-24,5.4492742232
7.3318802536e-25,5.3164918972
1.7722950130e-30,3.2250335975
2.4695849986e-23,7.1333149608
1.0289764952e-23,19.6100625346
5.8616571912e-28,50.4619376007
2.7596297473e-34,144.0014764126
2.5350707652e-33,2.7554368696
6.1371880167e-37,2.3447015063
8.4490801572e-31,3.1623329780
2.5672759723e-27,44.7905314807
5.5876904549e-27,41.9893503774
5.3500741564e-29,3.5580375620
6.3374926369e-30,3.3403053319
5.2532129393e-38,2.2485997781
9.3775540659e-36,2.4629589370
6.6971910209e-42,1.9619474898
1.8832112788e-39,315.3654236112
1.1367077186e-22,10.4810049313
2.3556884199e-39,2.1391983609
1.2041551613e-45,1.7529850547
2.5085073437e-30,3.2554934357
1.3333723378e-31,3.0180877728
8.7905949311e-32,96.8682243549
1.3491078216e-31,3.0189547755
3.1521049970e-33,122.0199698129
2.5910895115e-41,1.9998938413
2.7028111554e-26,36.6641891137
7.2554533894e-23,8.5300088079
5.0779274011e-52,1.4899564831
2.7526459044e-33,2.7603502317
3.6715217337e-28,52.3612942526
1.1059299668e-44,1.8019138895
1.1139862274e-43,1.8561939257
1.0172997583e-22,12.1216962849
7.4237510292e-28,3.8819726990
6.4091274535e-38,2.2560427009
7.9250134682e-25,26.5587461210
1.7745180675e-32,2.8773535118
3.5858351397e-52,1.4847488696
9.2749268133e-38,2.2700235800
1.1639895527e-42,1.9151764654
1.9067570778e-29,65.6617935781
5.1887049386e-36,2.4361380758
8.2923532724e-31,3.1607863465
3.2792273104e-27,4.1014674334
2.2325621436e-26,4.4394511012
4.4624292213e-41,2.0156057631
2.3527650842e-24,23.5774200066
5.7026189178e-36,186.6627254159
7.1081381685e-27,41.1466763617
3.6868537030e-23,7.5293307387
7.1662303714e-50,1.5685778049
1.1078335590e-45,1.7512022406
2.7793719216e-26,4.4829582601
3.1410025794e-23,7.3601515736
2.8189684438e-29,63.7664447474
1.4850210104e-23,6.7312253725
7.9318981598e-29,3.6021888798
1.2324803795e-35,2.4755747686
4.4351888292e-24,6.0279828736
1.3129933456e-28,3.6607499343
2.1613066940e-29,65.0494626575
1.5829020388e-23,6.7770621751
7.2618572435e-28,3.8789407627
2.0334080296e-32,2.8863669531
5.9812975668e-24,6.1786090271
1.1797670672e-31,3.0090782556
5.6738645280e-41,2.0226356473
1.3805153168e-24,25.0270459465
7.6705214385e-24,6.3140307967
1.2713628171e-37,2.2821094393
1.7676744284e-36,2.3890148317
2.1419329154e-34,146.4849864148
8.9270040861e-38,2.2685681629
7.5482849171e-32,2.9767423632
6.9105707519e-27,41.2447969556
9.9753428969e-23,12.2464341293
4.1158981991e-29,3.5293736354
2.4287522157e-25,4.9880615614
4.0680650622e-31,3.1032838796
1.0935699314e-23,6.5261665911
2.2238684585e-25,4.9643339368
1.7251512965e-44,1.8120892112
9.8618163359e-47,1.7011519897
3.6833704976e-43,1.8857437997
2.1085281068e-24,23.8740074300
4.1241212989e-23,7.6583376127
1.2236244826e-26,4.3256566103
1.8130032038e-32,2.8787691553
1.0223711961e-43,1.8541126092
4.7218556583e-33,2.7930677579
2.4566343456e-52,1.4791323253
2.4775903032e-32,2.8995630635
4.1578179464e-47,1.6840303249
1.2457332257e-32,111.0047720578
8.4056692073e-27,40.5661572969
1.1841398456e-38,2.1945621015
1.4598106455e-41,1.9836035128
2.4600494051e-23,7.1298922058
3.1931745770e-28,3.7701129220
1.0384230249e-22,9.6376273877
6.4929534039e-35,158.7239847181
6.0336354040e-31,3.1347962166
1.8987875560e-46,1.7143958089
7.5805983930e-33,114.8785982199
3.1980011421e-28,3.7703058729
4.1077965305e-23,7.6536025076
3.8135790372e-28,52.2052346623
1.0100934016e-48,1.6144283573
6.3075644780e-39,2.1725866467
8.9918412805e-46,1.7467573796
1.6498249652e-34,2.6032169951
6.2501208193e-35,2.5537093337
2.6341254953e-23,7.1913686931
1.2895217371e-34,2.5904398107
9.9150132730e-37,2.3645603389
6.2731374653e-46,817.9506430923
1.2232198845e-32,2.8530654321
1.0795681056e-22,11.6726030160
1.6160301272e-31,3.0323713538
8.1625844383e-53,1.4630278610
1.5843951861e-25,4.8759673595
7.0094327903e-25,26.9012714160
6.5732707417e-23,8.3384111935
8.6367190930e-37,2.3588067836
9.7444505355e-28,3.9198851642
4.2621295001e-23,15.5683442998
1.3957095697e-28,56.4568005829
3.8332441882e-25,28.6076559558
7.4716205410e-31,3.1522106557
1.9444614274e-23,6.9331738058
3.5088849959e-42,1.9443773015
9.9112214902e-35,154.2828175846
2.0142020447e-33,2.7418206405
9.0890620735e-23,12.7584790406
8.6385649812e-31,3.1641673809
2.5312757051e-36,2.4044944699
7.2189358487e-31,3.1493920866
1.1256430609e-22,10.2875755926
2.5550045282e-31,3.0670657734
8.8504693579e-39,2.1843425416
2.6763267853e-36,2.4069173460
8.9509101262e-27,4.2695059792
2.8967637418e-24,5.8327702968
4.1662387888e-23,7.6705284716
8.3589796489e-26,33.1100456641
1.9830697608e-45,1.7637366398
1.0647648256e-22,11.7905528624
2.2069680271e-24,5.7182203726
4.3966106839e-31,3.1094323669
8.8304594953e-46,1.7463727818
2.2075036027e-29,64.9465691567
2.4405220560e-23,17.2240104991
9.6922096608e-39,2.1875201694
2.0156740275e-37,2.3000369559
1.3331709946e-30,3.2005815525
1.9477491322e-30,3.2332414324
7.0546068910e-29,3.5889041219
7.8364917006e-42,1.9662713636
1.9086536722e-23,17.9170154875
1.1909073000e-36,2.3722486896
1.0742985534e-31,3.0022279599
1.4008808292e-27,3.9719939785
2.6311657496e-47,1.6751112390
5.0596703846e-52,1.4899023677
2.5429744238e-36,2.4046947527
1.2317715514e-24,5.4945390750
4.6725401995e-39,2.1622914098
1.8587245036e-32,107.9692621522
6.2423056883e-33,2.8103531245
4.0341999643e-29,3.5272059299
3.4974418685e-23,16.1734521342
3.5772129652e-42,1.9448964662
8.2110093338e-23,13.2312030847
9.1855141695e-23,9.1349494437
1.8446629488e-23,6.8918961326
3.9922131231e-23,7.6199107558
1.1228107189e-31,95.2145318412
8.7254981436e-23,8.9771600252
7.0771632534e-23,13.8373577783
5.8014385566e-30,3.3319845686
7.7122846395e-24,6.3171009658
3.5050694630e-23,7.4741487157
2.1432377129e-43,1.8722352895
1.2519880483e-37,2.2815175259
1.3399228048e-37,238.9630875429
8.4406599890e-23,8.8849152661
4.2101008556e-39,299.3554188014
2.8640052023e-24,23.0468267433
1.3110738695e-42,1.9182785775
7.9569194126e-23,13.3661861141
7.5648412771e-57,3978.0321891524
1.4038199681e-44,671.6179203204
9.5342262450e-23,9.2641623242
2.7618888428e-23,16.8686123696
6.6488093674e-27,41.3794569585
4.8157327630e-26,4.5974395571
6.7850747005e-31,83.7929613086
4.7680785113e-48,1.6427079386
1.1908295899e-29,68.0038561993
1.0509745340e-44,1.8007555000
1.9029636737e-35,2.4959358918
1.7463344647e-34,2.6061857925
2.5615568759e-23,17.0855585822
9.7756681525e-47,1.7009761392
1.1192971707e-22,11.2745610258
6.8417219890e-38,2.2584992685
1.9570476809e-36,2.3933792226
1.6288417833e-47,1.6658734845
1.4725750060e-40,2.0511002469
6.9275087915e-39,2.1758261289
2.5430143746e-46,1.7203745849
3.2219961030e-52,1.4831553131
8.7416238025e-30,3.3710210366
5.1032489022e-43,1.8939820253
1.4218704275e-23,6.7006655376
1.3671237688e-26,4.3460513286
7.4015177113e-31,3.1514377581
5.6025184680e-24,6.1445885223
3.8303991834e-25,28.6097796113
3.5777676868e-47,1.6810901126
3.2948449097e-37,2.3195089544
3.8816735812e-30,3.2947817521
6.6147450119e-51,1.5296369202
7.6383838450e-23,8.6407583668
1.8372878863e-34,148.0077777878
2.8152030612e-48,1.6329859509
5.0245315557e-34,2.6628452119
3.6269736803e-24,5.9331956318
9.9158605947e-23,12.2829410691
4.7351284734e-41,2.0173368304
1.3078679487e-38,2.1980754507
4.5467560296e-23,15.3645177350
1.2362350933e-28,3.6536247104
1.8565628115e-38,2.2105622910
6.5366965360e-39,2.1738183391
2.6689261564e-34,2.6285868099
2.4408821423e-27,4.0552872458
3.8063475003e-32,2.9287418542
2.4690016924e-23,17.1908921132
2.6259901040e-24,23.2807322282
1.4960103624e-24,5.5660561692
4.2397112683e-24,6.0063148020
5.8185176885e-38,252.3519376013
9.0077489618e-32,96.7022149155
4.0380607076e-48,1.6396281758
2.5038085248e-49,1.5898995159
9.5206565778e-34,132.4103938161
1.7938057349e-26,38.0062911521
4.0734530509e-26,4.5617323103
1.2878818735e-33,2.7157900944
3.1459178418e-24,22.7940671226
5.2745191626e-47,956.6632877116
1.1079234128e-35,178.6098480266
3.6618517991e-26,4.5394024254
1.3269712380e-26,4.3405435051
1.1624685337e-36,2.3712313736
1.0442171642e-22,9.6678612001
1.0269265891e-51,1.5006197028
5.0521934284e-23,7.9203647416
