likelihood_theta2,theta2
3.5207610504e-63,4.0157692701
4.1029497619e-66,4.1704813880
5.4467005279e-60,3.8497216703
4.1578406304e-49,3.2892955545
2.5501313095e-26,1.6119875765
3.4207951115e-27,0.7685611834
4.6626600286e-34,2.4237932198
7.0368687780e-36,0.0711936282
6.9264360454e-55,3.5869337916
1.9033092082e-71,4.4579430012
6.4596219874e-46,3.1219097492
1.1026418860e-25,1.3789429829
1.1882010630e-25,1.3469385073
4.9040013136e-28,0.6442224304
2.7271384359e-26,0.9492196148
2.0347616577e-27,0.7324764543
6.2071411385e-33,0.2090855107
3.0067649858e-29,0.5015628025
3.3852489952e-34,0.1416722041
1.5879352081e-26,0.8941613640
3.3831114115e-37,0.0321697367
8.5726324449e-28,0.6772651951
1.2508584546e-35,0.0802810892
1.8933083870e-27,0.7276588380
1.4311230817e-26,0.8844265211
6.9422415115e-31,0.3505748291
3.7138423594e-29,0.5112799252
4.4469358755e-46,3.1305084974
1.5552668117e-56,3.6715830956
7.0631131017e-34,0.1574917803
1.6760413904e-48,3.2577982071
4.2396147726e-29,0.5174502598
1.0653980131e-29,0.4559405981
3.0257506733e-36,0.0587889683
2.5062129960e-26,1.6137520103
3.4669017872e-28,0.6245934543
2.1790132418e-32,0.2424761295
1.6725235225e-28,0.5852919565
1.0456846060e-31,0.2883206800
1.1953870368e-25,1.3436268067
6.6416254872e-30,0.4362511398
4.9807574851e-38,0.0157613499
9.7923691384e-27,1.6978906412
2.6376334013e-30,0.3995970341
8.7881527329e-28,0.6787783790
1.1553676754e-29,0.4593846326
8.2691389587e-28,0.6750755655
2.8253418495e-30,0.4022457727
5.7090667361e-30,0.4300837169
2.2952821671e-29,0.4893584759
1.2356169376e-25,1.2432402020
1.0690627520e-33,0.1667614543
3.3158949463e-29,0.5060463936
5.6952144698e-31,0.3436786876
1.1943939910e-25,1.2195512884
4.6382284923e-31,0.3366267304
8.8722879668e-26,1.1235526317
5.4948894950e-28,0.6508045886
6.3752914786e-31,2.1835153039
3.1435310498e-27,0.7625181779
1.4782783825e-33,0.1741917713
6.4049901704e-31,0.3477581106
3.8752987246e-26,0.9903251537
1.2446133867e-25,1.3134051167
1.4848057150e-26,1.6629948887
2.0485822889e-30,0.3899667035
1.8649273747e-27,0.7266543577
1.2428288717e-25,1.2489534550
2.1346783611e-33,0.1828128304
8.4771137363e-27,0.8385631547
1.6408608167e-26,0.8972807792
4.5598303799e-28,1.8955130859
1.2690759634e-27,0.7016525264
1.0165436861e-31,0.2874508023
7.5919766378e-30,0.4417570328
2.1840584744e-30,0.3923909665
1.0836631677e-28,1.9685988939
4.2386912850e-28,0.6358918366
1.4219401014e-30,0.3763462750
4.9100128099e-26,1.0215195664
4.5318989391e-32,0.2632786233
1.7160408666e-33,0.1776655573
7.5190981143e-32,0.2782731060
3.8080188253e-26,0.9881443798
9.2998555188e-26,1.4273831079
1.3980322395e-33,0.1729006747
1.1775057137e-26,1.6828209500
4.4793405873e-33,0.2008573452
6.1317778728e-27,1.7338334969
5.6184659318e-34,0.1524843906
2.0743756646e-43,2.9871916969
1.1221108032e-25,1.1907430173
4.0035938408e-30,0.4158706203
1.7439650473e-38,0.0091632201
3.8123105569e-41,2.8617147833
8.9958585648e-66,4.1523874328
7.0637126578e-29,0.5418300991
2.5820918458e-27,0.7487182253
1.2593609879e-25,1.2692606471
3.4575370177e-33,0.1944523853
1.1390449294e-31,0.2909629200
9.4149406647e-26,1.1376018389
2.1098641063e-26,0.9220718378
2.3243339760e-26,1.6212944597
1.4038256981e-26,0.8826488118
1.9577164480e-29,0.4822799535
3.1917333957e-26,1.5882500005
5.9789842951e-27,0.8104150067
2.6086596158e-26,0.9443694305
5.2537919518e-26,1.0311297718
9.0006644451e-26,1.4349120344
1.7843860689e-32,2.3085450033
1.1393494754e-25,1.1968836251
5.1401837251e-35,0.1046822211
1.1149105141e-25,1.3749098926
2.2625719346e-35,0.0901606623
1.2178369211e-25,1.2317465431
7.4672294078e-29,1.9863108919
3.4817341831e-28,1.9098825450
7.2676808654e-37,0.0405014964
1.7716167813e-32,0.2367786699
7.8499278356e-27,0.8322169553
7.7952849481e-28,0.6715084784
8.5775352760e-51,3.3765430277
5.2378457633e-44,3.0196570563
1.1948776794e-38,0.0071197828
6.2268818171e-34,0.1547246990
2.0040957595e-36,0.0531515003
2.1367273488e-28,0.5982195505
1.9571948161e-65,4.1345020696
7.3229758778e-53,3.4830250808
2.0983686762e-36,2.5796280515
2.9056935313e-36,0.0582225468
1.0251022772e-25,1.1604748661
3.7085417577e-31,0.3290549531
2.0025336649e-33,0.1812982843
1.0035086694e-25,1.4080995849
1.1032047297e-27,1.8458668055
5.3034449497e-37,0.0369409875
1.1716985775e-26,0.8663259071
8.4129824268e-31,0.3573575570
3.2578823635e-29,0.5052353470
4.8221670643e-28,1.8924907575
6.2092654224e-26,1.0565521484
2.3324012235e-27,0.7417238994
1.7619015847e-33,0.1782834617
4.6366484413e-34,0.1483411951
7.1955157480e-29,0.5427311399
3.4928749243e-56,3.6535325268
2.0291971237e-26,0.9181201280
3.1133459259e-36,0.0591898356
5.0520852533e-36,0.0661893322
9.1230572276e-30,0.4494051076
9.5262324943e-39,0.0059587922
5.1524985889e-26,1.0283288915
8.5999130720e-26,1.1166414736
1.1255213680e-25,1.1919323909
2.6691168937e-26,0.9468627812
5.5847898145e-31,0.3430018280
2.7746586698e-36,0.0575802453
5.2865736894e-32,0.2677861542
2.6512212541e-26,0.9461288087
5.8685053655e-26,1.5113145566
2.6910602428e-26,1.6064613477
1.4357872364e-30,0.3767033844
2.1148121060e-33,0.1825908247
1.2498307697e-29,0.4627422169
3.5654415032e-26,0.9800850824
1.0782871171e-25,1.1763493635
9.6890819979e-30,2.0765910241
4.2451650704e-28,0.6359784411
1.0689673918e-28,0.5623420688
3.9711984689e-27,0.7794047336
9.8885895172e-36,0.0765076426
1.4258319108e-26,0.8840840030
1.4390310963e-35,2.5257599181
3.7617220121e-29,2.0178245126
8.7959408777e-26,1.1216078761
9.6136029180e-26,1.1428732674
1.1772182584e-25,1.3517291879
1.5656289091e-36,0.0499087299
4.1951091385e-26,1.0004037611
3.1682201905e-48,3.2433775378
1.4526109099e-43,2.9956192940
4.2802165814e-55,3.5976620489
1.3674183532e-35,0.0817331045
3.1219529085e-26,0.9644253485
1.0417216684e-25,1.3974313631
1.1263730089e-25,1.3710170851
2.8988260885e-35,0.0944437542
1.1780252872e-31,0.2920067990
4.9134233574e-38,0.0156658917
1.1389154077e-25,1.3665982779
1.2308710405e-28,1.9624362921
1.2520820472e-25,1.3058359299
1.5081113259e-26,0.8893030427
4.5351989504e-27,0.7892567982
1.5272652471e-28,0.5805647665
7.7654199004e-33,0.2148388203
1.1332173432e-25,1.1946612545
2.9190793707e-36,0.0582867135
3.2680120298e-39,2.7505768943
3.6518183410e-26,1.5730468527
6.0038432341e-28,0.6559805926
7.0657123610e-28,0.6656166168
5.8365092168e-26,1.0468212685
3.6907277215e-26,0.9842873393
1.6666425533e-29,2.0536111818
5.4217988089e-29,2.0011915647
6.1624460238e-28,0.6575128206
8.5895452327e-30,0.4468856059
2.1983714315e-29,0.4874308204
4.3354122194e-31,0.3343291454
3.4059185573e-34,2.4332837734
2.1132030180e-27,1.8063011874
5.3206395184e-30,0.4272336085
7.0688765016e-26,1.4817816549
1.1164137051e-30,0.3675090510
1.1345158591e-35,0.0787036727
1.0451009125e-31,0.2883034792
4.5325665870e-26,1.5467740334
1.6619250521e-31,0.3028211794
2.5817862003e-37,0.0294754325
1.7152340348e-44,3.0458212330
4.1573527923e-33,0.1990007089
5.1962437896e-26,1.0295414863
2.9827265980e-29,0.5011964873
2.9510277640e-33,0.1905878734
1.1046683989e-28,1.9676735704
2.1951452845e-79,4.9028866632
2.3901632179e-63,4.0245841416
7.8952136681e-30,2.0851016226
2.4629204019e-27,0.7454571150
2.1820718276e-27,0.7371911625
4.7145918198e-31,2.1946552418
4.5518595230e-30,0.4209707203
6.5238080450e-27,0.8172887837
6.9371853546e-29,0.5409504236
1.9907670342e-26,0.9161970915
1.2514444913e-25,1.3065716880
1.2006949821e-29,0.4610263588
9.7167750192e-26,1.1456452261
1.0846625062e-33,0.1670901408
6.3045160659e-28,0.6588554763
4.1121999253e-30,0.4169304953
1.1922942945e-25,1.2185620379
1.9522581888e-34,0.1303468521
1.7180634412e-28,0.5866966508
2.6840011589e-29,0.4964006462
8.4900796994e-27,0.8386902438
2.5044094148e-28,0.6067470151
1.1529855984e-25,1.2019979756
7.2196689908e-26,1.4781436797
4.0647105186e-33,0.1984416209
5.3692624371e-41,2.8533119110
3.5872851067e-70,4.3884168565
8.8257525721e-44,3.0073776393
4.9065115098e-30,0.4239732400
5.8460245401e-30,2.0974390905
4.3034908064e-30,0.4187354713
5.9751675791e-39,0.0036414029
3.8773414129e-32,0.2587610791
2.2360975953e-29,0.4881904268
3.6492416619e-36,0.0614448170
2.0433748851e-33,0.1817760967
6.5832830147e-32,0.2742870402
1.2529086497e-27,0.7008387447
9.1725173963e-32,0.2843014878
2.1403456492e-31,0.3109348587
1.8983152930e-28,0.5919415916
3.1570647238e-32,0.2528813914
6.6008118375e-34,0.1560023534
6.1733831712e-33,0.2089464939
1.1013521117e-26,0.8608765234
6.8937090490e-39,0.0043513035
1.1453429834e-25,1.1991006058
7.8370119560e-29,0.5469103755
4.4243953159e-30,0.4198381635
