tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.462440,0.008138
2.000000,0.229194,0.010314
3.000000,0.117521,0.011015
4.000000,0.067539,0.011221
5.000000,0.032545,0.011263
6.000000,0.024561,0.011133
7.000000,0.015341,0.011131
8.000000,0.012834,0.011228
9.000000,0.010849,0.011345
10.000000,0.005660,0.011512
11.000000,0.003394,0.011377
12.000000,-0.005212,0.011273
13.000000,-0.018235,0.011245
14.000000,-0.005915,0.011242
15.000000,0.001331,0.011239
16.000000,-0.001509,0.011234
17.000000,-0.000312,0.011232
18.000000,0.001829,0.011232
19.000000,0.017631,0.011224
20.000000,0.021060,0.011220
21.000000,0.020076,0.011222
22.000000,0.003675,0.011231
