W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.160369,0.020777
2.000000,1.630781,0.041296
3.000000,1.990383,0.061729
4.000000,2.286720,0.081891
5.000000,2.517696,0.100805
6.000000,2.693305,0.118128
7.000000,2.839411,0.134515
8.000000,2.950835,0.149445
9.000000,3.050432,0.163861
10.000000,3.144288,0.178039
11.000000,3.232693,0.191979
12.000000,3.312025,0.205436
13.000000,3.377747,0.218068
14.000000,3.441924,0.230599
15.000000,3.494728,0.242355
16.000000,3.539559,0.253514
17.000000,3.573004,0.263785
18.000000,3.596855,0.273245
19.000000,3.635814,0.283773
20.000000,3.677389,0.294474
21.000000,3.713180,0.304683
22.000000,3.746420,0.314644
23.000000,3.771158,0.323840
24.000000,3.793934,0.332803
25.000000,3.818820,0.341894
26.000000,3.845524,0.351103
27.000000,3.855298,0.358701
28.000000,3.860123,0.365740
29.000000,3.861104,0.372308
30.000000,3.863906,0.378948
31.000000,3.869114,0.385731
32.000000,3.876930,0.392695
33.000000,3.882625,0.399369
34.000000,3.880693,0.405174
35.000000,3.873455,0.410322
36.000000,3.869066,0.415671
37.000000,3.867884,0.421276
38.000000,3.865144,0.426628
39.000000,3.864654,0.432151
40.000000,3.869961,0.438257
41.000000,3.884005,0.445312
42.000000,3.904708,0.453112
43.000000,3.926776,0.461066
44.000000,3.948385,0.468963
45.000000,3.973645,0.477296
46.000000,4.004218,0.486283
47.000000,4.030297,0.494741
48.000000,4.052261,0.502702
49.000000,4.067882,0.509869
50.000000,4.078077,0.516336
51.000000,4.086206,0.522514
52.000000,4.090870,0.528214
53.000000,4.098484,0.534261
54.000000,4.103605,0.539951
