x1 x2 y
-2.000000 0.000000 3.733333
-1.800000 -0.700000 2.512848
-1.600000 0.500000 0.519845
-1.400000 1.000000 0.882485
-1.200000 -0.300000 2.433168
-1.000000 0.200000 1.879733
-0.800000 -0.800000 1.505621
-0.600000 0.700000 -0.236208
-0.400000 -0.400000 0.210005
-0.200000 0.100000 0.097061
0.000000 -0.900000 -0.615600
0.200000 0.900000 -0.278939
0.400000 0.400000 0.210005
0.600000 -0.500000 0.133392
0.800000 -0.100000 1.667621
1.000000 -1.000000 1.233333
1.200000 0.800000 2.439168
1.400000 0.300000 2.374885
1.600000 -0.600000 0.188245
1.800000 -0.200000 1.738848
2.000000 0.600000 4.011733
-1.964827 0.778101 0.838762
1.697289 -0.993938 0.329777
-1.794341 -0.953352 3.614192
1.978422 0.956880 5.056486
0.134717 -0.202589 -0.112819
0.627269 0.954087 1.540852
-0.157661 0.984464 -0.176596
1.142689 -0.330766 1.616918
-1.271236 -0.866859 2.741519
1.986328 -0.900588 1.162687
-1.440405 -0.422549 2.258308
