var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,3.9433174023,0.1398586028,0.0065662566,3.8552978735,0.3356735913,27.0000000000
sigma,35.2583978860,3.4928446135,0.1547834864,3.4204307752,0.2811926624,24.0000000000
theta1,1.1713744137,0.0158389733,0.0004808817,1.4818788787,0.0839843102,11.0000000000
theta2,1.0857572551,0.0424861087,0.0029340517,9.6620389020,1.2213530682,59.0000000000
