W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.160256,0.013316
2.000000,1.633939,0.026520
3.000000,1.982046,0.039401
4.000000,2.253094,0.051718
5.000000,2.464892,0.063257
6.000000,2.624730,0.073789
7.000000,2.755735,0.083679
8.000000,2.872664,0.093252
9.000000,2.972550,0.102348
10.000000,3.068836,0.111379
11.000000,3.183932,0.121196
12.000000,3.285281,0.130615
13.000000,3.373470,0.139597
14.000000,3.453258,0.148293
15.000000,3.520196,0.156474
16.000000,3.585532,0.164605
17.000000,3.640959,0.172294
18.000000,3.691541,0.179752
19.000000,3.738021,0.187003
20.000000,3.780370,0.194034
21.000000,3.819982,0.200909
22.000000,3.854236,0.207481
23.000000,3.888416,0.214026
24.000000,3.925964,0.220740
25.000000,3.969371,0.227783
26.000000,4.018910,0.235193
27.000000,4.068299,0.242618
28.000000,4.112565,0.249759
29.000000,4.155691,0.256845
30.000000,4.190928,0.263451
31.000000,4.223750,0.269903
32.000000,4.255127,0.276259
33.000000,4.282444,0.282343
34.000000,4.308889,0.288359
35.000000,4.331593,0.294111
36.000000,4.349183,0.299494
37.000000,4.367673,0.304916
38.000000,4.379093,0.309817
39.000000,4.389164,0.314589
40.000000,4.393439,0.318907
41.000000,4.399814,0.323337
42.000000,4.408569,0.327907
43.000000,4.413500,0.332159
44.000000,4.417308,0.336289
45.000000,4.422156,0.340463
46.000000,4.429726,0.344814
47.000000,4.434528,0.348920
48.000000,4.439331,0.352994
49.000000,4.440593,0.356753
50.000000,4.433204,0.359776
51.000000,4.423051,0.362523
52.000000,4.412994,0.365228
53.000000,4.403657,0.367943
54.000000,4.395286,0.370692
55.000000,4.386324,0.373346
56.000000,4.376495,0.375880
57.000000,4.364922,0.378219
58.000000,4.352992,0.380479
59.000000,4.338103,0.382433
60.000000,4.322567,0.384279
61.000000,4.307561,0.386123
62.000000,4.294634,0.388107
63.000000,4.285557,0.390397
64.000000,4.275787,0.392586
65.000000,4.268188,0.394938
66.000000,4.258588,0.397070
