likelihood_beta,beta
3.7793422329e-21,1.4641515096
3.7396010533e-21,1.4448346046
5.7182378155e-21,2.5073976251
5.7225846730e-21,4.2673636959
6.3076246398e-21,3.6779310785
4.0661303207e-21,1.6035231126
5.6934635539e-21,2.4901552811
6.2421853934e-21,2.9923425453
6.2155686145e-21,2.9559254737
3.6659503203e-21,1.4089972506
4.7266533931e-21,1.9317078703
4.5259000876e-21,1.8299780089
2.2521739877e-21,0.6751779665
5.1786224023e-21,2.1732526076
3.6124659326e-21,1.3829295981
5.6096523587e-21,2.4336070560
5.0292228932e-21,2.0909200192
3.9170487557e-21,1.5310397353
4.1441807927e-21,1.6415726136
6.1082309336e-21,2.8315680138
5.9828017744e-21,2.7126602066
3.6621036123e-21,1.4071237719
4.8393759813e-21,1.9900471618
3.7175330910e-21,1.4341025963
4.6080103660e-21,1.8712940410
4.9927733557e-21,2.0712596508
4.2783054935e-21,1.7072425816
3.8837419300e-21,1.5148628503
6.0540195002e-21,4.0001768559
4.1951408369e-21,1.6664745521
3.5440889075e-21,1.3495337707
4.0747762210e-21,1.6077334544
4.2408600667e-21,1.6888646115
3.6712449991e-21,1.4115756255
4.4887932229e-28,14.1795521137
4.7465697685e-21,1.9419436573
4.5394998649e-21,4.9410175403
3.9018968767e-21,1.5236803115
4.0646670196e-21,1.6028106185
3.5054529534e-21,1.3306221676
3.2993976298e-21,1.2290885662
4.0977979608e-21,1.6189495757
3.7405871504e-21,1.4453140589
1.0151933997e-68,31.2831264192
4.4856133812e-21,1.8098341487
3.5269281883e-21,1.3411379403
5.3711359471e-21,2.2844748891
3.7300011832e-21,1.4401665754
2.8479247856e-21,1.0003692759
3.7399438036e-21,1.4450012555
3.6287035787e-21,1.3908481552
2.9928234622e-21,1.0749777672
5.1520234025e-21,2.1583700574
6.2076348117e-21,2.9456206623
4.0699615861e-21,1.6053887221
3.7353443890e-21,1.4427648596
3.2596147097e-21,1.2093251152
6.3758726275e-21,3.4752355333
4.3670134418e-21,1.7509481658
4.7694433242e-21,1.9537358406
