likelihood_sigma,sigma
5.3216602813e-36,1.5638346981
8.3076917600e-37,1.5163679749
3.2163937833e-20,5.8859446275
3.7145155947e-21,22.5797268062
6.9224101768e-20,13.2573778792
2.3870212896e-33,1.7461831420
2.4533518807e-20,5.6704265519
1.3708112333e-19,9.2213187614
8.1004666641e-20,6.9917635270
2.2363983144e-23,3.3941421012
4.3044270230e-20,14.8954955020
1.2058127759e-27,2.3718430543
5.6722047507e-20,13.9665021290
1.7714812973e-21,4.3977236693
4.2054446658e-27,2.4604538394
1.3173656868e-19,10.0712329046
3.3623274100e-20,5.9242438590
9.5057572461e-24,3.2613836733
7.3645129902e-25,2.9316640969
8.7234302069e-20,7.1310101136
1.3709652670e-19,9.2410188838
1.1884322530e-28,2.2256908564
2.6308899055e-23,3.4209476183
1.5063450434e-32,1.8109687535
6.5515683965e-20,6.6559277295
3.7144617865e-21,4.6645755245
5.3555031681e-28,2.3181571461
1.3737391174e-34,1.6553537692
1.3415500781e-21,25.9128176213
2.7047438603e-21,4.5445175613
6.4126497709e-33,1.7802786589
3.0341596598e-33,1.7543250832
9.6358607586e-31,1.9793013037
1.2218993966e-26,2.5425812705
6.6445349434e-30,172.8653291282
6.4401253407e-20,6.6319112993
3.9246420449e-21,22.4042547152
3.0609992163e-28,2.2827720409
2.1759976134e-22,3.8287816172
4.8409508754e-24,3.1655626388
3.2649107357e-32,1.8398121263
5.5545429542e-32,1.8602325880
1.5990480253e-23,3.3404623683
1.3645751344e-37,787.9769879011
2.0756310125e-26,2.5858619595
2.2518221334e-25,2.8048791947
3.8160469771e-22,3.9607884672
3.5119058372e-23,3.4699877623
6.4154560352e-20,13.5331936680
7.1081156425e-36,1.5715294183
7.4468491674e-25,2.9329207554
4.1538325544e-20,6.1207819407
4.0565777749e-23,3.4951592348
6.5379181432e-20,6.6529870055
7.3162263821e-33,1.7849397914
1.2453343950e-25,2.7463472337
3.6011078204e-28,2.2929212171
1.3368969288e-19,9.8998231785
4.6965162688e-29,2.1727909389
1.3477935634e-19,9.7849611656
4.1693063069e-35,1.6204390960
1.5337193822e-30,2.0003610035
1.2766558655e-35,1.5873549073
4.3655975046e-30,2.0496807464
4.2913274235e-26,2.6481433106
1.1928682154e-24,56.4752728388
3.2631819337e-25,2.8431131525
8.3307710014e-29,2.2050994498
7.0573195804e-20,13.1861943913
1.5563622209e-23,43.3908817056
9.1146723926e-22,4.1926207663
1.0173118785e-21,26.8506537938
1.1083710739e-20,19.1539483047
3.0973550245e-28,122.7905074764
5.3922484473e-29,143.6109100926
7.3540683003e-21,20.4271555672
7.2551712038e-22,28.0179738911
1.2364163122e-21,4.2832657252
3.3097220334e-22,3.9261669785
2.4968400119e-20,5.6835541208
8.8837158553e-20,12.2865937060
6.8624707839e-33,1.7826724326
2.1303968874e-34,1.6686258919
2.2712043019e-23,3.3966670219
3.6458429869e-23,3.4764768051
1.1537172992e-32,1.8012578093
4.1684160257e-20,6.1242584013
6.8524369047e-23,36.9458409165
1.9665627350e-20,5.5138476242
1.1244891920e-34,1.6493752450
9.8292941311e-20,11.8472396336
1.9500530831e-22,3.8043870658
1.3616701549e-20,18.5176383722
2.1775277970e-25,2.8014829039
1.3703507197e-19,9.1863594164
9.4511558781e-36,1.5791850997
2.7770002285e-33,1.7513093440
8.7402344072e-20,7.1348252180
3.5216940797e-22,3.9411627883
4.2794964727e-25,2.8718749765
4.4713478612e-28,2.3066042775
7.1600958391e-23,3.5992004875
1.4775335678e-20,5.3318983979
1.0543503880e-24,2.9729051958
1.4587406374e-22,33.9246268011
1.2084180068e-19,10.7577352061
1.9716905097e-26,83.8742999003
1.0048195742e-32,1.7962721067
3.0326418186e-36,1.5491198925
2.0454632876e-31,1.9125641604
4.5173598091e-27,2.4657666766
6.3771527913e-20,6.6183308163
2.8100725602e-23,3.4319761269
3.4338602240e-21,4.6339662579
4.6900710181e-24,3.1612398162
8.8979100276e-20,7.1708015208
2.9562722749e-21,23.3123526666
6.1902462586e-31,212.8020401016
6.1165965871e-21,4.8744140301
1.7446607166e-31,237.5642993243
1.3927848190e-28,2.2350322006
1.8281010908e-24,3.0390339991
1.2899670984e-19,10.2726540729
8.9914898654e-20,7.1923147267
6.1386377953e-36,1.5676209253
3.0219836395e-21,4.5854362977
3.7482559376e-20,6.0221743403
2.1588725653e-31,1.9148022970
3.0175830292e-36,1.5489909969
1.7101950658e-20,5.4223572067
5.2297998041e-26,2.6657322305
2.5741751360e-34,415.8832684937
5.8464631556e-29,142.5797019080
1.3639778744e-38,956.6736405980
5.2440222465e-20,6.3709383133
4.8190040104e-21,21.7530713391
8.9582083681e-24,3.2526639002
2.1895830879e-23,3.3906911487
6.0109314428e-20,6.5391295800
5.0246717373e-20,14.3805642649
1.5744715690e-21,4.3592325528
2.8399297502e-28,2.2781253068
9.9321058142e-23,35.4408793433
9.3404043134e-25,2.9588208038
1.3109299509e-19,8.5142254582
1.7736992502e-33,1.7362195343
1.1928619746e-19,7.9917088982
1.5660804754e-24,3.0200784987
1.7105949052e-35,1.5953948534
9.3876700182e-24,45.7617162064
4.2832192874e-22,29.8884968618
1.9782105999e-36,628.7037384128
1.1138141613e-34,446.6393153419
4.9300029169e-25,2.8871710140
4.4237358465e-26,2.6508277235
4.5345037953e-33,1.7681535117
5.8400376847e-34,1.7000446406
1.8443518363e-31,1.9082880096
4.2450180560e-30,2.0483239838
3.2702092017e-20,5.9001577264
6.1845189627e-25,60.2733069920
1.3204965290e-19,8.5750685404
1.3742553462e-30,1.9953408155
6.0969475045e-36,1.5674398043
5.9731891427e-29,2.1862121676
7.1236630527e-21,20.5264179776
3.1106305562e-20,15.9431498858
1.0708660210e-24,2.9747239962
1.3431363788e-21,4.3088567437
8.2432516729e-21,5.0148658456
