W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.179227,0.013534
2.000000,1.678229,0.027239
3.000000,2.058351,0.040918
4.000000,2.364856,0.054283
5.000000,2.615744,0.067129
6.000000,2.814352,0.079119
7.000000,2.979920,0.090486
8.000000,3.124205,0.101418
9.000000,3.251113,0.111939
10.000000,3.371265,0.122355
11.000000,3.494933,0.133035
12.000000,3.602960,0.143245
13.000000,3.701548,0.153174
14.000000,3.790814,0.162789
15.000000,3.871923,0.172108
16.000000,3.948224,0.181255
17.000000,4.015329,0.190009
18.000000,4.074170,0.198383
19.000000,4.125314,0.206378
20.000000,4.174733,0.214276
21.000000,4.223122,0.222112
22.000000,4.266265,0.229662
23.000000,4.307974,0.237119
24.000000,4.349757,0.244568
25.000000,4.392024,0.252037
26.000000,4.434836,0.259533
27.000000,4.475794,0.266920
28.000000,4.514372,0.274161
29.000000,4.549779,0.281202
30.000000,4.580280,0.287927
31.000000,4.607537,0.294428
32.000000,4.634174,0.300868
33.000000,4.658906,0.307164
34.000000,4.681583,0.313301
35.000000,4.700506,0.319159
36.000000,4.716400,0.324781
37.000000,4.731701,0.330329
38.000000,4.741507,0.335457
39.000000,4.749095,0.340386
40.000000,4.754243,0.345096
41.000000,4.758876,0.349724
42.000000,4.763738,0.354325
43.000000,4.766531,0.358728
44.000000,4.766950,0.362908
45.000000,4.765599,0.366904
46.000000,4.766260,0.371010
47.000000,4.767653,0.375131
48.000000,4.768262,0.379149
49.000000,4.766879,0.382967
50.000000,4.758946,0.386211
51.000000,4.747585,0.389123
52.000000,4.736073,0.391967
53.000000,4.726864,0.394948
54.000000,4.719588,0.398043
55.000000,4.714254,0.401258
56.000000,4.707632,0.404320
57.000000,4.697423,0.407030
58.000000,4.688744,0.409826
59.000000,4.678281,0.412422
60.000000,4.666113,0.414820
61.000000,4.659068,0.417631
62.000000,4.653477,0.420535
63.000000,4.652900,0.423861
64.000000,4.652239,0.427151
65.000000,4.654233,0.430659
66.000000,4.651867,0.433739
67.000000,4.644947,0.436362
68.000000,4.632184,0.438399
69.000000,4.618217,0.440279
70.000000,4.605720,0.442258
