tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.453940,0.005244
2.000000,0.222269,0.006591
3.000000,0.111187,0.007023
4.000000,0.060581,0.007025
5.000000,0.039444,0.007019
6.000000,0.028567,0.006969
7.000000,0.007299,0.007055
8.000000,-0.002318,0.007102
9.000000,-0.004953,0.007109
10.000000,-0.001673,0.007144
11.000000,-0.011807,0.007175
12.000000,-0.019245,0.007182
13.000000,-0.007508,0.007152
14.000000,-0.005702,0.007145
15.000000,-0.005014,0.007143
16.000000,-0.001157,0.007142
17.000000,-0.001593,0.007141
18.000000,-0.005465,0.007141
19.000000,0.000914,0.007142
20.000000,-0.002320,0.007142
21.000000,0.005420,0.007142
22.000000,0.001326,0.007142
23.000000,0.008266,0.007141
24.000000,0.005582,0.007141
