var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,2.8191597834,0.0604969378,0.0020684576,4.7005055640,0.2993956016,35.0000000000
sigma,22.0146340205,1.2948531098,0.0430072787,4.2824438374,0.2656700948,33.0000000000
theta1,1.4955630061,0.0111298256,0.0002258096,1.3832909825,0.0529335128,12.0000000000
theta2,0.9375725585,0.0278640545,0.0014611224,12.3631099056,1.1967521560,83.0000000000
