x1,x2,y,mse
1.228816,0.453405,2.214391,0.0058764841
0.820535,-0.992149,1.050297,0.0047131554
-1.971144,-0.676976,3.061115,0.0061479418
-0.233073,0.150023,0.145208,0.0012525527
-1.546541,0.735388,0.231911,0.0036268928
0.417601,0.099061,0.559916,0.0056199785
-1.718591,0.799830,0.407698,0.0045842307
1.549420,0.634520,2.801434,0.0097715122
-1.332930,-0.607158,2.103046,0.0104905783
0.986627,0.978123,2.488728,0.0159756055
-1.071200,0.319630,1.454833,0.0043123350
-0.677000,0.383807,0.900845,0.0078998096
1.698395,-0.162565,1.727098,0.0021852720
0.939626,-0.793160,0.676598,0.0077986057
1.936048,-0.256244,1.820174,0.0057199812
-0.867667,-0.334169,2.013338,0.0054104057
-1.255681,0.658609,0.353283,0.0082758261
0.145874,-0.389859,-0.890150,0.0108251571
0.668131,-0.897136,0.417363,0.0073926919
-0.580447,-0.448863,0.899066,0.0046549515
-1.916992,-0.518686,3.410091,0.0104701535
1.605356,0.499262,2.799875,0.0097905570
0.199927,0.579149,-0.555669,0.0067057456
-0.512865,0.812725,-0.564670,0.0049846177
-0.756520,0.187768,1.676299,0.0053016554
-1.181225,0.553883,0.597966,0.0082222792
0.014561,-0.310844,-0.755915,0.0105387990
-0.092433,0.263945,-0.281808,0.0056637858
0.319028,0.213414,0.185041,0.0061581662
0.532576,0.914189,0.936618,0.0127697253
-1.632487,-0.680883,2.238989,0.0055612504
1.864825,0.424776,3.447877,0.0073438048
1.142074,-0.875003,0.797287,0.0079619454
0.363875,-0.110773,0.217650,0.0085805756
-1.419972,0.323261,1.140397,0.0067572915
-1.473984,0.925967,0.621027,0.0028257016
-1.794341,-0.953352,1.826163,0.0204471657
0.752728,0.021209,1.673220,0.0039128258
-0.244472,0.064506,0.230751,0.0011208200
1.472821,0.701171,2.732200,0.0084712948
-0.973537,-0.040552,2.341642,0.0065703576
0.568329,-0.226058,0.706266,0.0056401556
1.816189,-0.593747,0.268762,0.0043808521
-0.052409,-0.544525,-1.073736,0.0074640559
-0.377696,0.861960,-0.805568,0.0103722624
1.082586,-0.809962,0.719071,0.0086181939
-0.925435,-0.735599,1.712731,0.0039932189
1.358733,-0.035772,2.022179,0.0080894215
-0.403365,-0.145683,0.666689,0.0067996167
1.382771,-0.404603,0.916072,0.0098466653
