x1,x2,y_krig,mse
-1.618459,-0.226196,2.627932,0.0052792245
-0.307771,0.411320,-0.573040,0.0076139433
-0.506760,0.984223,0.541990,0.0055462390
1.403339,0.786636,2.742811,0.0043740500
-0.631668,-0.522314,0.806886,0.0056346600
0.118279,-0.496140,-0.851583,0.0032397830
0.939474,0.325916,1.867573,0.0075277257
1.227564,0.055963,2.352010,0.0051675731
0.191688,0.234509,-0.018130,0.0047970066
0.555273,0.819670,0.780325,0.0025890418
1.919254,0.081015,2.849873,0.0007287120
0.621273,0.476217,0.852413,0.0048584303
1.134907,-0.445832,1.276359,0.0014025015
0.258938,0.679182,-0.576283,0.0042825370
-1.101696,-0.135714,2.557842,0.0037578308
1.976175,0.307553,3.424000,0.0029537446
-0.156237,-0.910494,-0.311920,0.0036823514
0.803558,-0.335066,1.158986,0.0015778391
-1.009763,0.242134,1.732377,0.0006009864
1.107730,-0.380307,1.472307,0.0008456544
1.728437,-0.671455,0.086407,0.0018619825
-1.403867,0.580037,0.255710,0.0038729274
-1.467041,-0.317242,2.428947,0.0012020718
0.988239,-0.241671,1.766979,0.0024187703
1.790253,-0.405682,0.915343,0.0032069785
-1.587848,-0.074842,2.660859,0.0061517308
1.284139,-0.745511,0.503667,0.0082864366
0.707819,-0.834233,0.369868,0.0064617791
-1.824409,-0.694799,2.541196,0.0002427698
-1.940869,-0.187235,3.440999,0.0048907153
0.431643,0.729720,0.104474,0.0041894588
-0.171313,0.715134,-1.149453,0.0037817684
-0.922703,-0.940300,2.382787,0.0053469863
-1.217764,-0.847008,2.593762,0.0005738494
-0.864361,0.875186,0.676536,0.0114992351
-1.699342,0.603863,0.286224,0.0033266148
0.036538,0.523199,-0.978609,0.0080460969
-0.018812,0.361802,-0.633252,0.0065486813
0.758667,-0.118970,1.529746,0.0005600502
-0.329944,-0.597220,-0.288564,0.0051816367
0.368964,0.955849,0.526460,0.0022949190
1.546919,0.193398,2.480097,0.0035835146
-1.294102,-0.984681,3.419162,0.0026500170
-1.865046,-0.010584,3.187564,0.0025507326
-1.169184,0.488481,0.746810,0.0069744052
-0.786376,0.130049,1.665806,0.0057919401
1.502250,0.013866,2.275873,0.0050428930
-0.681326,0.887860,0.445759,0.0061733598
1.642337,-0.779391,-0.052224,0.0026568532
-0.416021,-0.633362,-0.024669,0.0044717886
