var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,3.5301038378,0.0723846351,0.0023903741,3.6390529422,0.2244782461,28.0000000000
sigma,27.0654289985,1.4368507309,0.0439938279,3.0405169519,0.1742545429,24.0000000000
theta1,1.4277040581,0.0118041334,0.0002476168,1.3646197458,0.0537475568,11.0000000000
theta2,1.0088068301,0.0244543859,0.0011269387,7.9058452206,0.6747644118,55.0000000000
