likelihood_beta,beta
1.9351367219e-23,1.9437484119
2.2074824508e-23,2.2459444601
2.9658427532e-23,4.8468952572
1.4844580826e-23,1.4390102266
1.7430801972e-23,1.7316466941
2.8354338270e-23,3.0442432768
2.0994450476e-23,2.1252009317
2.8716611265e-23,3.1023328733
2.8236682145e-23,3.0259282102
2.4028920810e-23,2.4707915987
1.8092907984e-23,1.8050059802
1.5768801186e-23,1.5450609936
2.4115979110e-23,2.4810909741
3.1362114230e-23,3.7127858309
1.7644193828e-23,1.7553329027
2.6699402083e-23,2.8051550215
1.6662400151e-23,1.6459118241
1.2980027336e-23,1.2174759680
1.3068896070e-23,1.2283192218
2.6306399915e-23,2.7529157504
2.1291278970e-23,2.1582095598
1.6984231235e-23,1.6819139779
1.6482113801e-23,1.6256763629
2.5257638240e-23,2.6193037442
3.0844773460e-23,3.5392831204
1.5914535177e-23,1.5616092331
2.7925987381e-23,2.9787070307
2.5152750663e-23,2.6063302753
2.7750668058e-23,5.1631777547
2.4907864017e-23,2.5762760077
1.4038997177e-23,1.3447218284
3.1406560760e-23,4.3841125085
1.2946711142e-23,1.2134024895
1.9068456397e-23,1.9125934569
2.2600586333e-23,2.3054462860
2.6570997238e-23,2.7879362911
1.3326796163e-23,1.2596066581
2.1427754037e-23,2.1734234808
1.8737893807e-23,1.8761776590
1.8923668683e-23,1.8966460809
3.1733146140e-23,3.9432183956
1.6071151859e-23,1.5793465255
1.5287452944e-23,1.4900807932
1.5211212144e-23,1.4813238104
1.8622565778e-23,1.8634657460
1.7469054874e-23,1.7358961284
1.6680209243e-23,1.6479079940
2.8548115582e-23,3.0749797927
1.5976445484e-23,1.5686264085
2.9795678585e-23,3.2958340379
1.8565576886e-23,1.8571823858
2.3396571774e-23,2.3968132428
2.8878153775e-23,4.9867504549
1.5134733655e-23,1.4725253433
3.7937156521e-26,11.8456421602
8.7388593706e-41,23.1458839168
2.1505547237e-23,2.1821072219
3.0988675254e-23,4.5344809728
1.1757824793e-23,1.0647261072
