likelihood_sigma,sigma
3.4644852870e-33,2.3734172232
4.3707162911e-43,470.2305581940
3.4816705160e-22,7.5456640342
2.2800478349e-28,3.1296770117
3.2139011858e-39,1.8592792939
5.8232839178e-42,400.5481185785
7.4067810134e-40,1.8190707640
5.0848867482e-36,2.0960620184
2.2561721011e-24,4.5589676039
2.8029767927e-40,1.7935034789
3.1118136314e-22,12.0750448361
9.6691446123e-27,38.4669394126
1.0392623278e-33,2.3159245795
3.8974668631e-48,1.4295292050
3.7904084966e-22,7.7235273493
1.5083217347e-22,6.4829398420
7.2886644835e-29,55.7681694497
4.1266138789e-38,1.9342086013
1.5679964949e-24,4.4656112177
1.9670581113e-31,2.5937067279
5.5722571005e-24,4.8186994320
2.0683217111e-29,2.9187480144
1.8331610755e-30,2.7380306545
2.3510435336e-29,60.5147112087
2.7834372726e-23,18.0436935926
4.5830955220e-22,10.5467864856
2.8163861805e-22,7.1893128036
5.1619803951e-22,9.4654750472
2.1582184804e-24,4.5472712780
3.5078241723e-44,1.5900445293
3.8291412825e-44,1.5917837098
6.2960960603e-33,106.4709379604
1.7622704245e-22,6.6295054531
4.2108841487e-24,4.7335020557
4.4157928577e-22,8.1415554440
1.0590496419e-39,1.8286858715
2.5501827297e-34,2.2527957305
1.2869168929e-40,1.7735939463
5.4514087285e-25,4.2230856986
8.5027481872e-40,1.8227680567
9.9740343422e-43,1.6596031784
5.8771420182e-38,1.9451319558
1.4700127317e-45,1.5297908738
8.3467159550e-38,1.9561072946
5.5822992908e-32,92.0056504857
5.1681673254e-22,9.4100140478
2.3461052516e-54,2302.5243388408
7.5885320730e-25,4.2949097817
6.6754535553e-29,56.1257278624
1.5259591051e-24,24.7469937080
3.0514719731e-27,3.4063877505
3.2920774166e-23,5.5022508230
2.4406945739e-23,5.3645774904
4.4428804262e-22,8.1626254338
2.7340775454e-48,1.4239886176
5.1052447392e-22,8.9607989117
5.5197790579e-24,4.8157446719
4.5912436024e-34,2.2787241176
9.8183684114e-40,1.8266406753
2.6547964128e-36,2.0724194458
2.8849947649e-37,1.9960638692
2.3639719616e-32,2.4724131906
9.9185102995e-44,1.6109441014
4.5252724632e-41,1.7476254772
3.1722497565e-42,1.6852445924
1.0085582015e-22,6.1586410763
1.1266807299e-30,2.7049246950
4.8941152893e-26,3.7846322685
1.6124908753e-28,52.6189342676
1.4896794915e-37,212.0936926594
1.7570621469e-47,1.4535975043
7.3349881828e-32,90.3251892287
6.5743390465e-43,458.5062863995
5.0769091695e-22,8.8926568357
2.0895174228e-36,2.0638619626
5.0681235699e-22,8.8737412742
2.0554730901e-29,2.9182455923
1.8610558339e-27,43.7741785376
4.6789652314e-34,126.3679825952
9.2413384938e-39,1.8894773616
8.6588634546e-29,3.0401556856
2.1691983556e-40,1.7868925990
6.2983384734e-31,2.6666097842
5.2681941453e-25,27.3620786820
1.0498948163e-30,75.3051432282
3.2939542273e-31,81.5559257096
1.5203947860e-46,1.4896750776
2.0164340968e-29,61.1833124425
8.6783826803e-24,20.6843845629
2.6613581266e-30,70.5915893640
2.4591409695e-22,12.7850074337
1.0882299207e-29,2.8680610921
3.1104333194e-35,2.1653419276
8.0790815802e-38,1.9550817492
5.2277642154e-48,943.9489436039
8.0474040536e-50,1218.3514014956
2.8968949302e-32,2.4834684217
4.4967715645e-45,1.5504467797
3.2782317178e-43,1.6357462596
9.1755711658e-25,25.9832868937
2.3027771339e-25,29.4832597285
7.0705727532e-26,3.8435275178
3.7856336518e-29,58.4780883191
6.1638992572e-36,2.1031816701
2.1639562105e-22,13.1426518224
8.9012197086e-32,89.1506424542
8.4183662636e-39,1.8867661756
3.9188221321e-22,7.8015875580
1.3929787550e-22,6.4131717406
6.4431871949e-36,2.1048290195
1.5779222180e-46,1.4903131810
4.0774677974e-22,11.1005481811
1.6934311813e-24,4.4848878610
5.6301579392e-35,2.1892049220
4.4630157691e-32,2.5073637700
5.8232587712e-27,40.0489866696
5.1593351395e-22,9.1622472248
7.0740729895e-34,2.2982339587
9.5938828226e-31,2.6942032427
9.7701616321e-29,3.0509721238
1.9448151062e-23,18.8540513463
5.3428177603e-33,2.3949297436
2.5677955444e-23,5.3871145009
2.0681783756e-26,3.6556949510
1.2071762035e-22,6.2951253887
2.8055872261e-45,1.5416572392
1.8565211313e-46,1.4931138843
3.6632538819e-23,17.4213279609
1.1635641529e-31,2.5623439918
3.3300691697e-22,11.8524915311
2.0938238388e-22,6.8108232717
4.7770278182e-30,67.7574573255
1.4160862933e-34,2.2275293588
1.6881499972e-38,1.9072057045
1.5699645477e-35,157.5144893175
5.7740554917e-31,78.4754007057
1.8379216295e-22,6.6716962533
1.0562682438e-27,45.7141490934
7.3978740203e-27,3.5160759097
5.1576528052e-22,9.4942506056
1.2549977039e-31,2.5668068038
3.3884310176e-34,2.2652421995
1.8669994143e-38,241.8462546593
6.3790087099e-38,1.9476831683
5.9993922241e-42,1.6997457971
7.3789273788e-27,39.3048230310
6.7259406731e-28,47.3052246671
5.6091627518e-47,1.4727632189
9.3665425668e-34,120.7473010251
2.5028506020e-25,4.0665892405
1.6095044901e-27,3.3324462057
4.7561747605e-22,10.3273632792
1.6073177334e-32,100.0259731307
1.5252220496e-32,100.3770054173
2.9260549718e-44,555.6510826009
5.6683463785e-30,66.9469597860
2.1149693374e-27,3.3635068440
6.7590312608e-41,343.9240065291
1.9564015845e-47,870.6661696755
1.6189423768e-30,73.0781114155
5.3267205130e-37,195.6057092428
1.0914007246e-53,2096.8576811437
1.7912024344e-23,5.2336961410
1.9025387631e-24,24.2185088440
1.0140377311e-22,15.0621391448
3.3307119758e-24,4.6655941622
5.2018405280e-26,33.5161192676
5.0972905373e-22,9.7237636688
4.0356761923e-44,1.5928281701
1.5768537557e-24,4.4670139494
8.2809502224e-48,917.7388317142
1.6731290105e-32,2.4538809358
9.0308358023e-27,3.5420677489
3.1742256636e-36,2.0788591624
4.7570552878e-31,2.6485812394
3.6284947818e-26,34.5391696285
2.3548020500e-22,12.9080157199
6.3663542111e-27,3.4968319189
3.1736977672e-39,1.8589259247
4.1839573760e-22,10.9899796259
7.0834666199e-27,39.4325722660
1.3755455895e-27,3.3149116382
7.4253763065e-27,3.5165549382
4.5189538777e-22,8.2238626086
3.8951257961e-28,3.1821040455
6.6063445331e-32,90.9658426711
1.9382211459e-23,5.2660605788
3.1102473488e-46,1.5020788331
1.7688840139e-42,1.6721914028
5.1582061639e-48,1.4339425001
3.9822508155e-24,22.4784396214
6.8924966614e-33,2.4077924568
1.0126147665e-45,1.5230384376
1.2700820585e-33,2.3252754517
1.5198240059e-26,37.0923551032
5.2170461554e-39,1.8729942955
3.8542782684e-25,4.1513373619
2.5325749317e-30,70.8364338594
3.8069031202e-38,1.9317369360
1.8474255758e-37,1.9814921069
2.0528594374e-23,5.2900566814
5.9782793455e-26,33.1260580839
5.2333374817e-47,1.4716025982
3.2243613316e-26,34.8787633962
1.0335009824e-41,386.5349186778
3.1567288861e-36,174.6053100448
1.1769739760e-30,74.7120327878
1.5171787196e-34,2.2304570641
1.9946352010e-39,1.8459931461
1.2824605096e-32,2.4398447466
9.8003954981e-28,45.9753824839
2.6458671634e-23,5.4005617473
1.4290766000e-30,2.7209733915
1.2300309667e-42,1.6641847092
6.5411774119e-24,21.3314672331
2.5932323449e-37,1.9925562077
1.2764664767e-35,2.1306242362
5.1389255013e-22,9.5859334779
3.2484367020e-23,17.6939364081
5.2475225996e-23,5.7436069529
1.7128060236e-36,2.0568178399
7.3466617419e-42,1.7044144263
2.5926871862e-44,1.5840778187
8.4603978710e-29,3.0380895175
4.6237879622e-38,1.9377074656
7.9025899017e-26,32.3519724193
2.9329549226e-23,17.9253006602
1.4179073565e-35,2.1346538260
1.4685819901e-42,1.6680805111
1.6277776689e-24,24.5917708650
3.8587963040e-23,17.3031749593
5.1719993845e-22,9.3205032906
4.4166678821e-30,68.1317854912
1.6271053344e-37,1.9773846182
3.2847302495e-23,5.5011776903
3.2223136777e-44,1.5883638759
3.5602759934e-39,1.8621581157
2.5687661583e-26,3.6870354477
7.2900756272e-30,2.8375129966
5.7733591215e-48,1.4357250323
4.4573029678e-48,1.4316390222
7.8399169954e-36,2.1121585606
1.2256134579e-24,4.4054895773
5.0803334133e-24,4.7900745067
4.7055209790e-28,3.2011409514
9.7257575211e-26,31.7832073447
2.1339855758e-24,4.5443099059
2.9358188700e-24,4.6302378117
9.2335613986e-26,3.8878345779
4.4919241255e-22,10.6537720441
1.1370113995e-23,5.0590415629
5.2082503613e-33,2.3936502645
4.3558619553e-22,8.0961509411
6.9203475743e-25,26.6801169896
1.5130364828e-33,2.3335082242
3.4009434564e-48,1.4273939808
1.0306557155e-39,1.8279510637
2.2591789302e-22,6.8985729750
5.1217424159e-28,48.2857078397
3.5161210341e-23,5.5342017260
3.1639646925e-24,4.6511076684
1.4176028411e-25,3.9619986844
1.4112874968e-26,3.6021146117
4.3329859505e-32,2.5057116342
2.6155645049e-42,1.6809073732
1.2070996965e-35,2.1284887790
7.1460318488e-31,77.3320895888
3.0217475625e-28,3.1569758822
1.1739285849e-40,1.7712761731
2.6759193268e-46,1.4994534603
2.2879298394e-31,2.6029034513
3.9764822999e-35,2.1751472963
1.9249443441e-27,3.3527166307
2.1213476227e-22,6.8255237542
1.7512485330e-34,2.2365774134
2.7552172714e-32,2.4807308014
2.8286520063e-28,3.1505216375
9.9930078099e-28,45.9073980033
2.7755030793e-33,112.4083879620
2.8389509664e-25,28.9390267927
1.0742698598e-22,14.9235405292
5.2207323402e-36,2.0970341864
7.0377880820e-29,3.0218073823
3.9481251273e-28,3.1834557773
6.6549219398e-40,1.8162143959
1.2035610446e-36,2.0444494487
5.7754342250e-26,3.8108358968
3.2522953207e-44,1.5885470285
7.6476541773e-25,4.2966369720
1.3012567629e-25,30.9954224100
1.4275693002e-34,2.2278718001
1.0699955558e-33,2.3172778378
4.5940775897e-26,33.8668471399
6.3448486138e-23,16.1639936744
9.2461097661e-26,3.8880635742
4.3543366061e-22,10.8078112098
3.0331867551e-23,5.4633745107
2.0085904414e-32,98.5459886284
4.1991758132e-44,1.5936187709
8.3250202686e-46,691.7130174324
1.0540887583e-41,1.7128051255
2.7984817203e-31,82.4700618166
5.9064067920e-25,4.2401793172
1.5842097228e-43,1.6205594085
2.4799577149e-31,2.6078404743
5.0586610491e-22,8.8542729188
5.0603847731e-22,8.8577548211
3.2235608117e-23,5.4921773201
3.8429723298e-43,1.6391075729
8.7150250869e-25,4.3260148019
7.7031375925e-40,1.8201201987
