tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.699630,0.008686
2.000000,0.516249,0.013440
3.000000,0.399394,0.016291
4.000000,0.320201,0.018152
5.000000,0.259236,0.019627
6.000000,0.226047,0.020527
7.000000,0.187973,0.021284
8.000000,0.166830,0.021698
9.000000,0.153788,0.021867
10.000000,0.146553,0.021790
11.000000,0.148525,0.021473
12.000000,0.158638,0.020981
13.000000,0.146329,0.020867
14.000000,0.129030,0.020924
15.000000,0.128687,0.020866
16.000000,0.136427,0.020827
17.000000,0.129081,0.021035
18.000000,0.136542,0.020908
19.000000,0.127742,0.020934
20.000000,0.119476,0.020976
21.000000,0.112812,0.021133
22.000000,0.104527,0.021441
23.000000,0.083253,0.022016
24.000000,0.078289,0.022361
25.000000,0.066211,0.022602
26.000000,0.051794,0.022758
27.000000,0.039882,0.022857
28.000000,0.034279,0.022817
29.000000,0.029071,0.022887
30.000000,0.028223,0.023016
31.000000,0.035161,0.023031
32.000000,0.039025,0.022990
33.000000,0.054397,0.022743
34.000000,0.055924,0.022616
35.000000,0.055402,0.022523
36.000000,0.047151,0.022438
37.000000,0.038049,0.022232
38.000000,0.032682,0.021916
39.000000,0.020444,0.021625
40.000000,0.016480,0.021455
41.000000,0.018669,0.021313
42.000000,0.017508,0.021216
43.000000,0.019214,0.021090
44.000000,0.021812,0.020940
45.000000,0.042379,0.020662
46.000000,0.049908,0.020499
47.000000,0.058935,0.020332
48.000000,0.072994,0.020140
49.000000,0.079786,0.020009
50.000000,0.065717,0.020040
51.000000,0.064537,0.019981
52.000000,0.059353,0.019972
53.000000,0.062581,0.019920
54.000000,0.067326,0.019858
55.000000,0.055447,0.019902
56.000000,0.041532,0.019950
57.000000,0.045207,0.019905
58.000000,0.046140,0.019890
59.000000,0.060970,0.019797
60.000000,0.069795,0.019736
61.000000,0.075938,0.019693
62.000000,0.077759,0.019679
63.000000,0.086314,0.019624
64.000000,0.084550,0.019641
65.000000,0.072789,0.019724
66.000000,0.066318,0.019773
67.000000,0.064129,0.019794
68.000000,0.061043,0.019820
69.000000,0.062987,0.019817
70.000000,0.065377,0.019812
71.000000,0.064376,0.019829
72.000000,0.066241,0.019833
73.000000,0.065378,0.019856
74.000000,0.049481,0.019951
75.000000,0.043554,0.019994
76.000000,0.041155,0.020021
