likelihood_theta2,theta2
7.0505397810e-28,0.9588650605
1.2765545351e-26,1.3355513314
1.8648479306e-28,0.8611916780
1.9794854056e-31,0.5122790536
1.8849538505e-33,0.3487710047
5.6408267089e-32,0.4638639745
2.4755748904e-29,0.7383180734
1.1622367841e-27,1.0009662707
1.4149484952e-26,1.3801939173
8.7062403832e-32,0.4802095109
3.1420979610e-36,0.1835317869
6.4593828474e-31,0.5612573435
3.6476337988e-30,0.6397542469
1.0360950517e-29,0.6917274468
1.7377000393e-38,0.0886203271
4.3547528183e-31,0.5445432593
4.2936940932e-30,0.6476212375
1.6457564308e-30,0.6025750564
2.3659980635e-34,0.2885485184
2.1519810695e-35,0.2271441738
1.6329305035e-29,0.7156609380
4.3093486655e-29,0.7697530400
1.1616458035e-26,1.5798862869
2.8134143422e-29,0.7454409153
1.2458013802e-30,0.5900191439
3.3280812201e-30,0.6353696575
2.4718269672e-32,2.4088901086
3.6524880933e-69,4.5376951343
5.0735021432e-38,0.1055786874
1.4379306997e-26,1.3903908003
2.1135305007e-34,2.5703440167
2.2919943802e-39,0.0602286329
1.2009996849e-26,1.5706675870
1.3979095814e-26,1.5144426668
6.9251989082e-28,1.9111963588
3.8070687640e-33,0.3708118078
1.3746007805e-38,0.0850862047
2.9660621861e-29,0.7484052656
1.3895115912e-26,1.3703663189
3.0940408177e-28,0.8963494057
6.3399133509e-35,0.2538034042
2.9739172287e-32,0.4404761278
2.9235050702e-38,0.0966895182
3.7446689514e-33,2.4755084221
5.1524987612e-38,0.1058328648
8.6703073862e-28,0.9758381452
3.6073798637e-28,0.9074585570
3.3005357882e-38,0.0986156490
1.2593257964e-26,1.5562199093
7.1901538266e-41,0.0243870116
3.0622250920e-34,0.2956582696
8.3309804736e-32,0.4785316999
3.1400704432e-33,0.3646858233
1.5590873979e-59,4.0029139080
9.7810258315e-40,0.0498358176
1.0135020838e-35,0.2095011157
1.1075666047e-30,0.5847817101
5.7872656352e-28,0.9431825708
1.2555460950e-26,1.5571914725
1.2098269548e-27,1.8673116912
2.3792323221e-37,2.7723457358
9.0912035358e-38,0.1153655940
1.2033043462e-37,0.1202103236
5.7233700251e-37,0.1488598284
7.5069986892e-33,0.3929412306
7.8175946881e-36,0.2035912226
3.1270579304e-33,0.3645544784
9.1312073356e-40,0.0490399091
8.7642464563e-36,0.2061823526
2.2441284894e-31,0.5173140862
1.7617496115e-33,0.3466970161
9.5983462463e-27,1.2615924396
1.4890647711e-38,0.0862850425
2.0182472119e-33,0.3508754051
6.4196386273e-37,0.1510846448
1.1720611633e-38,0.0827191628
1.0159254675e-34,2.5934582219
2.7994861777e-61,4.0975252189
1.5954253828e-37,2.7835246835
1.1893440881e-51,3.5822142185
1.1385244249e-30,0.5860058290
5.6340315434e-28,0.9410879935
5.8584334774e-31,0.5570802220
1.3315945412e-32,0.4122868337
1.5870516863e-29,0.7141366734
1.2794955504e-33,0.3369895609
3.0248791134e-40,0.0371745525
3.8572013055e-44,3.1756255946
9.9988969726e-27,1.2702912432
1.7908759755e-27,1.0407932276
6.9538242980e-36,0.2009546426
7.0325974925e-38,0.1110089814
2.3312562284e-30,0.6186000419
1.4928573879e-26,1.4546692013
1.3281523065e-31,0.4965090497
1.8262431632e-31,0.5090652527
1.3011163161e-69,4.5634750146
1.7312256180e-31,2.3354917083
1.5456341451e-28,0.8486793942
1.1126699074e-35,0.2116476688
1.1697656671e-28,0.8305814146
1.3387288289e-27,1.0135967961
1.8109053149e-29,0.7212231573
7.6352429897e-34,0.3216831188
4.6238250808e-28,0.9259190545
2.0435704647e-31,0.5135540375
7.0963769999e-30,2.1765151858
7.5277010712e-59,3.9660677025
1.8181505410e-32,2.4200088213
3.4068708763e-29,0.7562428217
3.0972042170e-52,3.6132902943
2.7137686039e-34,2.5623670020
4.1989471505e-41,0.0203328436
4.5647405133e-34,2.5456194113
3.5754883937e-39,0.0660333559
4.4583945394e-33,0.3758842287
4.3416326476e-28,0.9211755838
2.5705867925e-28,0.8832254287
5.6153972377e-37,0.1484922956
2.7500005647e-28,0.8879672318
4.2312111972e-34,0.3047169223
1.5316159572e-27,1.0259647772
3.4054082122e-30,0.6364655383
2.4755353597e-33,2.4896151825
6.9006937722e-38,0.1106907299
3.5783967238e-39,0.0660441982
8.7739168215e-27,1.6408350670
1.9911067659e-27,1.0511496890
4.6609931843e-31,0.5473959208
1.2528175425e-31,0.4942317772
2.8312592762e-35,0.2337608515
3.7947200730e-30,0.6416533008
1.9073350808e-54,3.7307785791
5.7355166156e-28,0.9424805229
1.2824142694e-35,0.2149344500
3.4931451080e-40,2.9478900357
1.9809663752e-32,0.4260633371
3.3544581842e-28,0.9021698643
1.5757006233e-28,0.8499512246
1.3523502760e-30,0.5936967952
2.2318669215e-34,0.2869540476
7.4542933733e-38,0.1119904004
6.3445512639e-38,0.1092834077
1.8538870933e-34,0.2819190073
4.8040036196e-30,0.6530909963
3.3524961420e-31,0.5336719698
1.7784755886e-40,0.0321028739
7.7635394359e-41,0.0249965549
9.5828408257e-36,0.2082183861
2.5862529337e-42,0.0047085441
7.5958195277e-28,0.9649117489
5.6144431012e-32,0.4636895980
1.4054939603e-29,0.7076768008
7.6143326003e-34,0.3216029899
