likelihood_theta1,theta1
2.7392931619e-35,0.2942351826
9.1824204032e-41,0.0205882973
3.8019989080e-27,1.2510170837
1.4021435529e-35,0.2739889270
1.4704178028e-32,0.5261183800
1.2237648768e-25,1.8553563470
4.2711064621e-50,3.6184503985
4.0850724374e-30,0.8009799598
5.7332789563e-30,0.8196445895
5.3130763885e-37,0.1857549243
1.9759595628e-33,2.8806234202
6.7873193868e-37,0.1918223261
1.5237372446e-27,2.3538880345
5.0107570017e-29,0.9456099275
4.9739556492e-26,1.5281301822
1.3542508817e-31,0.6267752061
6.3891896750e-35,0.3210393510
5.7229134226e-29,0.9537512055
2.3050423604e-41,3.2965605826
2.1745702772e-73,4.1955453635
6.3261126573e-28,1.1122474423
2.7733104752e-26,2.1320573621
2.9520467544e-35,0.2965480257
1.9375008550e-36,0.2187031559
7.3570011446e-29,0.9692912602
1.8828929479e-27,1.1937581697
5.6090878915e-33,0.4855610304
4.2449758892e-37,0.1802587003
2.1516811874e-33,0.4470700100
3.5646928206e-27,1.2455756025
6.3610277027e-27,2.2595178238
5.3617167288e-26,2.0526287586
1.2452947511e-71,4.1600963682
1.4625564010e-32,0.5258876037
9.2587357874e-27,2.2309416845
4.1216633203e-30,0.8014677613
2.0890177125e-38,0.1118773524
1.0992332682e-26,1.3478679082
2.0167412407e-28,1.0338876611
7.7787596070e-26,1.6065196228
2.5433908422e-27,1.2177251337
1.0085554065e-25,1.6697761122
1.5994043144e-26,2.1851542712
2.2621069482e-26,1.4247452742
4.0832329150e-26,1.4993580497
4.6801852457e-35,2.9813223709
5.6396956746e-38,0.1333627854
4.3264329444e-27,2.2869600371
2.2411184654e-38,0.1133626141
4.2563292591e-38,0.1271676563
9.2363095479e-30,0.8463426941
1.3636602015e-26,1.3696337902
3.0805110917e-38,0.1201537412
6.5730189640e-38,0.1367688219
1.0737427745e-25,1.6898302517
2.5903430065e-31,0.6580983886
4.4728507916e-34,0.3878327769
2.2721079049e-38,0.1136534789
9.0952973250e-38,0.1440732103
1.0264573347e-29,0.8523242270
2.7855823089e-27,1.2251260534
1.6624481869e-26,1.3904698330
1.7856405602e-34,0.3554075448
1.7825354743e-28,2.4691278424
9.8588183396e-26,1.9398544972
1.2648321159e-25,1.7897395319
1.0942024894e-25,1.6965726011
9.1798801473e-39,3.1782097948
1.5649808098e-31,0.6336851185
1.6361833775e-26,2.1831196928
6.2630754789e-30,0.8245536901
1.7116683158e-28,1.0231216051
6.5093736072e-30,0.8267016302
1.1463389788e-27,1.1557106182
4.5362783362e-32,2.7868891806
7.3597741662e-30,0.8335617827
2.5676413245e-37,0.1681615821
4.0157550389e-33,0.4719315056
1.2461160510e-30,0.7375445575
9.1962567868e-29,0.9832710217
1.0565698985e-28,2.4940597598
4.2357388683e-36,0.2397844706
4.1683438350e-29,2.5361145798
3.0848880069e-31,0.6666853171
4.1448331757e-36,0.2391868046
3.7475244805e-36,0.2364207706
1.1516241771e-25,1.7173370644
6.1547930784e-31,0.7012436897
6.0030573521e-40,0.0459076100
6.7824839080e-30,0.8289940879
3.5108859161e-76,4.2500297745
1.1190312273e-33,0.4218353570
8.8335437548e-37,0.1984357523
1.0946694545e-26,1.3474562567
8.6395685680e-29,0.9793420299
2.0876285293e-30,0.7647486345
1.0562468307e-35,0.2656699483
1.9871818973e-32,0.5391775900
7.1199065940e-80,4.3189978090
1.5027358993e-26,2.1906740495
4.2881603749e-26,1.5062677035
5.0501386072e-33,0.4812556805
5.3322920844e-29,0.9494133122
1.1003051851e-30,0.7310661636
9.0116575873e-31,0.7207389688
3.1688991045e-69,4.1100190817
1.6564785418e-26,1.3900837101
3.1859371269e-38,0.1208785535
3.9361318706e-28,1.0789694205
5.5704157803e-35,0.3166066250
5.4624439433e-40,0.0444565088
1.3717601290e-33,2.8909330786
1.7182744861e-44,3.4231946454
4.4752558956e-40,0.0414514762
1.5066303871e-28,1.0148197586
5.5618674942e-32,0.5852098246
1.2843947024e-29,0.8651163774
4.3771865447e-34,0.3870506800
1.0103701721e-29,0.8514273932
1.8395350354e-40,0.0290619893
7.7001349909e-39,0.0914137679
6.9734330349e-26,1.5849958892
3.6835897116e-32,0.5665189549
2.9365724646e-38,0.1191251459
4.6037730379e-27,1.2674282548
4.3695793608e-36,0.2406427971
2.4414136182e-36,0.2248364655
4.9442945014e-36,0.2440677067
3.8426737420e-26,1.4909773799
5.2372057957e-32,0.5824596737
1.5288171157e-31,0.6325651746
5.0294550073e-38,0.1308318009
6.5721966410e-35,2.9726165795
1.1275517300e-25,1.7082316614
6.0487107427e-37,0.1889585056
9.3644423029e-40,0.0529866762
3.2790565717e-40,0.0369271605
8.9161506593e-32,0.6070485633
7.7591825409e-30,2.6060594763
5.5133889871e-34,0.3954453813
1.2689268669e-32,0.5197951848
4.5286968467e-83,4.3761475369
2.3889051903e-33,2.8752162526
1.0115667626e-25,1.6706652753
2.1361106361e-32,0.5423388183
9.5546649833e-32,0.6102879488
8.3075716573e-30,0.8403639116
5.2563387941e-30,0.8148376239
1.2285777497e-25,1.7544207156
1.4643358252e-43,3.3870716387
3.3077181884e-35,0.3000856786
9.5048703032e-31,0.7234871743
1.7940190632e-35,0.2813440511
2.0912374106e-40,0.0307447169
7.0832517765e-62,3.9438457113
1.3659721100e-35,0.2732153926
2.2112400517e-27,1.2064780564
1.1533073126e-30,0.7335115777
2.3189271100e-45,3.4558921468
1.8095411381e-73,4.1971329809
3.7181840156e-37,0.1770420711
6.7670076892e-34,0.4029841094
2.3580765975e-33,2.8755873466
1.4092212380e-40,0.0256820259
1.1595926348e-29,0.8592682857
5.2956992218e-37,0.1856742590
6.0866686915e-34,0.3990751890
4.2033843336e-26,1.5034332420
7.5546281551e-26,1.9978354533
6.4907458528e-39,0.0880369503
3.0538624899e-36,0.2308517545
3.7798232657e-26,2.0976304348
3.9323088157e-26,1.4941364013
9.2576078933e-27,2.2309512966
2.1475876148e-35,0.2867825842
2.7508459969e-35,0.2943650378
1.1900392298e-28,0.9996343509
1.0700238498e-27,2.3746313824
2.9902484104e-27,2.3117522093
9.2600087926e-38,0.1444800579
1.7515005470e-26,2.1769528073
2.1027649812e-31,0.6479319244
8.6901384174e-27,1.3250720863
1.2319908804e-25,1.7566429857
1.4992330065e-30,0.7472303739
5.3328710770e-68,4.0837485714
3.9546199849e-32,0.5697144457
6.7715308749e-32,0.5942604535
5.3293038409e-28,2.4132915819
1.0142751326e-28,0.9894619918
2.8439037011e-35,0.2953927176
1.2674266266e-25,1.8099404562
1.8939136861e-35,0.2829760335
1.3417365704e-37,0.1529623397
5.1491164466e-34,0.3929482076
8.8379339116e-31,0.7197364617
1.9723554429e-34,0.3588409923
2.1231720644e-37,0.1636626228
5.1207069880e-30,0.8133940539
7.1460390292e-34,0.4050030773
5.3667402363e-28,1.1005807815
3.6439624799e-27,2.2986506170
4.9965168156e-36,0.2443600751
9.1792588798e-64,3.9886429457
2.8334182132e-31,0.6624985765
4.0741797346e-32,2.7902732370
2.0421240121e-33,0.4450223872
3.6603362826e-37,0.1766627740
4.6983877104e-34,0.3896157053
3.8657070502e-26,2.0949616671
2.3783474679e-26,1.4305722504
2.9885783880e-36,0.2302676534
1.5332908798e-26,1.3818606117
1.9817306137e-27,1.1977842593
9.9244722768e-26,1.6650679655
1.6648288097e-39,0.0627214362
3.5956071621e-26,1.4820253895
8.5646102217e-30,0.8420803060
4.2297525813e-33,0.4740345987
3.3384440190e-35,0.3003742829
2.6782780516e-32,0.5523019059
5.0627360898e-40,0.0433013076
9.8178836913e-35,0.3351583272
8.7275904908e-39,0.0939139996
6.3566643981e-27,1.2960435605
2.0491939431e-32,2.8116129319
7.5529698825e-26,1.6005119577
1.0314616468e-37,0.1469321427
6.8622413728e-26,2.0147271107
1.3114070055e-42,3.3487970820
1.3574576107e-35,0.2730305127
3.8928740163e-34,0.3828245241
1.0495562695e-33,0.4194059875
2.8905712415e-33,0.4587369103
8.9712229185e-31,0.7205072999
1.0530282061e-25,1.9209216886
2.1167984281e-40,0.0309059903
2.6940226431e-40,0.0341729072
1.4365435739e-40,0.0259202599
2.2626228988e-30,0.7690425598
4.9280745386e-26,1.5267197282
2.4623456586e-26,2.1442900730
6.6395439145e-30,2.6122064082
7.4051023518e-35,0.3258491709
4.8580693903e-27,2.2788900336
1.2664187986e-25,1.7937296865
7.1296541171e-29,2.5121795568
5.2561391017e-26,1.5366662501
6.5186218593e-27,1.2983293101
6.5620459530e-32,0.5928098342
2.7003209587e-29,0.9084264230
9.1859786995e-54,3.7298325751
2.7625084613e-50,3.6244749622
1.9581934358e-38,0.1105155409
2.5122331368e-39,0.0700568331
4.3405618261e-32,0.5739214159
3.2387664254e-26,2.1153187594
1.6620179550e-31,0.6365721200
8.4710651504e-37,0.1973781236
1.2227798278e-25,1.7508429686
9.0469134068e-26,1.6404847504
7.0738269898e-33,2.8436536029
9.3615669986e-31,0.7227030673
6.7688219767e-36,0.2528872186
9.7283741419e-27,1.3359058854
1.7681567883e-34,0.3550688795
9.3619958789e-30,0.8471071320
1.3538003834e-35,0.2729507667
3.1365039461e-30,0.7866041664
4.6539214444e-29,0.9411074726
2.3190536803e-41,0.0073779289
5.9920152698e-40,0.0458791270
4.5846183549e-26,1.5159361567
7.6300925036e-26,1.9959992574
2.0247633173e-35,0.2849955307
3.9033899103e-29,0.9304551787
9.6210338629e-26,1.6563908772
2.0647244841e-30,0.7641612130
3.7685408581e-36,0.2365738548
1.2578935010e-26,1.3613781819
1.7486860405e-35,0.2805750995
8.3429633840e-26,1.6215320641
1.8148553806e-39,0.0642347446
1.3359753970e-35,0.2725591729
1.1507896445e-31,0.6190486534
1.2678187926e-41,0.0039330785
9.2293213485e-26,1.9563960281
1.8873612182e-26,2.1700588343
1.1060269171e-25,1.9044277166
1.0500293636e-25,1.6823166077
1.7390417158e-39,0.0634846451
1.0329797346e-31,2.7605161481
4.1669781939e-27,2.2895435058
4.3825315364e-35,0.3089402872
2.2461698458e-31,0.6511385332
4.9862106675e-32,0.5802195954
1.9020335852e-28,1.0300313621
9.0952339303e-37,0.1991740274
2.6791535333e-29,0.9079600923
1.2216433679e-25,1.8565938222
2.3792920599e-31,0.6539443401
6.0122145461e-33,0.4884196395
1.2044156074e-25,1.7407257016
3.3261343397e-27,2.3047444537
2.8383965611e-34,0.3715704595
2.5965158940e-36,3.0524721841
7.3016693444e-29,0.9688212057
2.3210287626e-31,0.6527353221
6.9224949547e-73,4.1854983792
1.6350859937e-26,2.1831799034
5.1552943450e-27,2.2746967275
2.4330331305e-29,2.5592894786
1.2045845710e-26,1.3570021943
5.2594742755e-41,0.0146086567
6.2446632306e-31,2.6997838390
4.8331837549e-26,2.0668489058
8.1643384962e-29,0.9757936378
7.1640797836e-29,0.9676375669
4.9443984152e-84,4.3929207119
2.9034694248e-36,0.2294878487
2.5106485956e-31,0.6565692502
1.0475992129e-25,1.9225204170
1.9355792113e-27,1.1959273631
1.0170092288e-83,4.3874794917
1.4181298484e-31,0.6289726331
5.3632416389e-32,0.5835461344
1.2775218163e-33,0.4268810046
3.5240699439e-26,2.1057902856
2.4484768733e-33,0.4521558719
2.8035810071e-33,0.4575213610
8.3497687496e-38,0.1421391163
1.2259646456e-39,0.0574657828
1.0769935217e-25,1.9136808294
1.2353278127e-25,1.8480414425
6.1472700417e-31,0.7011816338
6.3901854200e-34,0.4008677159
4.8326440206e-33,0.4794566651
6.1473035653e-27,2.2620234649
3.6526776538e-31,0.6750477900
3.1906146830e-32,0.5600841187
6.5365697286e-29,0.9619505532
6.3074863425e-34,0.4003874412
7.5457818924e-26,1.6003205018
7.0715609648e-28,1.1202334218
2.8522797039e-38,0.1185003244
3.2879680120e-35,0.2998988342
6.6058801707e-35,0.3221228490
1.1788962442e-25,1.7286603262
4.7199399170e-34,0.3897818150
2.2921499503e-36,0.2231548159
9.2323566835e-38,0.1444122401
6.2761910211e-32,0.5907573332
4.1315854369e-33,0.4730827220
1.0781301250e-34,0.3382817839
