var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,4.1317742263,0.2085452957,0.0130619415,5.9225103167,0.6824512015,38.0000000000
sigma,37.1300239294,4.8851476026,0.2678339778,4.2844550898,0.4343469163,29.0000000000
theta1,1.2109769867,0.0187225785,0.0006681864,1.5569350162,0.1039793131,12.0000000000
theta2,1.0398613329,0.0676433109,0.0070133911,20.1115772620,3.7519115918,105.0000000000
