tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.934652,0.019463
2.000000,0.870627,0.035999
3.000000,0.804252,0.052417
4.000000,0.726185,0.070610
5.000000,0.650897,0.084581
6.000000,0.588156,0.091035
7.000000,0.532526,0.092204
8.000000,0.474943,0.092358
9.000000,0.416468,0.093210
10.000000,0.366171,0.093794
11.000000,0.312221,0.096152
12.000000,0.243585,0.100333
13.000000,0.183039,0.105082
14.000000,0.115754,0.111777
15.000000,0.037217,0.119632
16.000000,-0.033560,0.127948
17.000000,-0.086296,0.136363
18.000000,-0.126950,0.145612
19.000000,-0.174313,0.154480
20.000000,-0.194238,0.164088
21.000000,-0.210580,0.171230
22.000000,-0.237869,0.173485
23.000000,-0.271772,0.171283
24.000000,-0.315323,0.164663
25.000000,-0.365156,0.155251
26.000000,-0.395562,0.147982
27.000000,-0.424338,0.140238
28.000000,-0.435264,0.135512
29.000000,-0.438459,0.132930
30.000000,-0.431293,0.133972
31.000000,-0.415642,0.138914
32.000000,-0.383397,0.148315
33.000000,-0.355766,0.157365
34.000000,-0.346539,0.163696
35.000000,-0.332153,0.170899
36.000000,-0.309506,0.178826
37.000000,-0.308750,0.184125
38.000000,-0.310327,0.189396
