W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.439714,0.197295
2.000000,2.329940,0.451544
3.000000,3.162459,0.750630
4.000000,3.939594,1.079746
5.000000,4.658240,1.427404
6.000000,5.326440,1.787940
7.000000,5.945528,2.155657
8.000000,6.520882,2.527502
9.000000,7.046351,2.896848
10.000000,7.515773,3.256970
11.000000,7.914420,3.597126
12.000000,8.253465,3.918024
13.000000,8.520651,4.210024
14.000000,8.720744,4.471546
15.000000,8.849576,4.696867
16.000000,8.912410,4.885346
17.000000,8.920858,5.040473
18.000000,8.886059,5.166372
19.000000,8.824401,5.271112
20.000000,8.747536,5.360940
21.000000,8.658617,5.437489
22.000000,8.552734,5.497389
23.000000,8.435456,5.543865
24.000000,8.295400,5.569076
25.000000,8.120980,5.564404
26.000000,7.929757,5.540982
27.000000,7.740915,5.512066
28.000000,7.554160,5.477790
29.000000,7.384500,5.449546
30.000000,7.236201,5.431395
31.000000,7.106686,5.422358
32.000000,7.005721,5.430853
33.000000,6.933296,5.458042
34.000000,6.887207,5.503295
35.000000,6.864333,5.565094
36.000000,6.875703,5.653385
37.000000,6.895854,5.748164
38.000000,6.914779,5.841311
39.000000,6.938192,5.937707
40.000000,6.976013,6.046130
41.000000,7.022751,6.162251
42.000000,7.084493,6.291782
