tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.928219,0.020244
2.000000,0.858377,0.036783
3.000000,0.784200,0.053514
4.000000,0.695272,0.072845
5.000000,0.610738,0.087132
6.000000,0.545979,0.091522
7.000000,0.485837,0.090947
8.000000,0.429241,0.088941
9.000000,0.373121,0.089918
10.000000,0.317911,0.095319
11.000000,0.252386,0.104402
12.000000,0.179920,0.114075
13.000000,0.107615,0.123373
14.000000,0.028300,0.132651
15.000000,-0.056204,0.141481
16.000000,-0.125480,0.149499
17.000000,-0.181283,0.156028
18.000000,-0.223858,0.160670
19.000000,-0.259536,0.162956
20.000000,-0.267702,0.165878
21.000000,-0.270103,0.168519
22.000000,-0.283463,0.168085
23.000000,-0.295457,0.166055
24.000000,-0.323400,0.160217
25.000000,-0.361875,0.152482
26.000000,-0.373815,0.149534
27.000000,-0.375337,0.149394
28.000000,-0.367541,0.152245
29.000000,-0.346484,0.158491
30.000000,-0.312497,0.167163
31.000000,-0.277896,0.175676
32.000000,-0.224601,0.185425
33.000000,-0.174886,0.193385
34.000000,-0.140028,0.198720
35.000000,-0.101352,0.203306
36.000000,-0.050126,0.207675
