tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.957971,0.015487
2.000000,0.921762,0.026991
3.000000,0.880857,0.038191
4.000000,0.853166,0.043236
5.000000,0.819009,0.049835
6.000000,0.779114,0.057826
7.000000,0.735831,0.066964
8.000000,0.687690,0.077673
9.000000,0.633430,0.090324
10.000000,0.580789,0.102574
11.000000,0.515002,0.116840
12.000000,0.453036,0.129099
13.000000,0.395566,0.139091
14.000000,0.341356,0.147938
15.000000,0.277156,0.157743
16.000000,0.206584,0.168115
17.000000,0.154451,0.175965
18.000000,0.112983,0.182645
19.000000,0.078346,0.189225
20.000000,0.039701,0.196424
21.000000,0.008395,0.203505
22.000000,-0.020485,0.210738
23.000000,-0.043181,0.218363
24.000000,-0.069802,0.225896
25.000000,-0.100641,0.231617
26.000000,-0.135143,0.235835
27.000000,-0.160361,0.239214
28.000000,-0.175315,0.242045
29.000000,-0.181025,0.244544
30.000000,-0.184150,0.246262
31.000000,-0.184449,0.247400
32.000000,-0.190136,0.246694
33.000000,-0.198339,0.244903
34.000000,-0.210191,0.242090
35.000000,-0.222781,0.238906
36.000000,-0.231696,0.236484
37.000000,-0.246936,0.233573
38.000000,-0.271328,0.229725
39.000000,-0.293610,0.226620
40.000000,-0.310174,0.224857
41.000000,-0.327562,0.223557
42.000000,-0.336363,0.223973
43.000000,-0.339188,0.225619
44.000000,-0.340143,0.227842
45.000000,-0.342032,0.230337
46.000000,-0.345331,0.233038
