W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.434652,0.196601
2.000000,2.305279,0.446765
3.000000,3.109531,0.738067
4.000000,3.835716,1.051276
5.000000,4.486613,1.374814
6.000000,5.074769,1.703461
7.000000,5.607295,2.033025
8.000000,6.082238,2.357483
9.000000,6.498707,2.671704
10.000000,6.864878,2.974904
11.000000,7.177098,3.262011
12.000000,7.420683,3.522692
13.000000,7.603722,3.756973
14.000000,7.719476,3.958148
15.000000,7.756693,4.116825
16.000000,7.723133,4.233443
17.000000,7.636837,4.314974
18.000000,7.509887,4.366263
19.000000,7.335575,4.381786
20.000000,7.141337,4.376578
21.000000,6.930757,4.352417
22.000000,6.692888,4.301947
23.000000,6.421116,4.220021
24.000000,6.105792,4.099094
25.000000,5.740637,3.933419
26.000000,5.345075,3.734915
27.000000,4.920737,3.503904
28.000000,4.485474,3.252576
29.000000,4.047015,2.986579
30.000000,3.615722,2.713913
31.000000,3.200080,2.441641
32.000000,2.816683,2.183500
33.000000,2.460917,1.937287
34.000000,2.114378,1.689516
35.000000,1.782225,1.444896
36.000000,1.472719,1.210908
37.000000,1.163969,0.970247
38.000000,0.853642,0.721120
