likelihood_beta,beta
7.6007223299e-63,43.1240655397
7.0321597780e-63,42.4243126472
6.4792431862e-63,41.6925071276
5.8245749150e-63,40.7484392009
5.7133709672e-63,40.5785164243
4.8104936667e-63,39.0745464725
5.6307629175e-63,40.4503204466
9.5210290288e-63,45.1796181254
1.0983767391e-62,46.5064082261
1.1721986378e-62,47.1163599234
1.5925956083e-62,50.0439647294
1.6573010659e-62,50.4311655307
7.9933044060e-63,43.5799418384
1.8920608224e-63,31.2672128722
6.9227758287e-64,23.4230623289
6.6739688125e-64,23.1471683510
7.4026467329e-64,23.9298954600
2.5357969315e-63,33.6574403820
1.3933808665e-63,28.8234514729
1.5843691589e-62,49.9937318398
3.9966328618e-62,59.4451790219
2.6910306667e-62,55.2805340082
1.9087826018e-62,51.8179410888
1.2371164367e-62,47.6247470474
7.4301977437e-63,42.9193413523
8.3257075307e-63,43.9502936974
3.1717540589e-63,35.5196991139
6.8183403099e-64,23.3084074188
6.5334853392e-64,22.9871020267
4.0863626144e-64,19.5088701837
1.1336569980e-62,46.8023822853
2.9334890977e-63,34.8661839537
2.3396267452e-62,53.8535985612
3.8766399805e-63,37.2176027702
1.4770224006e-63,29.2850636531
2.0378118165e-63,31.8680754700
7.5840370205e-63,43.1042193824
6.5122999030e-63,41.7378305611
6.1673635391e-63,41.2541878433
3.5529683888e-62,58.1848895376
4.3035236804e-62,60.2473615283
3.7017728613e-63,36.8246889350
5.8821833267e-63,40.8353038816
