x1,x2,y_krig,mse
-0.421537,0.874296,-0.373291,0.0000000127
1.052836,0.881691,2.603113,0.0000000470
-0.489467,0.733605,-0.475046,0.0000000145
-0.691285,0.208857,0.603604,0.0000002797
-1.468175,-0.501451,2.165347,0.0000000056
0.223203,-0.051652,0.059652,0.0000000245
-1.039010,-0.833272,2.328959,0.0000000176
-0.044773,0.249103,-0.139107,0.0000000205
-0.177711,-0.035374,0.161267,0.0000000050
-0.766181,0.185982,0.888472,0.0000002442
-1.614671,0.950016,-0.851439,0.0000012302
-1.208236,-0.977945,3.248209,0.0000001314
-1.768808,-0.478815,1.914599,0.0000001475
-0.834198,0.406004,0.882325,0.0000000135
-1.693386,-0.748472,2.213459,0.0000000673
-0.343726,0.088130,0.187888,0.0000000392
1.361048,0.079487,2.302663,0.0000000316
0.025725,0.563308,-0.634769,0.0000000871
0.855791,-0.653116,0.625996,0.0000000778
-1.534961,0.375494,1.333262,0.0000000757
0.690498,0.139354,1.492957,0.0000000118
-1.952228,0.651733,0.819196,0.0000000212
1.871239,-0.307757,1.563243,0.0000001631
1.751414,-0.414371,0.913632,0.0000000092
-0.635276,-0.912674,1.334501,0.0000000818
1.179188,0.353383,2.593086,0.0000002714
0.966364,0.777880,2.346381,0.0000003219
0.770823,0.319627,1.819920,0.0000001894
1.547453,-0.116274,1.714680,0.0000001033
-1.104630,0.682453,1.682231,0.0000010881
-0.316794,-0.842122,0.004750,0.0000000847
1.254310,-0.386503,1.312198,0.0000000090
-1.311189,-0.764722,2.465043,0.0000000248
0.498244,0.809824,0.513267,0.0000000529
-1.373600,-0.165219,2.562668,0.0000000443
1.618047,-0.321621,1.072352,0.0000000440
0.299932,-0.921287,-0.484191,0.0000000149
1.448033,-0.530142,0.506379,0.0000000239
-1.194601,0.611879,1.907585,0.0000011420
1.336654,0.537027,2.334759,0.0000000322
0.396055,-0.694422,-0.623485,0.0000000621
0.400282,-0.136076,0.245542,0.0000000549
0.896304,0.462599,2.203822,0.0000005446
-0.926375,-0.274654,1.623415,0.0000001755
-1.867572,-0.577655,2.777984,0.0000000355
-0.157346,-0.605609,-0.422539,0.0000000961
1.967805,0.005175,2.764419,0.0000008015
0.091387,0.984996,-0.108691,0.0000000144
0.596139,0.515871,0.908919,0.0000001281
1.807719,-0.205185,1.740753,0.0000000010
