W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.457971,0.199797
2.000000,2.379733,0.461194
3.000000,3.260590,0.773922
4.000000,4.113756,1.127480
5.000000,4.932765,1.511526
6.000000,5.711879,1.917321
7.000000,6.447709,2.337732
8.000000,7.135399,2.765690
9.000000,7.768830,3.193869
10.000000,8.349619,3.618319
11.000000,8.864621,4.028995
12.000000,9.317657,4.423210
13.000000,9.713223,4.799271
14.000000,10.054580,5.155469
15.000000,10.331736,5.483516
16.000000,10.538320,5.776590
17.000000,10.692771,6.041641
18.000000,10.805754,6.282486
19.000000,10.884100,6.501440
20.000000,10.923801,6.694667
21.000000,10.932196,6.865264
22.000000,10.911711,7.013655
23.000000,10.868530,7.142906
24.000000,10.798729,7.249673
25.000000,10.698088,7.330209
26.000000,10.562945,7.380943
27.000000,10.402584,7.407357
28.000000,10.227268,7.416156
29.000000,10.046243,7.413834
30.000000,9.862093,7.402355
31.000000,9.677643,7.383982
32.000000,9.487507,7.354740
33.000000,9.289168,7.312637
34.000000,9.078977,7.254652
35.000000,8.856197,7.179951
36.000000,8.624501,7.091293
37.000000,8.377565,6.983270
38.000000,8.106237,6.847803
39.000000,7.812626,6.686049
40.000000,7.502452,6.502396
41.000000,7.174890,6.295748
42.000000,6.838527,6.073337
43.000000,6.499338,5.840413
44.000000,6.159195,5.598742
45.000000,5.817163,5.347585
46.000000,5.471833,5.085714
