tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.939714,0.019695
2.000000,0.890226,0.033661
3.000000,0.832519,0.049080
4.000000,0.777135,0.061883
5.000000,0.718645,0.073452
6.000000,0.668200,0.081252
7.000000,0.619088,0.088709
8.000000,0.575354,0.096666
9.000000,0.525469,0.108156
10.000000,0.469422,0.122697
11.000000,0.398647,0.139521
12.000000,0.339045,0.154670
13.000000,0.267186,0.170272
14.000000,0.200093,0.184692
15.000000,0.128832,0.198290
16.000000,0.062833,0.210038
17.000000,0.008448,0.219346
18.000000,-0.034799,0.226356
19.000000,-0.061658,0.231102
20.000000,-0.076865,0.234357
21.000000,-0.088918,0.236524
22.000000,-0.105884,0.237477
23.000000,-0.117278,0.237587
24.000000,-0.140056,0.236559
25.000000,-0.174420,0.234710
26.000000,-0.191223,0.232939
27.000000,-0.188842,0.231620
28.000000,-0.186755,0.230534
29.000000,-0.169660,0.230337
30.000000,-0.148300,0.230925
31.000000,-0.129515,0.231881
32.000000,-0.100965,0.233540
33.000000,-0.072425,0.235288
34.000000,-0.046089,0.236768
35.000000,-0.022874,0.237890
36.000000,0.011371,0.239128
37.000000,0.020151,0.239306
38.000000,0.018925,0.239174
39.000000,0.023412,0.239161
40.000000,0.037822,0.239247
41.000000,0.046738,0.239178
42.000000,0.061743,0.239103
