likelihood_sigma,sigma
7.3946746202e-57,5859.1541123419
4.7252504421e-58,5521.4356537953
1.8814863723e-55,6326.9627446577
2.1616594903e-57,5702.2250855811
1.4374375268e-58,5389.0762349560
2.8682445287e-63,4452.8797229363
2.7588193120e-71,3480.6381346248
1.4781571468e-74,3204.7838294693
6.4790729289e-68,3826.1603968793
2.4517882064e-65,4147.3133765060
2.5395816626e-72,3387.7773345338
1.5693446034e-67,3870.4734251544
2.2438430422e-73,3298.7248080473
1.7874814424e-77,2995.9002458400
3.3151706273e-88,2427.0942527054
1.2858151008e-75,3125.2723532617
1.4249898080e-66,3986.1416440046
1.7493132167e-62,4582.8282897825
7.3414321782e-66,4077.2493007667
4.5091766450e-61,4839.6895228787
1.5029695169e-58,5393.9000716367
4.3284101455e-63,4481.7128757902
2.4429816441e-60,4986.9005771919
2.9791992771e-59,5225.0278447027
1.6644886271e-80,2807.8790491467
1.9316754478e-85,2550.4830992483
1.8069868394e-93,2224.1299864465
1.7020119738e-112,1715.8195109397
9.7266551011e-86,2536.5460428977
3.2115583784e-69,3683.7245383543
3.1892849528e-51,8581.1526517629
1.5896324917e-53,7144.1163375339
3.8317191050e-51,8645.2926129364
2.4379978949e-57,5717.1329591062
1.0693701399e-63,4385.4333353740
7.2229325001e-64,4359.2480603233
6.1384100015e-60,5071.6418083329
6.3873516523e-61,4869.2018486490
5.2325630797e-59,5282.3814853537
4.4993530751e-61,4839.5059737937
7.5774616339e-58,5576.1197469584
2.7188644443e-65,4153.4473881631
3.4730558459e-61,4817.8303400806
