likelihood_theta2,theta2
1.8785929922e-73,13.6183253933
2.4837516892e-70,13.2280192128
3.2593734228e-82,14.6546439332
2.5794142992e-75,13.8453114766
1.5944778118e-71,13.3786971620
2.5268337195e-62,12.1537431658
7.3039176812e-51,10.2960650248
5.9786979124e-46,9.2470925309
1.0971593799e-49,10.0667107670
8.4589545428e-52,10.4712687246
3.7430690682e-45,9.0472086621
5.6903559534e-48,9.7105741340
2.1881985223e-47,9.5819882832
1.5349424561e-54,10.9538179545
3.4903564052e-58,11.5409237658
7.6078702480e-74,13.6665171223
8.4926911920e-92,15.7164392509
3.7850918630e-73,13.5808454044
2.3575567726e-76,13.9702348468
1.8432018605e-55,11.1072969194
5.1053416610e-54,10.8650333219
8.9698199602e-50,10.0841465882
2.1293295087e-55,11.0969680125
6.6382354380e-61,11.9490760815
2.5546300537e-44,8.8242640414
1.7660878723e-42,8.2635407412
1.9216446797e-43,8.5712078372
1.2525353641e-46,9.4090281538
2.5375256680e-61,12.0098361129
1.0097461830e-108,17.4759278308
9.5987912985e-109,17.4781445254
1.0849393821e-115,18.1711384237
4.8362578745e-95,16.0634034725
1.5703314266e-82,14.6908210306
8.9164479255e-81,14.4896746250
1.3788922691e-73,13.6348336007
3.2915273110e-64,12.4180192249
1.1790315109e-63,12.3411738316
3.7746921182e-69,13.0766340105
8.0674364049e-51,10.2878367340
6.4002042471e-55,11.0176248965
8.8160608837e-62,12.0761040685
3.1205967563e-64,12.4212164881
