var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,40.8698357042,2.7182471324,0.8224631382,7.3355747442,3.5060664072,19.0000000000
sigma,4482.2148761563,433.2280789225,137.6404314011,8.6586173116,4.2520134895,21.0000000000
theta1,2.1338176756,0.0749248415,0.0220811606,6.5102902040,3.0891918317,18.0000000000
theta2,12.1322748033,0.8089332132,0.2686932748,10.8685302435,5.2934395202,23.0000000000
