var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,3.5295950589,0.0915583218,0.0037546686,4.7193271157,0.3596181224,34.0000000000
sigma,25.8627556461,1.7382479107,0.0659154109,3.8888151342,0.2748061000,29.0000000000
theta1,1.4061837095,0.0131625420,0.0003116398,1.3577479380,0.0603782591,11.0000000000
theta2,1.0106556164,0.0302071169,0.0016672991,9.3451781349,0.9513781058,62.0000000000
