likelihood_beta,beta
2.0005756956e-23,1.6161488967
3.2709292962e-23,2.6809613521
2.3863316168e-23,1.9350271509
3.9991677934e-23,3.5969093640
4.9247844258e-31,16.2469153287
2.3860651963e-23,1.9348099200
2.1484555705e-23,1.7397812875
3.9653211482e-23,3.5238690852
1.5048090360e-25,10.8064783134
3.2068850519e-23,2.6225661679
3.9444616845e-23,3.4833756553
1.9729883335e-23,1.5928038258
2.3765138441e-23,1.9270208194
1.9888181569e-23,1.6062116059
2.4005234152e-23,1.9465962325
2.4818725716e-23,2.0128501781
3.5814153877e-23,2.9897017012
2.3723925965e-23,1.9236591840
2.4883804591e-23,2.0181484645
3.1770058472e-23,2.5957477535
1.6436023018e-23,1.3042208805
2.0370431322e-23,1.6468606307
2.2172705352e-23,1.7966132169
2.3207219945e-23,1.8814648799
2.8243804276e-23,2.2935300259
3.9821224500e-23,3.5588043634
2.1328168562e-23,1.7268116537
2.2424043072e-23,1.8172848122
3.7752582590e-23,3.2212523413
2.4940746372e-23,2.0227843254
3.5316797251e-23,5.1358029061
2.0423825465e-23,1.6513439267
1.9899630044e-23,1.6071800006
2.3287980401e-23,1.8880663014
2.1233341337e-23,1.7189366061
1.9586309958e-23,1.5806139052
1.7671804882e-23,1.4149503312
2.4135279516e-23,1.9571936244
4.0619891067e-23,4.2919643858
4.0895471004e-23,3.9352353981
3.5671177267e-23,2.9741886997
2.0111106664e-23,1.6250379137
2.0837035394e-23,1.6859313696
3.5477394579e-23,2.9534210567
2.8959395153e-23,2.3532524258
3.0313338502e-23,2.4681784615
4.0915757689e-23,3.9578739852
3.3112568448e-23,2.7184460968
1.0813854406e-23,7.3355404384
2.5374450600e-23,2.0581004723
3.2029652097e-23,2.6190333185
2.8029970877e-23,5.7964349865
4.8696584245e-26,11.4565290155
1.9565995686e-23,1.5788868412
2.5480396251e-23,2.0667308100
4.0041296744e-23,3.6086067994
2.0671304053e-23,1.6720813846
2.0374871231e-23,1.6472335589
2.8245943785e-23,2.2937077433
2.8210105320e-23,2.2907314483
2.5853108598e-23,2.0971095685
1.7740344103e-23,1.4209947064
4.0707614889e-23,4.2547936061
2.0416040000e-23,1.6506904180
2.3198859865e-23,1.8807813661
3.5135299126e-23,2.9174327525
2.1957018129e-23,1.7788393225
2.1509080413e-23,1.7418132432
4.0917486538e-23,4.1121121179
3.6471623191e-23,3.0633649650
2.6824619391e-23,2.1765117952
3.1976806115e-23,2.6142775271
1.8562860500e-23,1.4928313199
2.0268185041e-23,1.6382660633
2.7404857916e-23,2.2241686892
1.7830301967e-23,1.4289137359
3.2456090477e-23,2.6577172104
2.3385010978e-23,1.8959942167
2.3217581541e-23,1.8823119952
2.8249645480e-23,5.7782107365
8.4464862883e-24,7.6286611921
2.1933438605e-23,1.7768941836
2.3435169538e-23,1.9000910386
1.9559388441e-23,1.5783249866
2.6255027739e-23,2.1299122457
3.6874433914e-24,8.4726727123
3.8157282325e-23,3.2766288934
2.1573147442e-23,1.7471189835
1.8320294179e-23,1.4717752600
2.9057639376e-23,2.3615000002
2.0245794807e-23,1.6363823331
2.7538811262e-23,2.2352037147
1.9842820651e-23,1.6023729614
1.8535565484e-23,1.4904670959
3.1760741471e-23,5.4773104611
3.4202150349e-23,2.8230452332
1.9199171789e-23,1.5475983587
2.7330992961e-23,2.2180894255
4.0673435509e-23,3.8022558167
1.6646499216e-23,1.3233293166
2.0906856959e-23,1.6917576477
3.7157669000e-23,3.1451203782
2.4704756797e-23,2.0035715032
3.0225153665e-23,2.4606006564
3.5906879788e-23,2.9998529860
1.7674073155e-23,1.4151505183
2.0544278652e-23,1.6614458741
2.1566610043e-23,1.7465777456
3.3390153264e-23,5.3276195699
2.3439991907e-23,1.9004848687
2.1933306896e-23,1.7768833173
2.1701397811e-23,1.7577297665
1.8005153706e-23,1.4442607285
1.5957923691e-23,1.2603971124
1.1498831136e-26,12.2131509725
2.0140566842e-23,1.6275211692
2.0632608405e-23,1.6688433805
2.9976196264e-23,2.4392835501
1.9191687385e-23,1.5469579012
2.0765696544e-23,1.6799732388
1.8844772626e-23,1.5171762088
3.4941524566e-23,5.1748242583
4.0105816534e-23,3.6242909227
3.6225365516e-23,5.0369289581
2.4686205963e-23,2.0020611720
2.6057189094e-23,2.1137589131
7.3598000683e-24,7.7821007952
1.7633158395e-23,1.4115379716
3.5144024913e-23,2.9183405819
3.5483417468e-23,2.9540622174
2.3311311100e-23,1.8899728789
2.3973158757e-23,1.9439818698
2.4213907152e-23,6.1086265173
1.5735341497e-23,6.8324400475
2.6190172389e-23,2.1246152991
2.8798428569e-23,2.3397659620
3.6709468973e-23,4.9811478753
2.3251238065e-23,1.8850632863
6.6302712983e-36,19.5540221227
4.0581546056e-23,3.7655913035
3.0086528810e-23,2.4487172544
1.6847056809e-23,1.3414375771
3.9329686495e-23,3.4621994547
2.0997484915e-23,1.6993127037
2.7215304352e-26,11.7704382429
2.0745206630e-23,1.6782609536
3.7865536912e-23,3.2363810297
1.8744661179e-23,1.5085461189
1.9337381719e-23,1.5594101808
3.7864022685e-23,3.2361766290
2.0980213645e-23,1.6978735496
2.0440479790e-23,1.6527416488
4.0037042271e-23,3.6075918837
3.4174277761e-23,2.8203008055
1.8039317153e-23,1.4472524460
4.0443112376e-23,4.3541083436
3.8286233787e-23,3.2950117184
1.6367983594e-23,1.2980202597
2.6769872221e-23,2.1720258364
3.9435919111e-23,4.5904789926
2.4613598325e-23,6.0760763534
3.1357912458e-23,5.5130745272
2.0196972612e-23,1.6322727349
1.9074852702e-23,1.5369489945
3.3425909138e-23,2.7479987270
2.0595755450e-23,1.6657580434
3.7058827733e-23,3.1329816662
3.3643971632e-23,2.7688042725
3.9816794578e-23,3.5578524435
1.8487114616e-23,1.4862672361
4.0637187252e-23,4.2850691325
2.2313678308e-23,1.8082127966
1.9492959786e-23,1.5726727264
3.7378687524e-23,4.8994658754
1.8195893202e-23,1.4609358697
1.9438030512e-23,1.5679941751
2.1598139448e-23,1.7491877656
2.6100683964e-23,5.9549169377
9.3129126461e-24,0.5564613413
3.9717993642e-23,3.5370669537
1.3803729859e-24,9.3008000798
3.3965059921e-23,2.7998245371
3.6412079994e-23,5.0157038010
3.7870116842e-23,3.2369995287
3.8487816524e-23,3.3245691915
2.3203801561e-23,1.8811853989
4.0791406636e-23,4.2122054986
1.0364591456e-24,9.5187944923
3.0689706405e-23,2.5006888030
2.1237361293e-23,1.7192706172
2.3870137587e-23,1.9355833401
2.6409062576e-23,2.1424994758
1.2608049885e-23,7.1395141728
1.8561596612e-23,1.4927218735
1.8750879319e-23,1.5090826332
1.4294632146e-24,9.2735939848
1.8058582831e-23,1.4489385801
1.7036750380e-24,9.1347754107
3.3140927613e-23,5.3511211433
2.0703681414e-23,1.6747894314
2.6156278330e-23,2.1218476867
3.4208574311e-23,2.8236783211
2.5257318007e-23,2.0485607152
4.0335963870e-23,4.3865581174
2.2245711726e-23,1.8026220068
2.5954008478e-23,2.1053396246
