tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.694028,0.004738
2.000000,0.509232,0.007054
3.000000,0.379637,0.008434
4.000000,0.286722,0.009310
5.000000,0.207887,0.010009
6.000000,0.155001,0.010463
7.000000,0.109150,0.010827
8.000000,0.079511,0.011014
9.000000,0.058888,0.011121
10.000000,0.042257,0.011211
11.000000,0.028769,0.011347
12.000000,0.029582,0.011459
13.000000,0.028595,0.011569
14.000000,0.029411,0.011668
15.000000,0.024281,0.011761
16.000000,0.021488,0.011802
17.000000,0.019446,0.011750
18.000000,0.015067,0.011644
19.000000,0.014897,0.011486
20.000000,0.007518,0.011338
21.000000,0.011314,0.011193
22.000000,0.019151,0.011103
23.000000,0.027346,0.011047
24.000000,0.028540,0.011015
25.000000,0.029126,0.010990
26.000000,0.032492,0.010959
27.000000,0.039141,0.010910
28.000000,0.038544,0.010891
29.000000,0.040220,0.010870
30.000000,0.047254,0.010839
31.000000,0.052059,0.010818
32.000000,0.054644,0.010805
33.000000,0.053721,0.010805
34.000000,0.047193,0.010820
35.000000,0.040737,0.010837
36.000000,0.040643,0.010842
37.000000,0.035259,0.010856
38.000000,0.025707,0.010873
39.000000,0.018937,0.010883
40.000000,0.017373,0.010887
41.000000,0.008514,0.010896
42.000000,0.003550,0.010900
43.000000,0.002442,0.010901
44.000000,0.003641,0.010900
45.000000,0.006111,0.010900
46.000000,0.004072,0.010901
47.000000,0.004434,0.010901
48.000000,0.004299,0.010901
49.000000,0.003480,0.010901
50.000000,0.004095,0.010901
51.000000,0.004355,0.010901
52.000000,0.005593,0.010901
