likelihood_beta,beta
1.0444892704e-18,2.5249823419
5.4142480033e-19,1.3094822217
5.7936728546e-19,1.3911649611
1.0856449267e-18,3.2120972312
5.0638126614e-19,1.2325334573
9.5542123246e-19,2.2331741241
6.2620272566e-19,1.4904274468
8.8408234891e-19,3.9069733733
5.2197051831e-19,1.2669730849
7.4179732995e-19,1.7338505403
8.6534755442e-19,2.0067691088
6.9705635835e-19,1.6393089942
5.2602868667e-19,1.2758812975
5.2273162157e-19,1.2686455278
6.7871347914e-19,1.6007666690
4.3972708293e-19,4.8775897971
4.9734300666e-19,1.2123951141
1.0903181445e-18,3.1725466351
5.0259494821e-19,1.2241130940
9.5349899090e-19,2.2278891620
8.4193123871e-19,1.9528443242
6.1379182998e-19,1.4642442191
5.7792881100e-19,1.3880928925
1.0343170677e-18,2.4844539582
7.2381316436e-19,1.6957202352
7.4324126532e-19,1.7369218393
5.9301801136e-19,4.5377835870
5.0777246671e-19,1.2356216805
5.7744024719e-19,1.3870491061
5.9223511990e-19,1.4185744088
7.8527578419e-19,1.8271973885
5.3871112746e-19,1.3035812900
7.1884716417e-19,1.6852260551
1.1004438631e-18,3.0128170159
6.6953364301e-19,1.5814949042
5.1468913444e-19,1.2509316598
5.3906183094e-19,1.3043443995
5.5802802496e-19,1.3454036595
5.2505862381e-19,1.2737539245
5.8335620063e-19,1.3996751339
4.9507158563e-19,1.2073130489
5.3514137278e-19,1.2958051552
5.4077882446e-19,1.3080783344
8.5593910971e-19,1.9849294748
1.0572761146e-18,2.5810872139
5.2677221614e-19,1.2775110192
5.0714415131e-19,1.2342273019
5.1850901099e-19,1.2593565701
5.6436301149e-19,1.3590330125
9.2061946991e-19,2.1411367530
9.0395890067e-19,2.0993662981
4.9443374739e-19,1.2058843884
7.0716083606e-19,1.6605777130
6.0000480572e-19,1.4350675122
5.3854181038e-19,1.3032128129
8.8193910020e-19,2.0459250235
7.1454966657e-19,1.6761547475
1.0396819293e-18,2.5054458801
6.0185924846e-19,1.4389983177
5.6256573849e-19,1.3551702971
7.1208653863e-19,1.6709594078
5.2206498032e-19,1.2671806987
6.5154937278e-19,1.5437371206
5.0384336334e-19,1.2268919468
5.0873029295e-19,1.2377461472
6.5228793554e-19,1.5452883119
5.4006793168e-19,1.3065327896
6.1309984039e-19,1.4627822459
5.2934614770e-19,1.2831470650
4.9817272221e-19,1.2142493645
5.6881737928e-19,1.3685931655
1.0304485602e-18,2.4697894774
7.4453477049e-19,1.7396745515
7.7711328829e-19,1.8095151989
6.8616539346e-19,1.6164170885
4.5957664275e-19,1.1266709296
6.6260616831e-19,1.5669530461
4.7706774673e-19,1.1667108263
6.1373489680e-19,4.4938977596
6.7171110739e-19,1.5860657727
5.2121265600e-19,1.2653069641
6.7513627248e-19,1.5932561838
6.1458369729e-19,1.4659169140
5.3780766847e-19,1.3016147298
6.7657193306e-19,1.5962702757
6.5990951553e-19,1.5612919059
6.2566038400e-19,1.4892846274
