x1,x2,y,mse
1.577888,-0.770744,-0.158852,0.0083203395
1.901078,0.041216,2.787071,0.0129087842
-0.162679,-0.674977,-0.873039,0.0108288793
-0.288513,0.123382,0.349230,0.0026898145
-0.495606,-0.425493,0.596658,0.0033124539
-1.887865,0.992050,1.135306,0.0087851852
0.071915,0.211827,-0.287284,0.0100601558
-1.700406,0.742556,0.329944,0.0059201503
-0.394421,-0.637188,-0.029406,0.0078066594
0.118144,-0.912400,-0.615536,0.0052102077
-0.860134,-0.470701,1.825066,0.0080713337
0.178696,0.823477,-0.484980,0.0025214037
-0.713033,0.520466,0.512170,0.0085707395
1.602199,0.288405,2.598205,0.0068058686
0.313856,0.114034,0.136264,0.0086805382
-1.162683,-0.558534,2.082915,0.0094253590
1.785675,0.338750,3.046684,0.0088867471
0.612777,0.631601,0.817956,0.0158140434
1.129551,-0.230131,1.908547,0.0137012154
-0.983521,0.895175,0.288020,0.0141338633
-1.064360,0.589713,0.568416,0.0097210740
1.408149,0.659362,2.537954,0.0070859031
-1.493998,0.252321,1.381003,0.0081611479
-1.335728,-0.338350,2.454445,0.0060106201
1.260884,-0.721884,0.645376,0.0155292301
-1.991923,0.786384,0.913828,0.0004492860
0.786283,0.009118,1.725805,0.0036287925
-1.365832,0.958979,0.713683,0.0017084176
0.944304,-0.366796,1.445160,0.0102436675
-0.914261,-0.935507,1.825344,0.0119803394
0.668615,-0.086404,1.254577,0.0030725141
-0.058878,-0.516408,-1.125562,0.0080276935
0.985170,-0.294839,1.678402,0.0109770985
-1.775494,0.692586,0.420621,0.0065888539
-1.205812,-0.266787,2.457117,0.0007829201
-1.578097,0.456561,0.636606,0.0013055159
-0.465117,0.164465,0.911916,0.0067807968
0.448543,-0.830827,-0.327143,0.0126340198
1.958047,-0.020462,2.738199,0.0129603629
-0.573175,0.514719,0.230297,0.0065535325
0.507940,-0.142914,0.543213,0.0068645798
-1.667341,0.864506,0.503746,0.0071691637
-0.116982,0.438160,-0.542223,0.0093451270
1.060677,-0.847744,0.899656,0.0084034634
0.322052,0.385456,-0.013992,0.0023143553
0.837878,-0.191673,1.621988,0.0032756569
-0.747706,-0.709371,1.334337,0.0042898915
1.358675,-0.596991,0.670459,0.0093986560
1.697289,-0.993938,-0.481761,0.0251569438
1.450320,-0.076745,2.060208,0.0079178359
