tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.903818,0.003186
2.000000,0.830328,0.005549
3.000000,0.768410,0.007503
4.000000,0.712368,0.009232
5.000000,0.664303,0.010675
6.000000,0.621057,0.011935
7.000000,0.583161,0.013002
8.000000,0.547042,0.013990
9.000000,0.514978,0.014836
10.000000,0.485712,0.015577
11.000000,0.459453,0.016214
12.000000,0.433068,0.016834
13.000000,0.408157,0.017398
14.000000,0.385044,0.017904
15.000000,0.363959,0.018354
16.000000,0.347182,0.018699
17.000000,0.330158,0.019050
18.000000,0.313262,0.019399
19.000000,0.296733,0.019743
20.000000,0.281585,0.020061
21.000000,0.266781,0.020374
22.000000,0.251512,0.020694
23.000000,0.238139,0.020972
24.000000,0.224944,0.021238
25.000000,0.211697,0.021494
26.000000,0.198276,0.021740
27.000000,0.185195,0.021970
28.000000,0.172907,0.022178
29.000000,0.161753,0.022358
30.000000,0.153204,0.022484
31.000000,0.144623,0.022595
32.000000,0.136624,0.022680
33.000000,0.129422,0.022741
34.000000,0.120164,0.022822
35.000000,0.112637,0.022870
36.000000,0.105545,0.022906
37.000000,0.098817,0.022932
38.000000,0.094339,0.022921
39.000000,0.089634,0.022910
40.000000,0.086459,0.022877
41.000000,0.082838,0.022851
42.000000,0.080245,0.022812
43.000000,0.077561,0.022770
44.000000,0.075554,0.022715
45.000000,0.074387,0.022645
46.000000,0.072385,0.022582
47.000000,0.070739,0.022513
48.000000,0.070771,0.022425
49.000000,0.069117,0.022353
50.000000,0.066941,0.022287
51.000000,0.063559,0.022234
52.000000,0.060098,0.022182
53.000000,0.056242,0.022133
54.000000,0.054263,0.022070
55.000000,0.053352,0.022000
56.000000,0.053740,0.021922
57.000000,0.053407,0.021853
58.000000,0.054345,0.021781
59.000000,0.054906,0.021716
60.000000,0.054324,0.021661
61.000000,0.054606,0.021605
62.000000,0.054271,0.021557
63.000000,0.052863,0.021522
64.000000,0.048164,0.021516
65.000000,0.044072,0.021518
66.000000,0.042107,0.021518
67.000000,0.039482,0.021529
68.000000,0.036755,0.021547
69.000000,0.033038,0.021574
70.000000,0.031350,0.021600
71.000000,0.031272,0.021627
72.000000,0.029532,0.021672
73.000000,0.028699,0.021725
74.000000,0.027404,0.021794
75.000000,0.025608,0.021877
76.000000,0.023322,0.021971
77.000000,0.022382,0.022065
78.000000,0.019734,0.022170
79.000000,0.017570,0.022276
80.000000,0.014932,0.022386
81.000000,0.014015,0.022495
82.000000,0.014190,0.022598
83.000000,0.015610,0.022694
84.000000,0.015915,0.022784
85.000000,0.015845,0.022868
86.000000,0.015922,0.022946
87.000000,0.014895,0.023024
88.000000,0.014137,0.023099
89.000000,0.010613,0.023173
90.000000,0.007891,0.023238
91.000000,0.006315,0.023292
92.000000,0.005300,0.023335
93.000000,0.004873,0.023369
94.000000,0.002848,0.023396
95.000000,0.000665,0.023412
96.000000,-0.000568,0.023419
97.000000,-0.003480,0.023423
98.000000,-0.006567,0.023423
99.000000,-0.008429,0.023419
100.000000,-0.009898,0.023408
101.000000,-0.009990,0.023389
102.000000,-0.010393,0.023363
103.000000,-0.011230,0.023342
104.000000,-0.013522,0.023323
105.000000,-0.015353,0.023306
106.000000,-0.016398,0.023292
107.000000,-0.015879,0.023282
108.000000,-0.017629,0.023269
109.000000,-0.019405,0.023258
110.000000,-0.020532,0.023248
111.000000,-0.021750,0.023239
112.000000,-0.024041,0.023229
113.000000,-0.025020,0.023222
114.000000,-0.025785,0.023215
115.000000,-0.027866,0.023205
116.000000,-0.027232,0.023202
117.000000,-0.027331,0.023197
118.000000,-0.027354,0.023193
119.000000,-0.029369,0.023185
120.000000,-0.030024,0.023180
121.000000,-0.030080,0.023176
122.000000,-0.031544,0.023169
123.000000,-0.034374,0.023158
124.000000,-0.036917,0.023147
125.000000,-0.039529,0.023136
126.000000,-0.041400,0.023126
