var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,2.2438694523,0.0425554951,0.0013489081,3.3893379063,0.2006572353,26.0000000000
sigma,15.9664673957,1.0486931357,0.0332410802,3.3935084196,0.2008860118,26.0000000000
theta1,1.2754539251,0.0128104700,0.0003105522,1.7874927512,0.0815148035,15.0000000000
theta2,1.0818314603,0.0370049681,0.0022956032,16.0284911359,1.8248916679,101.0000000000
