W,tauint,error
0.000000,0.500000,0.000000
1.000000,0.976876,0.082122
2.000000,1.263710,0.150239
3.000000,1.395188,0.203149
4.000000,1.511101,0.254065
5.000000,1.583195,0.297606
6.000000,1.639911,0.337690
7.000000,1.668730,0.371156
8.000000,1.716312,0.408097
9.000000,1.758086,0.443387
10.000000,1.788813,0.475540
11.000000,1.867374,0.520654
12.000000,1.918241,0.558619
13.000000,2.006213,0.608094
14.000000,2.081960,0.654875
15.000000,2.144833,0.698330
16.000000,2.203509,0.740963
17.000000,2.256771,0.782229
18.000000,2.288599,0.816259
