W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.373552,0.115469
2.000000,2.152246,0.255875
3.000000,2.853677,0.415515
4.000000,3.487890,0.586428
5.000000,4.044748,0.760323
6.000000,4.529258,0.932662
7.000000,4.945216,1.099907
8.000000,5.291432,1.258172
9.000000,5.580746,1.407458
10.000000,5.828552,1.549468
11.000000,6.033569,1.682257
12.000000,6.212387,1.809135
13.000000,6.388947,1.936523
14.000000,6.554020,2.061549
15.000000,6.706122,2.183428
16.000000,6.845978,2.302063
17.000000,6.975088,2.417664
18.000000,7.096817,2.531172
19.000000,7.204586,2.640022
20.000000,7.309326,2.747983
21.000000,7.412270,2.855503
22.000000,7.503722,2.958761
23.000000,7.580255,3.056114
24.000000,7.632784,3.143477
25.000000,7.657822,3.218823
26.000000,7.665311,3.285778
27.000000,7.658884,3.345562
28.000000,7.636002,3.396775
29.000000,7.591893,3.436932
30.000000,7.529915,3.467149
31.000000,7.473484,3.498048
32.000000,7.413044,3.525278
33.000000,7.356109,3.552441
34.000000,7.307574,3.582073
35.000000,7.269386,3.615377
36.000000,7.221079,3.642295
37.000000,7.170322,3.666581
38.000000,7.127904,3.693817
39.000000,7.092672,3.723608
40.000000,7.067461,3.757640
41.000000,7.075137,3.808453
42.000000,7.096845,3.866444
43.000000,7.142907,3.937595
44.000000,7.212238,4.021779
45.000000,7.319612,4.127776
46.000000,7.448538,4.246897
47.000000,7.601394,4.380906
48.000000,7.783268,4.533195
49.000000,7.985338,4.699083
50.000000,8.192085,4.869689
51.000000,8.406809,5.047055
52.000000,8.628482,5.230676
53.000000,8.848951,5.415662
54.000000,9.059351,5.596490
