tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.476876,0.040299
2.000000,0.286833,0.049436
3.000000,0.131478,0.055997
4.000000,0.115913,0.056730
5.000000,0.072094,0.058647
6.000000,0.056716,0.060315
7.000000,0.028820,0.061315
8.000000,0.047581,0.059952
9.000000,0.041774,0.058019
10.000000,0.030728,0.056183
11.000000,0.078560,0.054660
12.000000,0.050868,0.054639
13.000000,0.087972,0.053779
14.000000,0.075747,0.053878
15.000000,0.062873,0.054130
16.000000,0.058676,0.054269
17.000000,0.053262,0.054421
18.000000,0.031828,0.054708
