x1,x2,y_krig,mse
-1.587108,-0.181786,2.031349,0.0000057742
-1.978881,-0.638769,4.206152,0.0000348907
-1.456990,0.919971,0.479596,0.0000021262
0.104138,-0.892022,-0.703096,0.0000006979
1.701515,-0.799178,0.012366,0.0000014127
-1.678603,0.994287,-0.660431,0.0000614223
1.629881,0.661507,2.413439,0.0000456759
-1.353832,0.694374,1.272063,0.0000248661
1.521556,0.369066,2.279130,0.0000058034
-1.264434,0.286908,2.405828,0.0000144599
-0.191118,0.955905,-0.271454,0.0000002107
-1.065468,-0.131217,2.218237,0.0000011460
1.119036,-0.499495,1.127173,0.0000004783
-1.743566,-0.065565,1.711637,0.0000179822
0.362004,-0.277992,-0.096153,0.0000013748
-0.681340,-0.471532,0.731673,0.0000046259
-1.168297,-0.934145,2.968507,0.0000023941
1.515547,0.427859,2.266449,0.0000074609
-0.113736,-0.016741,0.131876,0.0000004393
1.898599,-0.710944,0.679074,0.0000064889
-1.842925,-0.560242,2.519976,0.0000006134
0.419096,-0.083852,0.290546,0.0000026910
0.505077,0.847663,0.669480,0.0000015340
-0.569188,0.530659,-0.227973,0.0000034856
0.844002,-0.846236,0.708844,0.0000039088
-0.453013,-0.668469,0.250821,0.0000019175
1.036972,-0.368113,1.511532,0.0000004564
-0.975773,0.210862,1.759871,0.0000000954
-0.756985,-0.402694,0.947818,0.0000080372
-0.016058,-0.239569,-0.048830,0.0000009485
-1.419331,-0.822064,2.546001,0.0000017361
1.937947,-0.731868,0.844008,0.0000075431
1.764401,0.069472,2.346321,0.0000046634
1.196964,0.171177,2.629132,0.0000053414
0.762676,0.815539,1.870049,0.0000083877
1.317257,0.268206,2.496371,0.0000016879
0.035086,0.458478,-0.444531,0.0000031837
0.929720,-0.358236,1.408477,0.0000008709
1.416985,0.036896,2.163709,0.0000016468
0.283141,0.599255,-0.298383,0.0000007300
-0.843199,-0.521729,1.234755,0.0000046487
-0.516462,0.624883,-0.405018,0.0000020977
-1.805584,0.510770,0.080381,0.0000103603
1.219572,-0.300720,1.632713,0.0000002967
0.610973,0.146733,1.150414,0.0000003855
0.700027,0.797851,1.565455,0.0000077038
0.222210,0.086461,0.046063,0.0000015944
-0.321429,-0.998056,0.439732,0.0000164201
-0.269079,0.757320,-0.637439,0.0000050044
-0.922852,0.340591,1.356066,0.0000002149
