var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,21.9655315761,0.6647412022,0.1465246624,7.6909706922,2.8776272256,27.0000000000
sigma,478.6680798981,15.5541563587,3.2360951830,6.8266487729,2.4126192767,24.0000000000
theta1,1.3502166106,0.0266344600,0.0058708641,7.6588835256,2.8679415654,27.0000000000
theta2,4.7126531801,0.0155844625,0.0020190423,1.7580855431,0.4112311147,9.0000000000
