likelihood_theta1,theta1
8.1895901091e-37,1.1869516355
3.3433313745e-37,1.3160659077
2.6000076908e-37,1.3530532538
2.3046678635e-37,1.3724663471
8.8222337076e-37,1.1738247122
2.8059427249e-37,1.3414521809
2.1647586546e-37,1.3832505305
6.6720469730e-37,1.2194063023
1.0325156302e-36,1.1413478050
6.8230941904e-37,1.2160461719
1.7786077951e-37,1.4224868350
7.2559369919e-37,1.2066167903
3.3437587952e-37,1.3160478632
2.0509062260e-37,1.3930752181
2.0076279476e-37,1.3971152239
1.8510298161e-37,1.6320312641
1.8677680272e-37,1.6339232109
2.0633504830e-37,1.3919471861
3.0545548558e-37,1.3289708805
8.4374082198e-37,1.1818092918
6.9584855654e-37,1.2130670240
2.5427177586e-37,1.6872181973
1.4657904652e-37,1.5595050230
1.4448776181e-37,1.4967081662
1.4938833709e-37,1.4764462962
4.5167883329e-37,1.2744984573
4.6637889990e-37,1.2701065105
1.9703795859e-37,1.4007497484
7.2388444736e-37,1.2069842607
2.2051856909e-37,1.3800034889
1.4396236426e-37,1.5461501349
6.2259327606e-37,1.2295935791
3.8113269886e-37,1.2978046722
6.3602865912e-37,1.2264801150
1.0225367910e-36,1.1436406229
1.2272747048e-36,1.0705935055
5.4938376503e-37,1.2474258120
8.5610811339e-37,1.1792452664
2.1802702229e-37,1.3819910353
1.5820286403e-37,1.4541930509
2.9977891713e-37,1.3316952977
1.1800617751e-36,1.0260939413
1.1080346611e-36,1.1225898660
1.1557003275e-36,1.0180695302
3.0128486277e-37,1.3309658323
2.1395232952e-37,1.3853374999
1.9336889127e-37,1.4044878265
1.4555555937e-37,1.5549758661
1.4223775882e-37,1.5247267037
2.2554772095e-37,1.3761172850
1.8854762958e-37,1.4096676860
5.1128526362e-37,1.2574396767
2.8972890664e-37,1.3366945411
2.4961904279e-37,1.3594478775
1.7282671408e-37,1.4293476211
1.0298652386e-36,1.1419598578
2.5417436507e-37,1.3565913456
3.7948153953e-37,1.2984039583
3.2552156007e-37,1.3198483801
1.6504185165e-37,1.4414250571
4.2416121224e-37,1.2831089666
1.4254592861e-37,1.5131588685
1.4861221809e-37,1.4790013204
1.6877016353e-37,1.6104985528
2.1195665094e-37,1.6579837252
2.3770119778e-37,1.3673402570
1.4535073044e-37,1.4921166010
1.9346971867e-37,1.4043828616
5.9468358625e-37,1.2362053759
1.5606361617e-37,1.4588028054
1.6137693951e-37,1.5980273614
