likelihood_sigma,sigma
9.3620278860e-38,403.1315567193
2.1767388203e-37,458.0888044635
1.3275148037e-37,422.1046801484
1.0906970669e-37,410.9722239677
6.7145269728e-38,387.9746483817
3.7452377964e-37,538.1515489733
2.8411633411e-37,486.4885826197
6.6761362302e-38,387.7325578257
2.0560342838e-38,347.3794204631
3.3049330975e-38,361.7621487350
3.9992535339e-37,567.6749211600
7.6901551891e-38,393.8822224811
2.2214858925e-37,459.9386037303
3.9842345732e-37,564.9334080390
4.0194370199e-37,571.9946800962
3.2994480409e-37,692.6665839698
3.7187901262e-37,654.8208367962
4.0171221704e-37,571.4493294193
3.6896547802e-37,533.7310929190
7.8220559345e-38,394.6483011501
4.2247326072e-38,370.0904622198
3.3576294721e-37,512.2569768426
3.9217205418e-37,555.8108354562
2.9982430773e-37,493.7778376805
3.9772399718e-37,620.9956944477
8.0600647532e-38,396.0132034792
1.9534668269e-37,448.8744030042
4.0545712213e-37,584.5845561031
4.3219472714e-38,370.8980631977
2.3631048532e-37,465.8227553327
3.9480013466e-37,559.3112294415
7.6406213377e-38,393.5926847634
2.9034063247e-37,489.3356667379
1.2187183122e-37,417.0990761529
5.0853700107e-38,376.8693018995
3.3299096231e-39,305.7976345660
2.3737006211e-37,466.2655139602
1.1707026953e-37,414.8343931600
3.3375828027e-37,511.1336099225
1.7976992576e-37,442.4080000730
9.9962695670e-38,406.4189695017
2.0227688102e-40,263.8266397982
1.8131901457e-38,343.8891022854
8.4689299747e-42,231.6501921838
2.1779687971e-37,458.1396113671
7.9790426505e-38,395.5510289679
4.0548653698e-37,584.7940982138
3.6896043023e-37,657.8109033983
3.9515968207e-37,559.8220262918
3.5439837124e-37,523.5012479252
3.9447164644e-37,558.8519461875
2.4960228685e-37,471.4124323916
3.6032042751e-37,527.4647094295
2.9761618522e-37,492.7312865366
3.6251998947e-37,528.9995888001
1.6415132360e-38,341.2095994142
2.2519193706e-37,461.1987247350
2.3038921509e-37,463.3556676880
2.7657106356e-37,483.0995903212
2.9259997096e-37,490.3818896597
1.8737269489e-37,445.5720220261
3.7736703518e-37,648.9328802284
3.7711455255e-37,540.3457481829
3.9892109975e-37,565.8075572016
4.0109027253e-37,613.9331851097
2.7775652329e-37,483.6278899144
3.3305250673e-37,510.7414044019
2.7751220186e-37,483.5188870290
1.6494264908e-37,436.1707602222
3.9909283664e-37,566.1166177159
4.0477146886e-37,580.8309968427
