W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.381644,0.022490
2.000000,2.175800,0.050086
3.000000,2.895622,0.081637
4.000000,3.551911,0.115632
5.000000,4.151405,0.151100
6.000000,4.697091,0.187279
7.000000,5.197110,0.223818
8.000000,5.652183,0.260223
9.000000,6.068137,0.296320
10.000000,6.447817,0.331892
11.000000,6.795327,0.366852
12.000000,7.114041,0.401136
13.000000,7.406484,0.434679
14.000000,7.675766,0.467488
15.000000,7.924002,0.499545
16.000000,8.152448,0.530802
17.000000,8.363477,0.561301
18.000000,8.556926,0.590934
19.000000,8.735867,0.619823
20.000000,8.900505,0.647909
21.000000,9.052205,0.675225
22.000000,9.195525,0.702057
23.000000,9.331902,0.728482
24.000000,9.461135,0.754455
25.000000,9.582899,0.779923
26.000000,9.697131,0.804849
27.000000,9.804082,0.829227
28.000000,9.907170,0.853323
29.000000,10.003978,0.876913
30.000000,10.098866,0.900364
31.000000,10.189884,0.923495
32.000000,10.275832,0.946186
33.000000,10.355018,0.968261
34.000000,10.428620,0.989808
35.000000,10.496184,1.010765
36.000000,10.555956,1.030940
37.000000,10.612038,1.050714
38.000000,10.663544,1.069986
39.000000,10.712771,1.088977
40.000000,10.757945,1.107501
41.000000,10.798081,1.125442
42.000000,10.833922,1.142865
43.000000,10.867048,1.159927
44.000000,10.898932,1.176779
45.000000,10.928167,1.193269
46.000000,10.954977,1.209414
47.000000,10.982394,1.225549
48.000000,11.008182,1.241426
49.000000,11.029863,1.256761
50.000000,11.051013,1.271955
51.000000,11.068952,1.286697
52.000000,11.085400,1.301181
53.000000,11.099944,1.315356
54.000000,11.115143,1.329525
55.000000,11.128718,1.343418
56.000000,11.141419,1.357123
57.000000,11.151175,1.370385
58.000000,11.156289,1.382988
59.000000,11.159029,1.395202
60.000000,11.160324,1.407139
61.000000,11.159734,1.418742
62.000000,11.156307,1.429885
63.000000,11.149954,1.440549
64.000000,11.142326,1.450944
65.000000,11.133924,1.461132
66.000000,11.123987,1.471015
67.000000,11.112306,1.480561
68.000000,11.100000,1.489917
69.000000,11.087528,1.499146
70.000000,11.073317,1.508035
71.000000,11.056773,1.516499
72.000000,11.038842,1.524665
73.000000,11.017612,1.532264
74.000000,10.995123,1.539574
75.000000,10.974399,1.547020
76.000000,10.955556,1.554626
77.000000,10.937577,1.562252
78.000000,10.920890,1.569965
79.000000,10.902052,1.577271
80.000000,10.886232,1.584920
81.000000,10.872477,1.592780
82.000000,10.863271,1.601224
83.000000,10.854082,1.609596
84.000000,10.845487,1.617981
85.000000,10.841232,1.626945
86.000000,10.838570,1.636085
87.000000,10.837562,1.645417
88.000000,10.835179,1.654482
89.000000,10.831143,1.663236
90.000000,10.828341,1.672122
91.000000,10.825458,1.680938
92.000000,10.821898,1.689593
93.000000,10.819348,1.698350
94.000000,10.817371,1.707145
95.000000,10.815836,1.715958
96.000000,10.812823,1.724485
97.000000,10.808744,1.732789
98.000000,10.804217,1.740969
99.000000,10.799825,1.749118
100.000000,10.797909,1.757617
101.000000,10.799041,1.766569
102.000000,10.803349,1.776001
103.000000,10.810404,1.785851
104.000000,10.820137,1.796115
105.000000,10.833275,1.806921
106.000000,10.847778,1.817935
107.000000,10.861573,1.828813
108.000000,10.877239,1.839989
109.000000,10.889555,1.850581
110.000000,10.902274,1.861222
111.000000,10.914299,1.871725
112.000000,10.925935,1.882142
113.000000,10.935609,1.892199
114.000000,10.943897,1.901994
115.000000,10.948275,1.911082
116.000000,10.949723,1.919627
117.000000,10.949852,1.927906
118.000000,10.945487,1.935355
119.000000,10.935153,1.941704
120.000000,10.919858,1.947118
121.000000,10.899789,1.951621
122.000000,10.878662,1.955870
123.000000,10.857606,1.960069
124.000000,10.838269,1.964515
125.000000,10.816290,1.968421
126.000000,10.794349,1.972270
127.000000,10.774695,1.976476
128.000000,10.754868,1.980591
129.000000,10.736934,1.984997
130.000000,10.721054,1.989729
131.000000,10.706500,1.994655
132.000000,10.693588,1.999839
133.000000,10.684730,2.005737
134.000000,10.679379,2.012255
135.000000,10.678249,2.019536
136.000000,10.678906,2.027127
