var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,3.7582405916,0.1102525704,0.0045312027,3.4728509754,0.2653077648,25.0000000000
sigma,31.4262258486,2.5087404704,0.0878205742,2.4436350495,0.1593839660,18.0000000000
theta1,1.1533291029,0.0146341559,0.0004210924,1.5837537561,0.0851743814,12.0000000000
theta2,1.0923183101,0.0408440735,0.0027512434,11.1000000164,1.3688743751,68.0000000000
