W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.139151,0.018542
2.000000,1.490330,0.034307
3.000000,1.681602,0.047410
4.000000,1.808217,0.058866
5.000000,1.898212,0.069090
6.000000,1.957812,0.078060
7.000000,2.007558,0.086457
8.000000,2.054157,0.094572
9.000000,2.098178,0.102459
10.000000,2.145152,0.110419
11.000000,2.192045,0.118340
12.000000,2.241988,0.126418
13.000000,2.292253,0.134530
14.000000,2.341435,0.142604
15.000000,2.380820,0.150092
16.000000,2.412697,0.157090
17.000000,2.430155,0.163096
18.000000,2.443635,0.168755
19.000000,2.456187,0.174270
20.000000,2.474568,0.180135
21.000000,2.510042,0.187230
22.000000,2.551256,0.194783
23.000000,2.598023,0.202811
24.000000,2.652643,0.211529
25.000000,2.709359,0.220506
26.000000,2.750947,0.228325
27.000000,2.782381,0.235333
28.000000,2.810746,0.242095
29.000000,2.847627,0.249613
30.000000,2.886474,0.257343
31.000000,2.914767,0.264161
32.000000,2.931405,0.269920
33.000000,2.938964,0.274812
34.000000,2.944267,0.279448
35.000000,2.951568,0.284231
36.000000,2.956028,0.288698
