likelihood_beta,beta
3.5129965503e-26,1.6271749883
8.2677237318e-26,4.2675028058
3.1520466073e-26,1.4512539466
4.1155511049e-26,1.9052965579
5.4597064275e-26,2.4951296584
3.3803636388e-26,1.5635236266
4.0285873307e-26,1.8660668239
4.6335467961e-26,2.1348078100
8.0868924205e-26,5.0313748607
4.2582791454e-26,1.9691743175
4.0530996128e-26,1.8771500409
3.0221618963e-26,1.3856419018
3.8836825299e-26,1.8001012603
3.2953654329e-26,1.5221509945
3.0611910828e-26,1.4055025484
6.7235766079e-26,3.0774645212
4.5141820698e-26,2.0824177327
3.6288813836e-26,1.6819650016
7.6520846534e-26,3.6128090652
6.0259925905e-26,2.7469789281
3.6986137882e-26,1.7145968126
3.7635000077e-26,1.7447495532
6.9064405694e-26,3.1708062281
3.2322515305e-26,1.4911128941
3.6740335357e-26,1.7031218697
8.2462906428e-26,4.7993264499
3.7786734246e-26,1.7517726079
7.8986309238e-26,3.8034642048
8.2774037992e-26,4.2920125549
5.8414458340e-26,2.6638901467
3.1193509246e-26,1.4348652609
3.7869961771e-26,1.7556204212
3.0273619951e-26,1.3882954888
6.3189261871e-26,2.8819329170
2.9542182016e-26,1.3507543947
2.5418020080e-38,21.1774902119
7.3339303963e-26,3.4080018097
7.9537013701e-26,5.1671938012
6.4065766838e-26,2.9232465578
4.1641613375e-37,20.3481863502
3.2184059666e-26,1.4842660894
4.0304933057e-26,1.8669293536
8.1237946567e-26,4.9874406887
4.7900711805e-26,2.2032194143
3.5384526783e-26,1.6392734552
6.5996540132e-26,6.0036009478
4.1841703154e-26,7.0836941487
4.6728060106e-26,2.1519933855
4.3735646894e-26,2.0203711167
7.6814227522e-26,3.6336122161
6.1449343264e-26,2.8012584581
4.5326303638e-26,2.0905299054
6.8781474789e-26,5.8636651155
4.3020380520e-26,1.9886456474
3.0404567970e-26,1.3949675306
2.2457810595e-27,10.4108755352
3.2931631628e-26,7.4987024419
7.8268670402e-26,3.7437120445
4.2558461538e-26,1.9680902512
3.2233249075e-26,1.4867001578
4.5113510267e-26,2.0811723239
3.8672434746e-26,1.7925661607
4.0828837810e-26,1.8905895446
6.8180540989e-26,3.1252170851
1.4122130958e-26,8.6445711835
4.7851009745e-26,2.2010510005
4.2074703897e-26,1.9465021614
4.6982225845e-26,2.1631090369
3.2513993543e-26,1.5005590238
8.3180361163e-26,4.5260533401
5.3111277952e-26,2.4301661595
7.8558885320e-26,3.7673618816
3.5117559333e-26,1.6265844278
4.8034903062e-26,6.8107021749
7.4598157979e-26,3.4851545907
1.3690360767e-27,10.8022030392
3.6372925982e-26,1.6859140502
3.6588877162e-26,1.6960364445
7.1877592505e-26,5.6965793563
5.2287291729e-26,2.3942361735
7.8011550022e-26,3.7232826098
2.7609756286e-26,1.2491656185
4.4840306133e-26,2.0691463006
4.5384980157e-26,2.0931088266
7.2096958415e-26,3.3356389213
4.7973190748e-26,2.2063811654
3.3072830885e-26,1.5279808564
4.4187972304e-26,2.0403736969
7.9337594451e-26,5.1853527474
3.9105249546e-26,1.8123814526
4.9960879579e-26,2.2929632309
6.7380801645e-26,5.9350409300
4.0635218824e-26,1.8818562537
3.5142716639e-26,1.6277818787
3.5781087116e-26,1.6580491011
3.9562837818e-26,1.8332506378
3.2690472242e-26,1.5092421666
5.4403183384e-26,2.4866364024
2.6128749678e-29,13.3279737414
3.2838137568e-26,1.5164908987
2.0570593172e-29,13.4577598705
5.6221468864e-26,2.5665396601
4.6105016974e-26,2.1247101588
3.4716999406e-26,1.6074692707
3.6086195885e-26,1.6724371402
7.6514402359e-26,3.6123566476
3.0896131291e-26,1.4198859545
1.1705953544e-26,8.8578321715
3.5906756612e-26,1.6639812950
7.4052372904e-26,3.4511757408
2.9065277020e-26,1.3260185226
2.7537230270e-26,1.2452796137
3.6081375462e-26,1.6722102055
3.6327162405e-26,1.6837659089
4.0831909090e-26,1.8907279765
3.7990800141e-26,1.7612015974
3.8568455556e-26,1.7877943766
3.3787804370e-26,1.5627573153
7.6708417659e-26,3.6260621670
6.2199766829e-26,2.8358520281
1.1545264503e-132,53.2136342418
4.2035478837e-26,1.9447488616
4.3823915380e-26,2.0242780112
1.7024023787e-27,10.6329772075
4.9116951518e-26,2.2562258236
2.9932414504e-26,1.3708414676
4.9734375411e-26,2.2831051905
4.1915628631e-26,1.9393890215
1.2550009948e-26,8.7799469335
3.5822534766e-26,1.6600065600
3.2482014320e-26,1.4989832223
4.2262872854e-26,1.9549070076
3.4327685747e-26,1.5888001867
5.5743369991e-26,2.5454706656
4.1540449214e-26,1.9225834702
4.7125366262e-26,2.1693657854
3.8045339389e-26,1.7637185002
2.9990807863e-26,1.3738356720
3.4100173828e-26,1.5778475585
3.4012584842e-26,1.5736224087
6.2509367467e-26,2.8502105538
5.7471823308e-26,2.6218871200
4.5516730476e-27,9.8024434356
4.5908257844e-26,2.1160826944
4.9454920513e-26,2.2709408318
3.0908989085e-26,1.4205350857
3.3502208503e-26,1.5489060726
4.9167863376e-26,2.2584427997
7.0815553472e-26,3.2641964042
6.3804762209e-26,2.9108923275
3.8794171921e-26,1.7981472348
3.2152748777e-26,7.5370592762
6.8498415140e-26,3.1415052943
2.7513433876e-26,1.2440033623
5.5058701035e-26,2.5153756813
5.5916587444e-26,2.5530986259
4.5931033934e-26,2.1170816728
4.4480132929e-26,2.0532705397
3.3874725800e-26,1.5669625769
5.9856222348e-30,14.0997648449
5.8976558421e-26,2.6890684492
5.8839980963e-26,2.6829410024
8.2471008992e-26,4.2220895606
3.2847104099e-26,1.5169305697
5.5363194832e-26,2.5287493241
3.6711804156e-26,1.7017880111
4.2996756992e-26,1.9875957222
7.8154158313e-26,5.2852197312
4.1448345985e-26,1.9184514259
3.3692769962e-26,1.5581540336
2.8688182148e-26,7.7134664743
3.7215633661e-26,1.7252841464
5.5987084340e-26,6.4635702425
3.6539987429e-26,1.6937468706
3.1632093711e-26,1.4568303396
4.2607326801e-26,1.9702673782
2.8963570039e-26,1.3207158588
3.6538270640e-26,1.6936664492
3.9918087868e-26,1.8493979464
8.0005258478e-26,3.8971375579
4.3190842192e-26,1.9962175523
3.2051459061e-26,1.4776957391
3.2865795258e-26,1.5178469065
3.9946897178e-27,9.9200191307
1.9624131493e-26,8.2413340095
6.4229415404e-26,2.9310160311
5.8589574067e-26,2.6717229903
4.5145404202e-26,2.0825753651
3.9487769139e-26,1.8298324923
3.9553295423e-26,1.8328162564
3.5541873718e-26,7.3730415211
3.4158207003e-26,7.4391307157
3.2783312231e-26,1.5138013477
3.2225440197e-26,1.4863138639
2.9701997266e-26,1.3589972206
4.5668470900e-26,2.1055605867
7.3864523946e-26,3.4396739803
2.8660810972e-26,1.3048726518
4.3755502201e-26,6.9985249792
2.7117350454e-26,1.2226707765
3.2294689692e-26,1.4897379959
3.6729214074e-26,1.7026019878
8.1124200848e-26,4.0183951262
3.3443813408e-26,1.5460674255
5.9930255915e-26,6.2877326612
1.1835069238e-54,29.8150361773
5.1215230438e-26,2.3475510847
3.2688068404e-26,1.5091240394
3.4880625066e-26,1.6152889105
8.2613206273e-26,4.7672192240
3.9236848862e-26,1.8183915846
8.0565087991e-26,3.9546953862
4.7998806888e-26,2.2074985138
4.7751278817e-26,2.1966992601
3.8801589802e-26,1.7984871139
5.0413674597e-26,2.3126678470
3.5615231156e-26,1.6502069007
3.8639413345e-26,1.7910512364
3.7169006718e-26,1.7231148206
4.9621132884e-26,2.2781761414
5.8536229851e-26,2.6693358826
4.5241371298e-26,2.0867959559
3.6997785259e-26,1.7151398247
3.0358071908e-26,1.3926001328
3.4581077367e-26,1.6009615909
3.1928650129e-26,1.4715990230
2.8226946999e-26,1.2820129469
3.6828580777e-26,1.7072448807
4.8801320875e-26,2.2424787846
3.5934251717e-26,1.6652780707
3.5056616213e-26,1.6236821287
3.7773286519e-26,1.7511505955
7.3479548692e-26,3.4163911586
3.7514554246e-26,1.7391672388
8.2688993634e-26,4.7494279482
3.3036666159e-26,1.5262127756
3.9430512306e-26,1.8272239476
4.1497355864e-26,1.9206504861
3.4667232698e-26,1.6050878090
5.1300985126e-26,2.3512837639
3.2907823114e-31,15.4612051719
3.8043395472e-26,1.7636288139
3.6584266931e-26,1.6958205922
3.5450418718e-26,1.6423991749
4.7034244688e-26,2.1653830799
4.1621966593e-26,1.9262384599
5.9680269388e-26,2.7207449798
3.9299282287e-26,1.8212405518
3.5588392601e-26,1.6489364829
7.8572698322e-26,3.7685041044
3.8599922460e-26,1.7892389196
4.7780966384e-26,2.1979947643
2.9775273259e-26,1.3627689554
6.9631211463e-26,3.2005586421
4.8333225251e-26,2.2220807270
4.1251901330e-27,9.8913014369
4.2595338825e-27,9.8625184423
3.9340568003e-26,1.8231236763
1.1440404412e-30,14.8982913845
7.1907804495e-26,3.3249039331
5.2800013663e-26,2.4165870546
5.6142843962e-26,2.5630715138
7.0655561631e-26,3.2554746132
7.3089857818e-26,3.3931967979
