likelihood_beta,beta
1.6539529147e-26,2.4298561953
9.0909390872e-27,7.5121881791
1.8413120082e-26,5.9831502016
1.2419493683e-26,1.7748947970
1.1184656863e-26,1.5736037221
2.3595986692e-26,4.1110252276
1.2037128611e-26,1.7131859476
1.2978224820e-26,1.8643129228
1.2229245288e-26,1.7442505447
1.2464762798e-26,1.7821703644
1.2576555995e-26,1.8001125137
1.2896330614e-26,1.8512542522
1.0975058891e-26,1.5387718627
9.9341692956e-27,1.3619678459
1.5256783136e-26,2.2248901743
9.7464661184e-27,1.3292965188
1.1149333204e-26,1.5677492393
1.1897360254e-26,1.6905041522
2.3606638355e-26,4.6046331748
3.5759171653e-27,8.7855360750
1.3866076100e-26,2.0051492595
1.6755691073e-26,2.4648893066
1.0393218751e-26,1.4407945090
1.1624820349e-26,1.6460598920
1.3593070767e-26,1.9619586712
1.6610719005e-26,2.4413734555
1.2092801802e-26,1.7222011027
1.6766247215e-26,2.4666049942
1.2321417923e-26,1.7591112772
1.7598984056e-26,6.1214391421
1.5184980519e-26,2.2135174814
9.9022004958e-27,1.3564223239
2.3737145077e-26,4.3222145590
2.8895164695e-27,9.0278906606
1.0900492126e-26,1.5263242579
2.3615206176e-26,4.5967595382
1.2676560208e-26,1.8161337712
1.8218490790e-26,2.7084223313
1.6580717004e-26,2.4365172981
1.2148181690e-26,1.7311581124
2.4804152373e-28,11.2283295151
6.8077636309e-27,7.9554710388
1.1130136035e-26,1.5645649041
1.5410196118e-26,2.2492132410
1.7606240139e-26,2.6048796378
9.1211337616e-27,7.5067435054
1.0954097796e-26,1.5352758148
1.8573301515e-26,2.7698139834
1.7548876216e-26,2.5953117291
1.1195402683e-26,1.5753834817
8.9124400114e-27,7.5445546522
2.0399124002e-26,5.6146704376
1.9936206836e-26,3.0190445999
1.3416810964e-26,1.9340278443
8.4474031920e-27,7.6304184098
1.7770410593e-28,11.4748777940
1.7175724357e-26,2.5335484092
1.7092344505e-26,2.5198516004
1.8235535097e-26,2.7113460325
1.3231641032e-26,1.9046359426
1.4916460068e-26,2.1710387212
1.1608258132e-26,1.6433492538
1.1305364052e-26,1.5935631763
1.4218285791e-26,2.0607865424
1.6614469156e-26,2.4419807047
2.0187214952e-26,3.0680603186
1.1360613279e-26,1.6026755483
1.3018863211e-26,1.8707877195
9.8765755366e-27,1.3519717113
1.0552753519e-26,1.4678602631
1.2163258586e-26,1.7335948088
1.1966770773e-26,1.7017771280
1.1461315289e-26,1.6192481126
1.0354397648e-26,1.4341837729
1.2161087094e-26,1.7332439038
1.1126822262e-26,1.5640150424
2.2690062893e-26,5.0465520376
1.2643460372e-26,1.8108338988
1.4042593927e-26,6.6920658863
4.3386867680e-30,13.7939956524
1.1762499096e-26,1.6685488476
1.0064223477e-26,1.3844503395
1.4016232016e-26,2.0288772033
2.2026682384e-26,5.2426112334
1.4346573617e-26,2.0810398002
1.2192104929e-26,1.7382547747
1.2775890782e-26,1.8320217114
1.1446418777e-26,1.6167995023
1.1468180927e-26,1.6203763141
2.2544998733e-26,5.0934002157
1.2457587218e-26,1.7810175168
9.9387698557e-27,1.3627652627
1.4806716894e-26,2.1536962917
1.7600773226e-27,9.5479614962
1.9228358308e-26,2.8865391654
1.2438581353e-26,1.7779632620
1.6924227464e-26,2.4923394415
1.2222507029e-26,1.7431630862
1.3474540361e-26,1.9431804889
1.2084174117e-26,1.7208047322
2.3738814364e-26,4.3925622868
2.3632972162e-26,4.1455729865
1.3004584651e-26,1.8685131495
1.2149442244e-26,1.7313618698
1.2681668258e-26,1.8169514091
1.2238620850e-26,1.7457633809
1.8376100903e-26,5.9895543190
2.1861286503e-26,5.2858055026
1.0079881806e-26,1.3871489466
2.0658043196e-26,3.1636163036
1.9149094242e-26,2.8721484193
1.4382643868e-26,2.0867339630
3.5741966269e-40,22.4985260567
3.9335660728e-123,52.3518963888
1.5164189556e-26,2.2102256563
9.5966121903e-27,1.3030150453
1.1844075349e-26,1.6818378297
1.0682693618e-26,1.4897892150
2.3706506397e-26,4.2401814408
2.3655036397e-26,4.5560393843
8.2315478660e-53,29.4551410362
2.3306640583e-26,3.9257749777
1.1451102417e-26,1.6175694823
1.0751674321e-26,1.5013898372
1.2837198866e-26,1.8418159606
1.1134892976e-26,1.5653541365
5.7331129590e-114,50.0234940960
1.2064752744e-26,1.7176604801
2.2995238899e-26,3.7882846001
8.3839528784e-27,7.6423184309
1.1281973848e-26,1.5897010187
1.1518337518e-26,1.6286119610
1.4477882960e-26,2.1017687312
1.3266556536e-26,1.9101823310
1.8781501024e-26,2.8063982761
1.1626481179e-26,1.6463316460
1.2995171415e-26,1.8670133930
1.3261400484e-26,1.9093634140
1.5786193710e-26,2.3089999138
1.2248084233e-26,1.7472900995
2.2835727085e-26,4.9963688865
1.1677737034e-26,1.6547127268
1.0572756978e-26,1.4712427364
1.2152383917e-26,1.7318373444
1.6445647513e-26,2.4146967147
6.0525810209e-27,8.1207662649
1.1441008844e-26,1.6159099982
1.6864452780e-26,2.4825893281
1.1403320358e-26,1.6097095435
1.3894498506e-26,2.0096418576
1.1364633532e-26,1.6033380580
1.1321889514e-26,1.5962902658
2.1032192134e-26,3.2436462602
2.0253458802e-26,3.0812041904
1.2194326528e-26,1.7386135470
3.7687277028e-28,10.9059382160
1.2408616452e-26,1.7731457316
3.6041041834e-31,15.0707252817
1.1953305301e-26,1.6995915945
7.4112061991e-33,16.8046724691
2.3700305228e-26,4.4955145802
1.5699397549e-26,2.2951735107
1.0418139455e-26,1.4450330453
1.3771585232e-26,1.9902086879
1.0865115857e-26,1.5204081968
1.1125891119e-26,1.5638605257
2.3738280808e-26,4.3288966528
1.1096438470e-26,1.5589707873
2.2358149225e-26,3.5750618094
2.2043075678e-26,3.4868751990
1.3440754461e-26,1.9378245161
1.3203486465e-26,1.9001620012
6.7688669525e-31,14.7621487537
1.1982146063e-26,1.7042718252
1.1052693319e-26,1.5516999789
9.3497131167e-27,1.2593074260
1.2352015299e-26,1.7640385105
1.4138131523e-26,6.6769771555
1.8154698343e-26,2.6975010873
1.1421597216e-26,1.6127172345
1.8318268593e-26,2.7255728560
1.2345515971e-26,1.7629921354
7.8503802019e-31,14.6882366205
1.1223376869e-26,1.5800139854
2.3077445329e-26,3.8213456919
1.8635291501e-26,2.7806607507
1.4636799683e-26,2.1268589427
1.1191585863e-26,1.5747513924
1.1806454424e-26,1.6757125291
1.2432557708e-26,1.7769950382
1.1848362728e-26,1.6825355365
2.3498485648e-26,4.6882188834
1.0393754982e-26,1.4408857539
1.5360125357e-26,2.2412708208
1.8406587028e-26,2.7408260820
1.2531963322e-26,6.9321475259
1.2404511599e-26,1.7724855775
1.2758215506e-26,1.8291963336
1.6610849828e-42,23.9692892435
2.0853243727e-26,3.2048584460
2.1532190234e-26,3.3579895411
1.2857854610e-26,1.8451138269
8.7961113840e-27,1.1592886676
2.2801571886e-26,3.7166509436
1.3726239140e-26,6.7420715518
1.1896278824e-26,1.6903283744
1.2130688415e-26,1.7283299239
1.0501243748e-26,1.4591388931
1.4427332637e-26,2.0937886334
1.1756846638e-26,1.6676270733
1.2073157581e-26,1.7190213554
1.0877685156e-26,1.5225109829
1.7520611490e-26,6.1345024469
1.1425708447e-26,1.6133935799
1.4011042715e-26,2.0280574255
1.0680086932e-26,1.4893502977
1.8763436742e-26,2.8032063245
2.2162226798e-26,5.2058222887
2.3304705101e-26,4.8003137606
1.4001591379e-26,2.0265643136
1.8666656763e-26,2.7861635232
1.5751136790e-26,2.3034134408
2.3145778693e-26,4.8747554888
1.2117495927e-26,1.7261963675
1.2120440519e-26,1.7266726334
1.8484079228e-26,2.7542677416
2.0239605103e-26,3.0784478315
1.2154238669e-26,1.7321371206
9.6731866297e-27,1.3164672635
1.1597654129e-26,1.6416131493
1.0181704456e-26,1.4046551983
1.7956388619e-26,2.6637578689
1.8278290072e-26,2.7186908316
1.0705741326e-26,1.4936682822
1.3044260161e-26,1.8748324140
2.5659523860e-28,11.2027659019
1.9920313645e-26,3.0159807932
9.8840195244e-27,1.3532651135
9.8251174071e-45,25.2776790392
1.0828128261e-26,1.5142152418
5.0984241697e-37,20.2953917393
1.1333454981e-26,1.5981980704
1.2176897741e-26,1.7357984837
7.3288735780e-28,10.3577714256
4.3975117604e-64,34.3270498509
1.1832007469e-26,1.6798735813
1.8952288911e-26,2.8367524336
1.1346444590e-26,1.6003400459
1.0376989817e-26,7.2870752457
1.5999371901e-26,2.3430338505
1.2412252331e-26,1.7737304223
9.7803899207e-27,1.3352213076
1.7987431835e-26,2.6690199757
1.1768493256e-26,1.6695262055
1.3660954820e-26,1.9727054276
1.4337361363e-26,2.0795855110
1.2994764796e-26,1.8669486046
1.1800236425e-26,1.6746996052
1.2806221230e-26,1.8368682535
2.3182659525e-26,3.8666738471
1.2268269739e-26,1.7505456459
8.3331629186e-29,12.0052826689
1.3306980509e-26,1.9166011862
1.3419127453e-26,1.9343952016
1.5076165338e-26,2.1962944117
9.0063240638e-28,10.1774193958
1.6692583395e-85,41.8804680967
2.3093694407e-26,3.8281080911
1.2070625773e-26,1.7186114418
1.0676606854e-26,1.4887642547
2.2780558433e-26,3.7093165867
1.2608689400e-26,1.8052633614
1.4471129935e-26,2.1007026554
5.3998971237e-67,35.4613709456
1.8946542591e-26,2.8357258246
2.3040691195e-26,4.9187714607
1.1676728379e-26,1.6545479024
2.3740704947e-26,4.3537498682
1.5184716794e-26,2.2134757225
9.4955249586e-27,1.2851825883
1.3099903555e-26,1.8836896193
2.2827085695e-26,3.7256603282
1.3914944024e-26,2.0128732053
1.4448496277e-26,2.0971295948
1.2624822600e-26,1.8078484029
1.4121308100e-42,24.0120342824
1.9083527325e-26,2.8603041141
1.1808388709e-26,1.6760275969
1.4462095573e-26,2.0992764409
2.0406929823e-26,3.1120167518
2.3344774964e-26,3.9455641246
1.8822682074e-26,2.8136880153
1.4899553535e-26,2.1683664473
1.6641516630e-26,2.4463620445
2.2770142380e-26,3.7057089333
1.4095093578e-26,2.0413335375
1.1236145994e-26,1.5821263519
1.0714835108e-26,1.4951979641
1.0762790830e-26,1.5032567413
1.9500897265e-26,2.9366611450
1.1378564622e-26,1.6056332221
2.1031096379e-26,3.2434056829
1.6394374129e-26,2.4064306952
2.3267556203e-26,3.9063513292
2.3700524905e-26,4.4951538772
1.5387941347e-26,2.2456826145
1.2309904386e-26,1.7572564497
1.3229313233e-26,1.9042660931
1.3917282972e-26,2.0132428488
2.0937175406e-26,3.2229278227
9.9274438179e-27,7.3643055338
1.3453947452e-26,1.9399161506
2.1903653051e-26,5.2749053364
1.0583363785e-26,1.4730352960
1.3800190522e-26,1.9947324870
1.4275414874e-27,9.7525924830
1.8897602270e-26,2.8269976419
2.1132948062e-26,3.2659386606
9.4091781044e-27,1.2698820534
1.2951129776e-26,1.8599940154
2.5900792485e-30,14.0725196688
