var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,4.2794253490,0.1902618197,0.0104964725,4.2166822866,0.4294614477,28.0000000000
sigma,41.5677195154,4.7840919073,0.2345093003,3.1921285130,0.2898990955,22.0000000000
theta1,1.1423985041,0.0183698527,0.0006711660,1.6030014362,0.1093670887,12.0000000000
theta2,1.0695191840,0.0528958453,0.0044239632,11.4102140479,1.7344057958,65.0000000000
