W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.386845,0.028663
2.000000,2.192563,0.064086
3.000000,2.928636,0.104840
4.000000,3.603301,0.148946
5.000000,4.221233,0.195085
6.000000,4.786416,0.242318
7.000000,5.304312,0.290053
8.000000,5.779656,0.337867
9.000000,6.215970,0.385416
10.000000,6.620052,0.432674
11.000000,6.993711,0.479406
12.000000,7.341261,0.525606
13.000000,7.662656,0.571019
14.000000,7.960023,0.615570
15.000000,8.236663,0.659320
16.000000,8.495922,0.702376
17.000000,8.736658,0.744508
18.000000,8.959491,0.785631
19.000000,9.163160,0.825508
20.000000,9.350231,0.864245
21.000000,9.523729,0.902020
22.000000,9.683758,0.938760
23.000000,9.828366,0.974192
24.000000,9.962675,1.008744
25.000000,10.087195,1.042413
26.000000,10.203008,1.075262
27.000000,10.311206,1.107365
28.000000,10.413028,1.138821
29.000000,10.507994,1.169548
30.000000,10.597893,1.199719
31.000000,10.683729,1.229428
32.000000,10.760565,1.258083
33.000000,10.826442,1.285411
34.000000,10.879405,1.311124
35.000000,10.924906,1.335829
36.000000,10.964567,1.359697
37.000000,10.998418,1.382708
38.000000,11.023915,1.404517
39.000000,11.039680,1.424912
40.000000,11.047123,1.444038
41.000000,11.050074,1.462367
42.000000,11.051719,1.480314
43.000000,11.052372,1.497921
44.000000,11.053803,1.515435
45.000000,11.056880,1.532986
46.000000,11.059878,1.550346
47.000000,11.065638,1.567923
48.000000,11.073341,1.585618
49.000000,11.080672,1.603110
50.000000,11.089179,1.620629
51.000000,11.097980,1.638054
52.000000,11.103501,1.654859
53.000000,11.109643,1.671619
54.000000,11.121033,1.689045
55.000000,11.134345,1.706653
56.000000,11.150837,1.724649
57.000000,11.174065,1.743604
58.000000,11.204275,1.763588
59.000000,11.236777,1.783886
60.000000,11.268866,1.804077
61.000000,11.298789,1.823879
62.000000,11.325389,1.843097
63.000000,11.351651,1.862210
64.000000,11.379192,1.881485
65.000000,11.410214,1.901296
66.000000,11.447935,1.922199
67.000000,11.491437,1.944066
68.000000,11.540001,1.966797
69.000000,11.589356,1.989680
70.000000,11.639197,2.012664
71.000000,11.687759,2.035447
72.000000,11.736725,2.058318
73.000000,11.784211,2.080948
74.000000,11.831915,2.103634
75.000000,11.877070,2.125882
76.000000,11.918929,2.147550
77.000000,11.959260,2.168947
78.000000,12.000936,2.190593
79.000000,12.043340,2.212380
80.000000,12.086569,2.234330
81.000000,12.131773,2.256660
82.000000,12.175050,2.278647
83.000000,12.219387,2.300847
84.000000,12.264402,2.323193
85.000000,12.306975,2.345093
86.000000,12.344342,2.366009
87.000000,12.378550,2.386320
88.000000,12.412332,2.406545
89.000000,12.445952,2.426735
90.000000,12.476684,2.446356
91.000000,12.501685,2.464839
92.000000,12.522200,2.482412
93.000000,12.540026,2.499420
94.000000,12.558763,2.516576
95.000000,12.577794,2.533761
96.000000,12.593908,2.550324
97.000000,12.611334,2.567120
98.000000,12.627526,2.583632
99.000000,12.642119,2.599781
100.000000,12.653815,2.615296
101.000000,12.664143,2.630485
102.000000,12.670891,2.644883
103.000000,12.673666,2.658399
104.000000,12.673187,2.671172
105.000000,12.670233,2.683358
106.000000,12.665726,2.695146
107.000000,12.664607,2.707590
108.000000,12.663226,2.719916
109.000000,12.663979,2.732642
110.000000,12.669836,2.746418
111.000000,12.677806,2.760609
112.000000,12.686179,2.774848
113.000000,12.695146,2.789178
114.000000,12.702111,2.803029
115.000000,12.706809,2.816338
116.000000,12.711199,2.829533
117.000000,12.711271,2.841719
118.000000,12.707306,2.852947
119.000000,12.698347,2.862991
120.000000,12.683366,2.871603
121.000000,12.663987,2.879138
122.000000,12.639265,2.885367
123.000000,12.608418,2.890097
124.000000,12.573608,2.893810
125.000000,12.539763,2.897635
126.000000,12.505072,2.901154
127.000000,12.472120,2.904969
128.000000,12.443305,2.909645
129.000000,12.415140,2.914377
130.000000,12.386426,2.918885
