tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.633009,0.008949
2.000000,0.412722,0.013672
3.000000,0.310459,0.015341
4.000000,0.249536,0.015689
5.000000,0.245551,0.015421
6.000000,0.184027,0.016198
7.000000,0.132400,0.016812
8.000000,0.092972,0.017032
9.000000,0.069060,0.017069
10.000000,0.065503,0.016973
11.000000,0.042637,0.016973
12.000000,0.047452,0.016829
13.000000,0.051426,0.016712
14.000000,0.044070,0.016581
15.000000,0.039865,0.016542
16.000000,0.022129,0.016617
17.000000,0.010857,0.016667
18.000000,0.010960,0.016717
19.000000,0.013198,0.016749
20.000000,0.006875,0.016800
21.000000,0.006291,0.016805
22.000000,0.001129,0.016853
23.000000,0.000269,0.016975
24.000000,-0.001924,0.017023
25.000000,0.002647,0.017059
26.000000,0.000762,0.017081
27.000000,-0.010859,0.017084
28.000000,-0.016208,0.017084
29.000000,-0.016924,0.017087
30.000000,-0.018243,0.017090
31.000000,-0.014726,0.017095
32.000000,-0.014550,0.017096
33.000000,-0.012273,0.017098
34.000000,-0.013761,0.017097
35.000000,-0.012794,0.017098
36.000000,-0.008023,0.017102
37.000000,-0.007315,0.017103
38.000000,-0.009235,0.017102
39.000000,-0.008114,0.017103
40.000000,-0.004695,0.017105
41.000000,-0.010615,0.017101
42.000000,-0.010206,0.017102
43.000000,-0.011699,0.017101
44.000000,-0.014596,0.017100
