W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.203168,0.013350
2.000000,1.731322,0.027168
3.000000,2.128290,0.040903
4.000000,2.450154,0.054373
5.000000,2.716093,0.067389
6.000000,2.946409,0.080081
7.000000,3.149047,0.092446
8.000000,3.329560,0.104495
9.000000,3.489651,0.116162
10.000000,3.634048,0.127512
11.000000,3.764905,0.138552
12.000000,3.888605,0.149467
13.000000,3.995609,0.159851
14.000000,4.097002,0.170095
15.000000,4.189912,0.180058
16.000000,4.279187,0.189925
17.000000,4.366049,0.199745
18.000000,4.441881,0.209105
19.000000,4.512203,0.218236
20.000000,4.576808,0.227112
21.000000,4.635854,0.235723
22.000000,4.679044,0.243518
23.000000,4.714974,0.250903
24.000000,4.746441,0.258009
25.000000,4.776043,0.264972
26.000000,4.810852,0.272189
27.000000,4.839817,0.279044
28.000000,4.869247,0.285892
29.000000,4.898076,0.292675
30.000000,4.924751,0.299300
31.000000,4.947346,0.305643
32.000000,4.966923,0.311763
33.000000,4.988865,0.317995
34.000000,5.009485,0.324111
35.000000,5.025549,0.329898
36.000000,5.041925,0.335668
37.000000,5.058593,0.341423
38.000000,5.074055,0.347063
39.000000,5.083949,0.352286
40.000000,5.090022,0.357200
41.000000,5.092023,0.361780
42.000000,5.093734,0.366288
43.000000,5.094577,0.370684
44.000000,5.097090,0.375155
45.000000,5.104346,0.379934
46.000000,5.114433,0.384891
47.000000,5.126365,0.389960
48.000000,5.139644,0.395108
49.000000,5.152281,0.400184
50.000000,5.161492,0.404969
51.000000,5.171139,0.409763
52.000000,5.176887,0.414221
53.000000,5.178567,0.418321
54.000000,5.178463,0.422240
55.000000,5.177877,0.426084
56.000000,5.175686,0.429758
57.000000,5.171654,0.433240
58.000000,5.169091,0.436807
59.000000,5.170702,0.440694
60.000000,5.174878,0.444772
61.000000,5.176149,0.448573
62.000000,5.175250,0.452157
63.000000,5.169632,0.455294
64.000000,5.168703,0.458811
65.000000,5.168210,0.462337
66.000000,5.168188,0.465878
67.000000,5.166934,0.469280
68.000000,5.161367,0.472260
69.000000,5.158216,0.475429
70.000000,5.157369,0.478783
71.000000,5.164980,0.482903
72.000000,5.172258,0.486977
73.000000,5.175145,0.490621
74.000000,5.177291,0.494174
75.000000,5.176910,0.497466
76.000000,5.172833,0.500377
